Labels,lon,lat,Count,rank
-157.857614,-157.857614,21.30477,1,446
-123.114034,-123.114034,49.26044,1,956
-122.419644,-122.419644,37.777125,2,90
-122.13512,-122.13512,38.013796,1,513
-118.533879,-118.533879,34.234773,1,786
-118.326508,-118.326508,34.01697,1,24
-118.287148,-118.287148,34.623859,1,473
-117.038169+F5+F5+K18,-117.038169,32.531305,1,711
-115.139974,-115.139974,36.171915,1,701
-107.394454,-107.394454,24.807645,3,72
-104.892479,-104.892479,21.509705,1,251
-103.727239,-103.727239,19.2425,3,64
-103.351059,-103.351059,20.68757,4,71
-102.913499,-102.913499,21.863965,1,692
-102.785282,-102.785282,23.625735,4,283
-102.348199,-102.348199,20.70051,1,415
-102.294121,-102.294121,21.88232,1,684
-102.019144,-102.019144,20.327685,1,485
-101.676594,-101.676594,21.119405,1,69
-100.976324,-100.976324,22.153065,2,354
-100.743134,-100.743134,20.911221,1,978
-100.396054,-100.396054,20.59214,1,923
-100.309959,-100.309959,25.670975,3,575
-100.135394,-100.135394,25.66292,1,436
-99.60458,-99.60458,19.32526,1,681
-99.144274,-99.144274,19.332915,1,801
-99.132851,-99.132851,19.4319,19,77
-99.076799,-99.076799,18.85461,1,670
-99.022784,-99.022784,19.605315,1,498
-98.966019,-98.966019,22.740735,1,372
-98.868959,-98.868959,19.68507,1,730
-98.841553,-98.841553,20.0268,1,989
-98.175099,-98.175099,19.051025,2,915
-97.296654,-97.296654,19.296261,1,394
-96.933079,-96.933079,18.89134,2,168
-96.913639,-96.913639,19.532055,1,570
-96.325904,-96.325904,30.620545,1,145
-91.804329,-91.804329,18.650221,1,565
-91.715801,-91.715801,30.0519,1,339
-90.866699,-90.866699,18.016701,1,687
-89.622543,-89.622543,20.966921,1,643
-89.622539,-89.622539,20.96692,2,590
-89.199097,-89.199097,13.69743,1,740
-88.025467,-88.025467,15.50276,1,504
-87.070221,-87.070221,20.629669,1,790
-85.486279,-85.486279,39.951095,1,158
-84.078621,-84.078621,9.93047,1,704
-83.962517,-83.962517,10.37681,1,767
-82.435608,-82.435608,27.298737,1,560
-82.388588,-82.388588,23.1168,1,351
-79.997459,-79.997459,40.438335,1,993
-79.953827,-79.953827,-3.2665,1,554
-79.04509,-79.04509,-8.10642,2,693
-78.620079,-78.620079,-1.24021,1,935
-77.34024,-77.34024,25.067221,1,40
-77.131287,-77.131287,-12.05257,1,629
-77.068611,-77.068611,-12.09108,1,576
-77.048912,-77.048912,-12.104215,2,176
-77.031959,-77.031959,38.89037,6,13
-77.021217,-77.021217,-12.0436,14,45
-76.605766,-76.605766,2.44198,1,970
-75.73391,-75.73391,-14.07452,1,837
-75.684647,-75.684647,4.81221,1,417
-75.497818,-75.497818,5.0642,1,508
-74.362068,-74.362068,4.34356,1,269
-74.11779,-74.11779,4.65637,5,73
-74.007124,-74.007124,40.71455,3,291
-74.006099,-74.006099,40.71443,1,112
-73.990364,-73.990364,40.692455,1,43
-73.31313,-73.31313,43.986568,1,173
-73.050591,-73.050591,-36.818878,1,57
-72.784851,-72.784851,-38.766201,1,1015
-71.595886,-71.595886,-16.32773,2,586
-71.552422,-71.552422,-33.024391,1,246
-71.338623,-71.338623,-29.96027,1,650
-71.198662,-71.198662,-30.5991,1,751
-71.098264,-71.098264,42.386675,2,4
-70.73951,-70.73951,-34.168041,1,879
-70.647942,-70.647942,-33.463039,4,198
-70.598343,-70.598343,-32.834309,1,484
-70.042526,-70.042526,-15.86784,1,555
-69.228073,-69.228073,-51.630901,1,960
-68.839546,-68.839546,-32.891232,1,946
-67.486412,-67.486412,-45.867081,1,244
-67.34058,-67.34058,-39.792576,1,811
-66.959279,-66.959279,18.081525,1,121
-66.898277,-66.898277,10.49605,2,479
-64.203339,-64.203339,-31.39015,4,206
-63.184509,-63.184509,-17.790371,1,487
-62.719791,-62.719791,-31.874001,1,585
-60.687092,-60.687092,-31.64011,1,628
-60.65649,-60.65649,-32.954559,1,12
-58.987839,-58.987839,-27.451571,1,958
-58.373539,-58.373539,-34.608521,2,343
-58.016861,-58.016861,-31.383089,1,520
-57.621948,-57.621948,-25.30509,2,325
-57.083302,-57.083302,-24.450001,1,238
-56.16544,-56.16544,-34.880901,3,327
-55.692211,-55.692211,-27.069679,1,419
-54.622898,-54.622898,-25.521669,1,557
-17.240598,-17.240598,28.066928,1,741
-17.11051,-17.11051,28.090731,1,79
-16.72047,-16.72047,28.36776,3,583
-16.54738,-16.54738,28.414181,1,7
-16.31604,-16.31604,28.487089,2,241
-16.314682,-16.314682,28.485256,2,203
-16.264519,-16.264519,28.46039,2,116
-15.58309,-15.58309,27.770069,1,156
-15.54101,-15.54101,27.911011,1,563
-15.439709,-15.439709,28.130225,2,171
-15.43557,-15.43557,27.922291,1,594
-13.65041,-13.65041,29.038541,1,813
-8.805933,-8.805933,42.401529,1,247
-8.733224,-8.733224,42.22124,5,94
-8.472774,-8.472774,51.89834,1,509
-8.396744,-8.396744,43.370155,1,527
-8.22734,-8.22734,43.486851,1,472
-7.866117,-7.866117,42.33894,1,189
-6.972624,-6.972624,38.874835,2,626
-6.916455,-6.916455,35.712709,1,153
-6.633909,-6.633909,42.05521,1,438
-6.372003,-6.372003,39.474506,1,529
-6.368882,-6.368882,36.624793,1,22
-6.290239,-6.290239,36.52986,1,361
-6.207094,-6.207094,36.621545,1,273
-6.198099,-6.198099,36.5309,1,700
-6.15344,-6.15344,37.4184,1,266
-6.06262,-6.06262,37.347359,1,996
-6.006,-6.006,37.3866,2,257
-6.001813,-6.001813,37.387697,11,42
-5.896399,-5.896399,42.300655,1,349
-5.847531,-5.847531,43.362689,2,134
-5.845985,-5.845985,43.270885,1,307
-5.663849,-5.663849,40.964225,1,945
-5.663799,-5.663799,43.542035,2,146
-5.66077,-5.66077,43.39286,1,279
-5.571661,-5.571661,42.598136,1,929
-5.340939,-5.340939,36.168305,1,341
-5.04139,-5.04139,41.881241,1,669
-4.778403,-4.778403,37.87794,1,574
-4.732124,-4.732124,41.654195,3,204
-4.566719,-4.566719,36.66186,1,975
-4.56361,-4.56361,37.020302,1,607
-4.420159,-4.420159,36.71832,9,17
-4.210949,-4.210949,37.94759,1,860
-4.116564,-4.116564,40.94845,1,865
-4.112354,-4.112354,38.685825,1,236
-4.006667,-4.006667,41.155344,1,376
-3.962949,-3.962949,40.489255,1,362
-3.930174,-3.930174,38.98441,3,404
-3.873044,-3.873044,40.491595,1,778
-3.871734,-3.871734,40.47392,1,699
-3.824244,-3.824244,40.35141,1,294
-3.810009,-3.810009,43.4615,1,562
-3.805854,-3.805854,40.1224,1,174
-3.792889,-3.792889,40.282595,1,808
-3.765159,-3.765159,40.328055,1,862
-3.705774,-3.705774,40.4203,61,18
-3.69981,-3.69981,42.341082,2,363
-3.643099,-3.643099,40.5452,1,592
-3.6356,-3.6356,38.09391,2,482
-3.625404,-3.625404,40.54734,1,598
-3.605426,-3.605426,37.170398,5,96
-3.373174,-3.373174,40.480647,1,53
-3.164224,-3.164224,40.62979,1,649
-3.036934,-3.036934,43.30473,1,14
-3.00687,-3.00687,43.32584,1,521
-3.003151,-3.003151,43.309361,1,89
-2.946119,-2.946119,43.26865,4,510
-2.68261,-2.68261,42.843578,2,223
-2.463795,-2.463795,36.841865,3,297
-2.446177,-2.446177,42.4653,1,547
-2.136304,-2.136304,40.072025,2,534
-2.02041,-2.02041,43.26981,1,842
-1.9794,-1.9794,43.317379,2,624
-1.979399,-1.979399,43.317385,2,5
-1.854061,-1.854061,38.995067,1,1018
-1.781814,-1.781814,51.561765,1,460
-1.690564,-1.690564,37.680557,4,1
-1.643754,-1.643754,42.81275,10,92
-1.63382,-1.63382,42.75988,1,505
-1.377919,-1.377919,41.477205,1,421
-1.130249,-1.130249,37.98296,7,111
-1.104555,-1.104555,40.342049,1,627
-1.099899,-1.099899,39.490615,1,599
-0.988009,-0.988009,37.606755,3,648
-0.884099,-0.884099,37.621515,1,452
-0.881319,-0.881319,41.65173,4,97
-0.768984,-0.768984,38.3472,1,714
-0.699524,-0.699524,38.26348,2,248
-0.634479,-0.634479,41.751555,1,216
-0.570516,-0.570516,51.237086,2,127
-0.480474,-0.480474,38.344085,3,591
-0.473274,-0.473274,38.69841,1,541
-0.46088,-0.46088,39.46492,1,16
-0.376913,-0.376913,39.468791,17,11
-0.127144,-0.127144,51.506325,6,357
-0.085266,-0.085266,39.889421,1,429
-0.045679,-0.045679,39.98514,1,463
0.47494,0.47494,40.471199,2,199
0.500245,0.500245,40.824985,1,673
0.520911,0.520911,40.812762,2,234
0.579785,0.579785,40.713045,1,752
0.62713,0.62713,41.61452,1,762
1.20668,1.20668,41.20808,1,965
1.254105,1.254105,41.11693,2,217
1.41889,1.41889,38.906115,1,313
1.741605,1.741605,41.69216,2,84
1.751875,1.751875,41.52369,1,736
1.80545,1.80545,41.23424,1,399
1.823895,1.823895,41.725395,2,506
1.928411,1.928411,41.417089,1,587
2.00862,2.00862,41.560909,1,798
2.008625,2.008625,41.560915,1,496
2.010045,2.010045,41.39321,1,895
2.020684,2.020684,41.601653,1,34
2.0218,2.0218,41.31678,1,467
2.031013,2.031013,42.00772,1,282
2.10549,2.10549,41.36269,1,972
2.1076,2.1076,41.548765,2,212
2.11484,2.11484,41.427097,1,26
2.168745,2.168745,41.385589,45,9
2.20904,2.20904,41.451118,1,49
2.245065,2.245065,41.450345,1,403
2.2864,2.2864,41.87532,1,383
2.28891,2.28891,41.607954,1,916
2.32505,2.32505,41.58453,3,205
2.39073,2.39073,41.501927,1,702
2.443905,2.443905,41.541515,2,437
2.489385,2.489385,42.180945,1,431
2.64694,2.64694,39.57148,6,142
2.69744,2.69744,39.551311,1,122
2.99879,2.99879,41.811588,1,802
3.03786,3.03786,41.784375,2,379
3.204745,3.204745,39.56865,1,552
3.224519,3.224519,51.208483,1,295
3.728569,3.728569,51.055633,1,281
4.26562,4.26562,39.890362,1,615
4.349685,4.349685,50.848385,1,677
4.70367,4.70367,50.879385,1,314
5.591101,5.591101,45.367214,1,91
7.704935,7.704935,45.06968,1,135
8.80162,8.80162,42.253342,1,759
9.738157,9.738157,52.372278,1,128
12.38393,12.38393,43.111285,1,686
12.569355,12.569355,55.67631,2,113
13.047931,13.047931,52.399355,1,618
14.288155,14.288155,48.30425,1,51
18.06284,18.06284,59.33228,1,367
18.65112,18.65112,54.353125,1,33
22.251551,22.251551,60.452805,1,809
23.73718,23.73718,37.97605,1,256
24.7526,24.7526,59.436475,1,344
24.93258,24.93258,60.17116,1,213
26.10297,26.10297,44.4342,1,988
33.051109,33.051109,34.683338,1,166
130.843155,130.843155,-12.4675,1,207
151.206955,151.206955,-33.869629,2,88
(blank),,,,
Grand Total,-157.857614,-51.630901,552,1
