ISO3, lat, lon, C
AFG, 0, 7, 0
ALB, 2, 5, 7
DZA, 1, 5, 6
AND, 0, 0, 0
AGO, 1, 7, 8
ATG, 0, 7, 0
ARG, 2, 5, 7
ARM, 2, 5, 7, R, 0.56, 1, 2
AUS, 2, 5, 7, V, 0.3, 5, 7
AUT, 2, 5, 7
AZE, 1, 5, 6, red, 8
BHS, 2, 7, 9, blue, 9
BHR, 2, 7, 9, yellow, 6
BGD, 1, 7, 8, green, 7
BRB, 0, 5, 0
BLR, 1, 5, 6
BEL, 2, 5, 7
BLZ, 2, 7, 9
BEN, 1, 7, 8
BTN, 1, 7, 8
BOL, 1, 7, 8
BIH, 2, 5, 7
BWA, 2, 7, 9
BRA, 2, 5, 7
BRN, 0, 5, 0
BGR, 2, 5, 7
BFA, 1, 7, 8
BDI, 1, 7, 8
KHM, 1, 7, 8
CMR, 1, 7, 8
CAN, 2, 5, 7
CPV, 2, 5, 7
CAF, 1, 7, 8
TCD, 1, 7, 8
CHL, 2, 5, 7
CHN, 1, 5, 6
COL, 2, 5, 7
COM, 1, 7, 8
COG, 1, 7, 8
COD, 1, 0, 0
CRI, 2, 7, 9
CIV, 1, 7, 8
HRV, 2, 5, 7
CUB, 1, 5, 6
CYP, 2, 5, 7
CZE, 2, 5, 7
DNK, 2, 5, 7
DJI, 1, 7, 8
DMA, 2, 7, 9
DOM, 2, 5, 7
ECU, 1, 5, 6
EGY, 1, 5, 6
SLV, 2, 5, 7
GNQ, 1, 7, 8
ERI, 1, 7, 8
EST, 2, 5, 7
ETH, 1, 7, 8
FJI, 1, 7, 8
FIN, 2, 5, 7
FRA, 2, 5, 7
GAB, 1, 7, 8
GMB, 1, 7, 8
GEO, 2, 5, 7
DEU, 2, 5, 7
GHA, 1, 7, 8
GRC, 2, 5, 7
GRD, 0, 7, 0
GTM, 1, 7, 8
GIN, 1, 7, 8
GNB, 1, 7, 8
GUY, 1, 7, 8
HTI, 0, 7, 0
HND, 1, 7, 8
HUN, 2, 5, 7
ISL, 2, 5, 7
IND, 1, 7, 8
IDN, 1, 5, 6
IRN, 1, 5, 6
IRQ, 0, 7, 0
IRL, 2, 5, 7
ISR, 2, 5, 7
ITA, 2, 5, 7
JAM, 2, 7, 9
JPN, 2, 5, 7
JOR, 2, 5, 7
KAZ, 2, 5, 7
KEN, 1, 7, 8
KIR, 0, 7, 0
PRK, 0, 7, 0
KOR, 2, 5, 7
KWT, 2, 5, 7
KGZ, 2, 5, 7
LAO, 1, 7, 8
LVA, 2, 5, 7
LBN, 1, 5, 6
LSO, 1, 7, 8
LBR, 1, 7, 8
LBY, 1, 5, 6
LIE, 0, 0, 0
LTU, 2, 5, 7
LUX, 2, 5, 7
MDG, 1, 7, 8
MWI, 1, 7, 8
MYS, 2, 5, 7
MDV, 0, 7, 0
MLI, 1, 7, 8
MLT, 2, 5, 7
MHL, 0, 7, 0
MRT, 1, 7, 8
MUS, 2, 5, 7
MEX, 2, 5, 7
FSM, 0, 7, 0
MDA, 1, 5, 6
MCO, 0, 5, 0
MKD, 2, 5, 7
MNG, 2, 7, 9
MNE, 0, 0, 0
MAR, 1, 7, 8
MOZ, 1, 7, 8
MMR, 1, 7, 8
NAM, 2, 7, 9
NRU, 0, 0, 0
NPL, 1, 7, 8
NLD, 2, 5, 7
NZL, 2, 5, 7
NIC, 1, 5, 6
NER, 1, 7, 8
NGA, 1, 7, 8
NOR, 2, 5, 7
OMN, 2, 5, 7
PAK, 1, 7, 8
PLW, 0, 7, 0
PAN, 2, 7, 9
PNG, 1, 7, 8
PRY, 1, 5, 6
PER, 2, 7, 9
PHL, 1, 5, 6
POL, 2, 5, 7
PRT, 2, 5, 7
QAT, 2, 5, 7
ROU, 2, 5, 7
RUS, 1, 5, 6
RWA, 1, 7, 8
KNA, 0, 7, 0
LCA, 2, 7, 9
VCT, 0, 7, 0
WSM, 2, 7, 9
SMR, 0, 5, 0
STP, 1, 7, 8
SAU, 2, 5, 7
SEN, 1, 7, 8
SRB, 2, 5, 7
SYC, 0, 7, 0
SLE, 1, 7, 8
SGP, 0, 5, 0
SVK, 2, 5, 7
SVN, 2, 5, 7
SLB, 0, 7, 0
SOM, 0, 7, 0
ZAF, 2, 7, 9
ESP, 2, 5, 7
LKA, 0, 5, 0
SDN, 0, 7, 0
SUR, 1, 5, 6
SWZ, 1, 7, 8
SWE, 2, 5, 7
CHE, 2, 5, 7
SYR, 1, 5, 6
TJK, 1, 7, 8
TZA, 1, 7, 8
THA, 2, 5, 7
TLS, 0, 7, 0
TGO, 1, 7, 8
TON, 1, 7, 8
TTO, 2, 7, 9
TUN, 2, 5, 7
TUR, 2, 5, 7
TKM, 0, 5, 0
TUV, 0, 7, 0
UGA, 1, 7, 8
UKR, 1, 5, 6
ARE, 2, 5, 7
GBR, 2, 5, 7
USA, 2, 5, 7
URY, 2, 5, 7
UZB, 1, 5, 6
VUT, 2, 7, 9
VEN, 1, 5, 6
VNM, 1, 5, 6
YEM, 1, 7, 8
ZMB, 1, 7, 8
ZWE, 1, 7, 8
