ISO3,name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AFG,Afghanistan,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ALB,Albania,58.8937538,58.34643531,57.81446379,56.35646782,56.44250646,57.12384738,58.55180466,59.44460474,60.03104768,60.45284683,61.8717639,62.57025538,63.49017631,64.62813896,65.24259748,64.73172422
DZA,Algeria,52.99769506,53.95396726,53.49859366,54.18859999,53.7737146,55.4995848,57.0643492,56.32823483,57.22164743,58.04141635,59.95605303,60.64760234,61.36849101,61.77453765,61.85939559,60.88084202
AND,Andorra,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
AGO,Angola,33.81019816,33.65249826,33.62213682,33.81462807,33.61296822,33.54742919,35.04247622,36.20020522,37.56463241,37.7304703,38.7546901,40.35840871,41.51169991,42.49875412,43.24779057,42.66692631
ATG,Antigua and Barbuda,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ARG,Argentina,70.66905127,70.82585486,70.82032826,70.86149513,70.81830538,71.3605715,69.36174297,66.37938311,68.03653061,68.2149819,69.66258965,70.90910092,71.25109019,70.55926881,70.16946308,70.33149169
ARM,Armenia,59.94543914,60.30966888,60.73382655,60.45741757,62.73950755,63.03708014,63.94042635,64.19371132,65.84630735,65.21279952,66.00260869,66.67969753,67.64405721,69.21326528,69.56471846,69.7315285
AUS,Australia,77.72023321,77.97445715,78.40348334,78.64237669,79.0693575,79.56509723,79.9205684,80.17623309,80.42187331,81.19132762,81.39597811,81.66453875,82.06509441,82.2270997,82.05953541,82.02628544
AUT,Austria,76.22485751,75.9472588,76.19356588,76.36490099,78.21474938,78.75529785,78.82670762,78.20988448,78.42007737,78.38890317,78.56064978,78.91495183,79.09146559,79.69717035,79.32467859,79.54206381
AZE,Azerbaijan,54.90949245,55.30130973,56.73864143,56.78701084,57.42324821,57.72479643,59.43660296,59.74538559,59.3989774,59.06893045,59.0202415,59.76130069,60.70656788,62.53543979,63.52317421,63.53100155
BHS,Bahamas,64.41096945,64.36574537,65.17538988,65.76617934,65.80428256,66.36571706,66.51639435,67.02012989,66.43138636,66.86061852,66.98903051,67.2549955,67.4332189,67.92932283,66.70467921,66.66755307
BHR,Bahrain,59.32201933,59.27230468,60.259894,61.33008564,62.01541254,62.72522429,63.43906206,64.1618465,64.19520691,64.82768811,64.61556691,64.24634,64.72368183,65.08073534,65.41193142,65.87329483
BGD,Bangladesh,47.60138292,48.72150539,48.79513572,48.29308369,47.85013446,48.5030719,48.60900502,48.38310244,47.40031276,45.84731167,47.88357658,48.04071784,47.83864825,48.21205815,49.37545976,49.37545976
BRB,Barbados,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
BLR,Belarus,61.1482901,60.24327801,60.83750243,60.53720247,60.29016896,60.2560918,60.67120661,60.31012606,61.14739938,61.87601523,63.43884663,64.54326704,65.20999636,65.89559581,66.97835129,66.86157125
BEL,Belgium,71.16731375,71.62068187,71.81262937,71.98921,72.62869536,73.57573294,75.02950567,75.33167918,75.12452797,75.41394451,75.69069901,75.73797683,75.23465336,75.27804516,74.8665012,74.96688632
BLZ,Belize,60.83486766,61.53772793,60.31790033,59.94154077,60.97964708,60.17113095,60.9991116,59.98156943,61.40382619,61.22768817,61.42949997,61.72247886,61.17757529,62.26124144,62.35130642,62.57129741
BEN,Benin,49.08507523,49.49760742,49.48901973,49.85739964,50.4054948,50.86194624,50.07025031,49.71900985,48.89422506,48.19270647,48.03931264,49.9985445,50.75384626,51.24650132,51.0197419,51.48351603
BTN,Bhutan,50.51267807,49.84695296,50.90496092,52.08738893,52.44359538,52.73475063,52.84349526,52.81330645,53.99103686,54.44102414,55.08282245,55.62814011,54.92997369,55.70566568,56.09106323,56.33808734
BOL,Bolivia,58.08412887,58.41043567,59.28014337,60.11193214,59.7030992,60.58255797,60.45969903,60.38488767,59.99619981,59.01551704,58.20052409,58.35063715,58.07210709,58.55659818,58.02062064,58.27019051
BIH,Bosnia and Herzegovina,62.23407138,62.26213047,61.67918536,61.68651078,63.51458252,62.48100419,61.9531597,62.54324832,64.12821113,65.19482872,67.01343115,67.3784209,67.26334979,67.67823312,68.30907753,68.77042107
BWA,Botswana,54.26606438,54.59071279,56.50012981,56.50366106,56.65118992,56.59995492,57.56192298,57.57210287,59.1998523,59.37504989,59.31986258,59.13829498,59.76347223,60.87051162,60.95426705,60.41449512
BRA,Brazil,59.76250033,60.19091258,61.01027442,61.30390346,61.73719141,62.44905249,62.508588,62.9010155,63.95818083,64.10287139,63.79653255,63.28420591,63.91282845,65.03730407,65.69985287,65.91868852
BRN,Brunei Darussalam,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
BGR,Bulgaria,62.57316728,62.58312414,62.99258382,64.76436415,65.87748212,66.48055032,67.56530404,67.95618576,69.16194116,70.10366178,71.19816979,71.79192711,72.22689811,72.59223794,72.51506199,73.28685493
BFA,Burkina Faso,45.09303976,45.68628216,45.81083441,45.96457298,46.38084756,47.48161623,47.63092516,46.9206377,47.75079739,47.26416394,47.06855178,46.92390743,47.57976293,48.86817784,49.03243795,49.35673024
BDI,Burundi,36.18721426,36.31459346,35.65538232,34.1189238,34.71622703,34.78425793,35.14757628,35.68834886,35.87937759,35.11472899,37.21130645,36.98603338,36.73125218,37.56532695,37.43394907,38.19860847
