ISO3,name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AFG,Afghanistan,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ALB,Albania,0.7,0.7,0.7,0.7,0.7,0.7,0.55,0.55,0.55,0.55,0.543,0.641,0.556,0.67,0.68,0.671
DZA,Algeria,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.748,0.737,0.736,0.725,0.712,0.694
AND,Andorra,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
AGO,Angola,0.4,0.4,0.4,0.4,0.4,0.378,0.356,0.334,0.312,0.29,0.268,0.353,0.367,0.436,0.434,0.414
ATG,Antigua and Barbuda,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ARG,Argentina,0.85,0.85,0.85,0.85,0.85,0.85,0.7,0.7,0.7,0.7,0.629,0.639,0.637,0.621,0.621,0.624
ARM,Armenia,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.776,0.808,0.813,0.837,0.834,0.824
AUS,Australia,0.7,0.7,0.7,0.7,0.7,0.7,0.85,0.85,0.85,0.85,0.909,0.891,0.903,0.905,0.903,0.901
AUT,Austria,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.82,0.817,0.809,0.786,0.736,0.728
AZE,Azerbaijan,0.4,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.567,0.58,0.626,0.746,0.746,0.729
BHS,Bahamas,1,1,1,1,1,1,1,1,0.85,0.85,0.8,0.8,0.8,0.747,0.734,0.734
BHR,Bahrain,1,1,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.8,0.8,0.8,0.796,0.778,0.774
BGD,Bangladesh,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.582,0.591,0.565,0.629,0.594,0.594
BRB,Barbados,0.7,0.7,0.7,0.7,0.7,0.85,0.85,0.85,0.85,0.85,0.9,0.9,0.9,0.9,0.9,0.9
BLR,Belarus,0.7,0.7,0.55,0.55,0.55,0.4,0.4,0.4,0.4,0.4,0.544,0.557,0.588,0.637,0.721,0.706
BEL,Belgium,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.907,0.926,0.937,0.932,0.929,0.926
BLZ,Belize,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.774,0.774,0.765,0.755,0.741,0.737
BEN,Benin,0.7,0.7,0.7,0.7,0.7,0.7,0.55,0.55,0.55,0.55,0.48,0.485,0.481,0.438,0.423,0.43
BTN,Bhutan,0.617,0.617,0.617,0.617,0.617,0.617,0.617,0.617,0.617,0.617,0.617,0.617,0.617,0.617,0.605,0.598
BOL,"Bolivia, Plurinational State of",0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.609,0.599,0.59,0.585,0.573,0.572
BIH,Bosnia and Herzegovina,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.557,0.554,0.572,0.599,0.613,0.604
BWA,Botswana,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.85,0.85,0.85,0.696,0.661,0.691,0.712,0.705,0.705
BRA,Brazil,0.55,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.535,0.542,0.54,0.544,0.545,0.543
BRN,Brunei Darussalam,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
BGR,Bulgaria,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.705,0.703,0.684,0.735,0.778,0.758
BFA,Burkina Faso,0.4,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.392,0.438,0.507,0.587,0.6,0.615
BDI,Burundi,0.55,0.55,0.55,0.55,0.55,0.52,0.49,0.46,0.43,0.4,0.37,0.496,0.355,0.344,0.378,0.368
KHM,Cambodia,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.43,0.435,0.43,0.427,0.399,0.395
CMR,Cameroon,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.403,0.41,0.403,0.393,0.372,0.441
CAN,Canada,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.969,0.968,0.967,0.965,0.965,0.964
CPV,Cape Verde,0.55,0.55,0.55,0.55,0.55,0.7,0.7,0.85,0.85,0.85,0.557,0.557,0.553,0.571,0.633,0.648
CAF,Central African Republic,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.421,0.411,0.408,0.395,0.375,0.368
TCD,Chad,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.34,0.49,0.346,0.357,0.327,0.253
CHL,Chile,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.7,0.7,0.7,0.681,0.682,0.678,0.663,0.648,0.672
CHN,China,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.431,0.469,0.503,0.516,0.497,0.498
COL,Colombia,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.721,0.718,0.725,0.774,0.836,0.861
COM,Comoros,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.437,0.429
COG,Congo,0.55,0.55,0.55,0.55,0.55,0.527,0.504,0.481,0.458,0.435,0.412,0.389,0.366,0.343,0.335,0.335
COD,"Congo, the Democratic Republic of the",0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.474,0.473,0.454,0.501,0.487,0.378
CRI,Costa Rica,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.594,0.59,0.6,0.603,0.593,0.593
CIV,C™te d'Ivoire,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.464,0.481,0.473,0.458,0.437,0.433
HRV,Croatia,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.545,0.542,0.585,0.599,0.615,0.652
CUB,Cuba,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.55,0.55,0.55,0.1,0.1,0.1,0.1,0.1,0.1
CYP,Cyprus,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.7,0.7,0.7,0.7,0.803,0.801
CZE,Czech Republic,1,1,0.85,0.85,0.85,0.85,0.7,0.7,0.7,0.7,0.578,0.611,0.642,0.651,0.655,0.698
DNK,Denmark,0.85,0.85,0.85,0.85,0.85,0.85,0.85,1,1,1,0.946,0.948,0.999,0.999,0.979,0.997
DJI,Djibouti,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.383,0.383,0.377,0.381,0.357,0.329
DMA,Dominica,0.764,0.764,0.764,0.764,0.764,0.764,0.764,0.764,0.764,0.764,0.764,0.764,0.764,0.764,0.754,0.748
DOM,Dominican Republic,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.57,0.567,0.626,0.637,0.624,0.564
ECU,Ecuador,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.582,0.588,0.587,0.54,0.529,0.535
EGY,Egypt,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.398,0.409,0.602,0.647,0.65,0.645
SLV,El Salvador,0.7,0.7,0.7,0.7,0.85,0.85,0.85,0.85,0.85,0.85,0.579,0.602,0.595,0.673,0.674,0.674
GNQ,Equatorial Guinea,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.482,0.482,0.471,0.457,0.448,0.442
ERI,Eritrea,0.183,0.183,0.183,0.183,0.183,0.183,0.183,0.183,0.183,0.183,0.183,0.183,0.183,0.183,0.18,0.182
EST,Estonia,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.819,0.799,0.853,0.759,0.831,0.809
