ISO3,name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AFG,Afghanistan,,,,,,#DIV/0!,,,,,,,,,,
ALB,Albania,,,,,,#DIV/0!,,,,,,,,,,
DZA,Algeria,,,,,,#DIV/0!,,,,,,,,,,
AND,Andorra,,,,,,#DIV/0!,,,,,,,,,,
AGO,Angola,,,,,,0,,,,,,,,,,
ATG,Antigua and Barbuda,,,,,,4.64,,,,,,,,,,
ARG,Argentina,,,,,,0.432540915,,,,,,,,,,
ARM,Armenia,,,,,,0,,,,,,,,,,
AUS,Australia,,,,,,0.227721184,,,,,,,,,,
AUT,Austria,,,,,,100,,,,,,,,,,
AZE,Azerbaijan,,,,,,1.223025464,,,,,,,,,,
BHS,Bahamas,,,,,,0,,,,,,,,,,
BHR,Bahrain,,,,,,1.4461674,,,,,,,,,,
BGD,Bangladesh ,,,,,,0,,,,,,,,,,
BRB,Barbados,,,,,,19.09930716,,,,,,,,,,
BLR,Belarus,,,,,,87.08933718,,,,,,,,,,
BEL,Belgium,,,,,,42.3943662,,,,,,,,,,
BLZ,Belize,,,,,,30.06666667,,,,,,,,,,
BEN,Benin,,,,,,25.11627907,,,,,,,,,,
BTN,Bhutan,,,,,,0,,,,,,,,,,
BOL,"Bolivia, Plurinational State of",,,,,,10.2168501,,,,,,,,,,
BIH,Bosnia and Herzegovina,,,,,,13.02264808,,,,,,,,,,
BWA,Botswana,,,,,,0,,,,,,,,,,
BRA,Brazil,,,,,,0,,,,,,,,,,
BRN,Brunei Darussalam,,,,,,0,,,,,,,,,,
BGR,Bulgaria,,,,,,0.04296875,,,,,,,,,,
BFA,Burkina Faso,,,,,,0,,,,,,,,,,
BDI,Burundi,,,,,,1.972319068,,,,,,,,,,
KHM,Cambodia,,,,,,22.35701906,,,,,,,,,,
CMR,Cameroon,,,,,,0.329997295,,,,,,,,,,
CAN,Canada,,,,,,0,,,,,,,,,,
CPV,Cape Verde,,,,,,0,,,,,,,,,,
CAF,Central African Republic,,,,,,4.870746796,,,,,,,,,,
TCD,Chad,,,,,,1.189845196,,,,,,,,,,
CHL,Chile,,,,,,2.153288515,,,,,,,,,,
CHN,China,,,,,,11.21588089,,,,,,,,,,
COL,Colombia,,,,,,0,,,,,,,,,,
COM,Comoros,,,,,,0,,,,,,,,,,
COG,Congo,,,,,,3.655683756,,,,,,,,,,
COD,"Congo, the Democratic Republic of the",,,,,,1.135209756,,,,,,,,,,
CRI,Costa Rica,,,,,,1.30686358,,,,,,,,,,
CIV,C™te d'Ivoire,,,,,,4.843049327,,,,,,,,,,
HRV,Croatia,,,,,,0.478070175,,,,,,,,,,
CUB,Cuba,,,,,,0.031174569,,,,,,,,,,
CYP,Cyprus,,,,,,3.367906067,,,,,,,,,,
CZE,Czech Republic,,,,,,0,,,,,,,,,,
DNK,Denmark,,,,,,1.368942342,,,,,,,,,,
DJI,Djibouti,,,,,,19.96391846,,,,,,,,,,
DMA,Dominica,,,,,,3.956756757,,,,,,,,,,
DOM,Dominican Republic,,,,,,0,,,,,,,,,,
ECU,Ecuador,,,,,,21.36458575,,,,,,,,,,
EGY,Egypt,,,,,,2.965517241,,,,,,,,,,
SLV,El Salvador,,,,,,100,,,,,,,,,,
GNQ,Equatorial Guinea,,,,,,4.104247897,,,,,,,,,,
ERI,Eritrea,,,,,,1.547467908,,,,,,,,,,
EST,Estonia,,,,,,3.395576414,,,,,,,,,,
ETH,Ethiopia,,,,,,3.678707224,,,,,,,,,,
FJI,Fiji,,,,,,0,,,,,,,,,,
FIN,Finland,,,,,,3.712585034,,,,,,,,,,
FRA,France,,,,,,2.66962306,,,,,,,,,,
GAB,Gabon,,,,,,0.720637508,,,,,,,,,,
GMB,Gambia,,,,,,11.77339901,,,,,,,,,,
GEO,Georgia,,,,,,0.884222978,,,,,,,,,,
DEU,Germany,,,,,,1.89156845,,,,,,,,,,
GHA,Ghana,,,,,,3.439309598,,,,,,,,,,
GRC,Greece,,,,,,19.98230088,,,,,,,,,,
GRD,Grenada,,,,,,0.648493544,,,,,,,,,,
GTM,Guatemala,,,,,,4.283113464,,,,,,,,,,
GIN,Guinea,,,,,,0,,,,,,,,,,
GNB,Guinea-Bissau,,,,,,4.612761443,,,,,,,,,,
GUY,Guyana,,,,,,6.470588235,,,,,,,,,,
HTI,Haiti,,,,,,2.034162917,,,,,,,,,,
HND,Honduras,,,,,,0.192385911,,,,,,,,,,
HUN,Hungary,,,,,,12.26744186,,,,,,,,,,
ISL,Iceland,,,,,,4.412243569,,,,,,,,,,
IND,India,,,,,,3.953153153,,,,,,,,,,
IDN,Indonesia,,,,,,4.49014185,,,,,,,,,,
IRN,"Iran, Islamic Republic of",,,,,,0,,,,,,,,,,
IRQ,Iraq,,,,,,1.941747573,,,,,,,,,,
IRL,Ireland,,,,,,1.925585442,,,,,,,,,,
ISR,Israel,,,,,,14.38728952,,,,,,,,,,
ITA,Italy,,,,,,1.222727824,,,,,,,,,,
JAM,Jamaica,,,,,,3.572275963,,,,,,,,,,
JPN,Japan,,,,,,3.826668564,,,,,,,,,,
JOR,Jordan,,,,,,8.376068376,,,,,,,,,,
KAZ,Kazakhstan,,,,,,3.954337293,,,,,,,,,,
KEN,Kenya,,,,,,3.912647862,,,,,,,,,,
KIR,Kiribati,,,,,,4.463472737,,,,,,,,,,
PRK,"Korea, Democratic People's Republic of",,,,,,2.748570788,,,,,,,,,,
KOR,"Korea, Republic of",,,,,,6.96737495,,,,,,,,,,
KWT,Kuwait,,,,,,0.448506987,,,,,,,,,,
KGZ,Kyrgyzstan,,,,,,67.80821918,,,,,,,,,,
LAO,Lao People's Democratic Republic,,,,,,4.389414302,,,,,,,,,,
LVA,Latvia,,,,,,5.157163006,,,,,,,,,,
LBN,Lebanon,,,,,,6.156004489,,,,,,,,,,
LSO,Lesotho,,,,,,0,,,,,,,,,,
LBR,Liberia,,,,,,0,,,,,,,,,,
LBY,Libyan Arab Jamahiriya,,,,,,1.498452012,,,,,,,,,,
LIE,Liechtenstein,,,,,,0.211538462,,,,,,,,,,
LTU,Lithuania,,,,,,0,,,,,,,,,,
LUX,Luxembourg,,,,,,0,,,,,,,,,,
MDG,Madagascar,,,,,,0.773781784,,,,,,,,,,
MWI,Malawi,,,,,,0,,,,,,,,,,
MYS,Malaysia,,,,,,0.165644172,,,,,,,,,,
MDV,Maldives,,,,,,0,,,,,,,,,,
MLI,Mali,,,,,,1.102820932,,,,,,,,,,
MLT,Malta,,,,,,0,,,,,,,,,,
MHL,Marshall Islands,,,,,,7.213949962,,,,,,,,,,
MRT,Mauritania,,,,,,71.66666667,,,,,,,,,,
MUS,Mauritius,,,,,,0,,,,,,,,,,
MEX,Mexico,,,,,,0,,,,,,,,,,
FSM,"Micronesia, Federated States of",,,,,,#N/A,,,,,,,,,,
MDA,"Moldova, Republic of",,,,,,0.113210859,,,,,,,,,,
MCO,Monaco,,,,,,0,,,,,,,,,,
MKD,Macedonia,,,,,,2.856858339,,,,,,,,,,
MNG,Mongolia,,,,,,#N/A,,,,,,,,,,
MNE,Montenegro,,,,,,1.270310192,,,,,,,,,,
MAR,Morocco,,,,,,#N/A,,,,,,,,,,
MOZ,Mozambique,,,,,,0,,,,,,,,,,
MMR,Myanmar,,,,,,0,,,,,,,,,,
NAM,Namibia,,,,,,#N/A,,,,,,,,,,
NRU,Nauru,,,,,,0.418990035,,,,,,,,,,
NPL,Nepal,,,,,,2.004391272,,,,,,,,,,
NLD,Netherlands,,,,,,2.61314257,,,,,,,,,,
NZL,New Zealand,,,,,,0.138300841,,,,,,,,,,
NIC,Nicaragua,,,,,,105,,,,,,,,,,
NER,Niger,,,,,,0,,,,,,,,,,
NGA,Nigeria,,,,,,48.99349868,,,,,,,,,,
NOR,Norway,,,,,,2.528370236,,,,,,,,,,
OMN,Oman,,,,,,5.493076923,,,,,,,,,,
PAK,Pakistan,,,,,,0,,,,,,,,,,
PLW,Palau,,,,,,0.481938145,,,,,,,,,,
PAN,Panama,,,,,,2.125169816,,,,,,,,,,
PNG,Papua New Guinea,,,,,,0.812924071,,,,,,,,,,
PRY,Paraguay,,,,,,2.1910564,,,,,,,,,,
PER,Peru,,,,,,37.47276688,,,,,,,,,,
PHL,Philippines,,,,,,6.407574153,,,,,,,,,,
POL,Poland,,,,,,7.746521476,,,,,,,,,,
PRT,Portugal,,,,,,0,,,,,,,,,,
QAT,Qatar,,,,,,0.453541028,,,,,,,,,,
ROU,Romania,,,,,,5.850333333,,,,,,,,,,
RUS,Russian Federation,,,,,,0.866673063,,,,,,,,,,
RWA,Rwanda,,,,,,1.871058926,,,,,,,,,,
KNA,Saint Kitts and Nevis,,,,,,19.16363636,,,,,,,,,,
LCA,Saint Lucia,,,,,,2.75179328,,,,,,,,,,
VCT,Saint Vincent and the Grenadines,,,,,,1.873918034,,,,,,,,,,
WSM,Samoa,,,,,,0,,,,,,,,,,
SMR,San Marino,,,,,,73.61111111,,,,,,,,,,
STP,Sao Tome and Principe,,,,,,20.80645161,,,,,,,,,,
SAU,Saudi Arabia,,,,,,55.12820513,,,,,,,,,,
