ISO3,name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AFG,Afghanistan,0.120776688,0.120776688,0.120776688,0.120776688,0.117706956,0.114637225,0.152180348,0.189723472,0.176089414,0.194836631,0.194452124,0.205831595,0.188020558,0.174825133,0.185960569,0.185960569
ALB,Albania,0.50958261,0.50958261,0.394518888,0.279455166,0.306619344,0.333783521,0.330734603,0.327685685,0.337320797,0.347779235,0.355685153,0.3565357,0.379160589,0.407546603,0.420559297,0.420559297
DZA,Algeria,0.445485767,0.445485767,0.383411589,0.321337412,0.330841683,0.340345954,0.34082406,0.341302167,0.400755441,0.388736751,0.417940427,0.414134295,0.419544522,0.411839116,0.40188775,0.40188775
AND,Andorra,0.784276494,0.784276494,0.784276494,0.784276494,0.780302214,0.776327933,0.770000863,0.763673792,0.761972576,0.718694564,0.753210885,0.75674191,0.76064958,0.765937007,0.77122731,0.77122731
AGO,Angola,0.287252682,0.287252682,0.252076092,0.216899501,0.196006834,0.175114166,0.218674371,0.262234575,0.245165309,0.224679132,0.22860605,0.250547781,0.24293906,0.252548063,0.232674807,0.232674807
ATG,Antigua and Barbuda,0.689490808,0.689490808,0.689490808,0.689490808,0.685893888,0.682296968,0.676910553,0.671524138,0.665835921,0.67143995,0.653658114,0.75674191,0.76064958,0.765937007,0.77122731,0.77122731
ARG,Argentina,0.451896007,0.451896007,0.468937868,0.485979729,0.466873955,0.447768181,0.40420946,0.36065074,0.422620493,0.42507293,0.417946959,0.424970402,0.423876562,0.409735299,0.402678174,0.402678174
ARM,Armenia,0.385270524,0.385270524,0.364449785,0.343629046,0.346185861,0.348742676,0.353597751,0.358452826,0.37332663,0.35808483,0.38577764,0.394219645,0.368847462,0.391071769,0.381872552,0.381872552
AUS,Australia,0.798415734,0.798415734,0.840158816,0.881901899,0.884805875,0.88770985,0.876579069,0.865448287,0.879305131,0.902000647,0.874662708,0.882796365,0.901042275,0.914757571,0.906034123,0.906034123
AUT,Austria,0.923984288,0.923984288,0.902993591,0.882002895,0.876153214,0.870303533,0.886678192,0.903052851,0.908297004,0.902853482,0.877579486,0.887837336,0.909723724,0.878068795,0.850631587,0.850631587
AZE,Azerbaijan,0.287208068,0.287208068,0.281705504,0.276202939,0.274999669,0.2737964,0.285840196,0.297883992,0.294248673,0.263060241,0.293579769,0.305114259,0.300084062,0.294374335,0.280080333,0.280080333
BHS,Bahamas,0.571532668,0.571532668,0.675231428,0.778930189,0.777826277,0.776722364,0.783465906,0.790209447,0.774333428,0.770739605,0.762330073,0.774266569,0.774188481,0.777175214,0.775161642,0.775161642
BHR,Bahrain,0.449098734,0.449098734,0.504438384,0.559778035,0.57411651,0.588454986,0.626318936,0.664182887,0.630299471,0.61247388,0.598653966,0.565945291,0.5742414,0.570161097,0.559443043,0.559443043
BGD,Bangladesh ,0.440646344,0.440646344,0.406383505,0.372120667,0.338008274,0.30389588,0.289948623,0.276001366,0.215491412,0.186322772,0.213905175,0.218928222,0.266805933,0.27401791,0.307748105,0.307748105
BRB,Barbados,0.784276494,0.784276494,0.784276494,0.784276494,0.780302214,0.776327933,0.770000863,0.763673792,0.761972576,0.749351601,0.759058527,0.756956521,0.768460413,0.761409478,0.767926582,0.767926582
BLR,Belarus,0.306573027,0.306573027,0.330541011,0.354508995,0.371619356,0.388729718,0.352736101,0.316742483,0.308935136,0.294362489,0.322026867,0.363721563,0.357722611,0.34717308,0.343769589,0.343769589
BEL,Belgium,0.770049407,0.770049407,0.768756152,0.767462897,0.783392288,0.79932168,0.800205158,0.801088637,0.782759084,0.774594278,0.764439183,0.749958201,0.760634074,0.767816915,0.786991416,0.786991416
BLZ,Belize,0.478877978,0.478877978,0.478877978,0.478877978,0.474874626,0.470871274,0.462843821,0.454816368,0.476147188,0.43501945,0.449895302,0.426539784,0.426793339,0.435854234,0.487132721,0.487132721
BEN,Benin,0.363319074,0.363319074,0.363319074,0.363319074,0.373660534,0.384001995,0.360046893,0.336091791,0.338895702,0.377347686,0.311627424,0.379039362,0.42932514,0.401530321,0.370450052,0.370450052
BTN,Bhutan,0.640300943,0.640300943,0.640300943,0.640300943,0.630130714,0.619960486,0.622081943,0.6242034,0.664772052,0.627345721,0.659163209,0.65294875,0.635489565,0.6399177,0.667370929,0.667370929
BOL,"Bolivia, Plurinational State of",0.288172524,0.288172524,0.361735245,0.435297967,0.412990661,0.390683356,0.351812885,0.312942414,0.332010429,0.343309209,0.340396384,0.405671346,0.416797791,0.393319662,0.358438811,0.358438811
BIH,Bosnia and Herzegovina,0.448329293,0.448329293,0.441483669,0.434638044,0.411529927,0.38842181,0.403117313,0.417812817,0.432132628,0.433392121,0.459490387,0.447124816,0.430850925,0.433904673,0.438991557,0.438991557
BWA,Botswana,0.604638694,0.604638694,0.623168593,0.641698493,0.644621087,0.647543681,0.637205972,0.626868263,0.717210514,0.689125887,0.714934393,0.675419431,0.692274451,0.693641924,0.671454847,0.671454847
BRA,Brazil,0.450285284,0.450285284,0.480587365,0.510889446,0.516188765,0.521488084,0.498058102,0.47462812,0.542097491,0.521280562,0.463466464,0.469783309,0.470343721,0.489895842,0.486974519,0.486974519
BRN,Brunei Darussalam,0.571532668,0.571532668,0.576745928,0.581959188,0.571943586,0.561927985,0.563054711,0.564181437,0.560256504,0.584403269,0.554381453,0.549901676,0.550366015,0.596839378,0.691216498,0.691216498
BGR,Bulgaria,0.296997928,0.296997928,0.378515422,0.460032917,0.469344162,0.478655407,0.482691101,0.486726795,0.503325567,0.549892552,0.523071798,0.496249906,0.475429607,0.45901513,0.47687086,0.47687086
BFA,Burkina Faso,0.436068648,0.436068648,0.453947316,0.471825983,0.482524375,0.493222767,0.498198813,0.50317486,0.544810966,0.474390362,0.486062275,0.421068675,0.423713766,0.430976212,0.411685511,0.411685511
BDI,Burundi,0.251852653,0.251852653,0.251852653,0.251852653,0.263169377,0.274486101,0.290706002,0.306925903,0.287827459,0.290973478,0.298223908,0.26453706,0.270685501,0.295217479,0.275534518,0.275534518
KHM,Cambodia,0.285721948,0.285721948,0.285603383,0.285484817,0.309505835,0.333526852,0.322352627,0.311178401,0.32752744,0.296572996,0.268543345,0.259476238,0.277944371,0.279644852,0.263157716,0.263157716
CMR,Cameroon,0.282653473,0.282653473,0.27231792,0.261982368,0.271844414,0.281706461,0.282689571,0.283672682,0.328548099,0.277392694,0.260142206,0.292057578,0.31328303,0.318056152,0.316099307,0.316099307
