ISO3,name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AFG,Afghanistan,0.720797628,0.720797628,0.720797628,0.720797628,0.720797628,0.720797628,0.720797628,0.720797628,0.720797628,0.720797628,0.720797628,0.720797628,0.720797628,0.720797628,0.720797628,0.720797628
ALB,Albania,0.67575,0.67575,0.67575,0.67575,0.67575,0.67575,0.67575,0.67575,0.67575,0.67575,0.67575,0.67575,0.67575,0.67575,0.67575,0.67575
DZA,Algeria,0.423517241,0.423517241,0.423517241,0.423517241,0.423517241,0.423517241,0.423517241,0.423517241,0.423517241,0.423517241,0.423517241,0.423517241,0.423517241,0.423517241,0.423517241,0.423517241
AND,Andorra,0.396624498,0.396624498,0.396624498,0.396624498,0.396624498,0.396624498,0.396624498,0.396624498,0.396624498,0.396624498,0.396624498,0.396624498,0.396624498,0.396624498,0.396624498,0.396624498
AGO,Angola,0.335376262,0.335376262,0.335376262,0.335376262,0.335376262,0.335376262,0.335376262,0.335376262,0.335376262,0.335376262,0.335376262,0.335376262,0.335376262,0.335376262,0.335376262,0.335376262
ATG,Antigua and Barbuda,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
ARG,Argentina,0.207565884,0.207565884,0.207565884,0.207565884,0.207565884,0.207565884,0.207565884,0.207565884,0.207565884,0.207565884,0.207565884,0.207565884,0.207565884,0.207565884,0.207565884,0.207565884
ARM,Armenia,0.621832197,0.621832197,0.621832197,0.621832197,0.621832197,0.621832197,0.621832197,0.621832197,0.621832197,0.621832197,0.621832197,0.621832197,0.621832197,0.621832197,0.621832197,0.621832197
AUS,Australia,0.290153362,0.290153362,0.290153362,0.290153362,0.290153362,0.290153362,0.290153362,0.290153362,0.290153362,0.290153362,0.290153362,0.290153362,0.290153362,0.290153362,0.290153362,0.290153362
AUT,Austria,0.435096739,0.435096739,0.435096739,0.435096739,0.435096739,0.435096739,0.435096739,0.435096739,0.435096739,0.435096739,0.435096739,0.435096739,0.435096739,0.435096739,0.435096739,0.435096739
AZE,Azerbaijan,0.486373714,0.486373714,0.486373714,0.486373714,0.486373714,0.486373714,0.486373714,0.486373714,0.486373714,0.486373714,0.486373714,0.486373714,0.486373714,0.486373714,0.486373714,0.486373714
BHS,Bahamas,0.542282915,0.542282915,0.542282915,0.542282915,0.542282915,0.542282915,0.542282915,0.542282915,0.542282915,0.542282915,0.542282915,0.542282915,0.542282915,0.542282915,0.542282915,0.542282915
BHR,Bahrain,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BGD,Bangladesh,0.217980742,0.217980742,0.217980742,0.217980742,0.217980742,0.217980742,0.217980742,0.217980742,0.217980742,0.217980742,0.217980742,0.217980742,0.217980742,0.217980742,0.217980742,0.217980742
BRB,Barbados,0.706872463,0.706872463,0.706872463,0.706872463,0.706872463,0.706872463,0.706872463,0.706872463,0.706872463,0.706872463,0.706872463,0.706872463,0.706872463,0.706872463,0.706872463,0.706872463
BLR,Belarus,0.56517706,0.56517706,0.56517706,0.56517706,0.56517706,0.56517706,0.56517706,0.56517706,0.56517706,0.56517706,0.56517706,0.56517706,0.56517706,0.56517706,0.56517706,0.56517706
BEL,Belgium,0.209912348,0.209912348,0.209912348,0.209912348,0.209912348,0.209912348,0.209912348,0.209912348,0.209912348,0.209912348,0.209912348,0.209912348,0.209912348,0.209912348,0.209912348,0.209912348
BLZ,Belize,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BEN,Benin,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BTN,Bhutan,0.350938837,0.350938837,0.350938837,0.350938837,0.350938837,0.350938837,0.350938837,0.350938837,0.350938837,0.350938837,0.350938837,0.350938837,0.350938837,0.350938837,0.350938837,0.350938837
