ISO3,name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AFG,Afghanistan,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4
ALB,Albania,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
DZA,Algeria,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.3
AND,Andorra,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
AGO,Angola,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2
ATG,Antigua and Barbuda,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
ARG,Argentina,97.2,97.2,97.2,97.2,97.2,97.2,97.2,97.2,97.2,97.2,97.2,97.2,97.2,97.2,97.2,97.2
ARM,Armenia,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
AUS,Australia,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
AUT,Austria,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
AZE,Azerbaijan,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
BHS,Bahamas,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94
BHR,Bahrain,99.4,99.4,99.4,99.4,99.4,99.4,99.4,99.4,99.4,99.4,99.4,99.4,99.4,99.4,99.4,99.4
BGD,Bangladesh,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41
BRB,Barbados,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
BLR,Belarus,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
BEL,Belgium,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
BLZ,Belize,91.7,91.7,91.7,91.7,91.7,91.7,91.7,91.7,91.7,91.7,91.7,91.7,91.7,91.7,91.7,91.7
BEN,Benin,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8
BTN,Bhutan,68.5,68.5,68.5,68.5,68.5,68.5,68.5,68.5,68.5,68.5,68.5,68.5,68.5,68.5,68.5,68.5
BOL,"Bolivia, Plurinational State of",77.5,77.5,77.5,77.5,77.5,77.5,77.5,77.5,77.5,77.5,77.5,77.5,77.5,77.5,77.5,77.5
BIH,Bosnia and Herzegovina,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
BWA,Botswana,45.4,45.4,45.4,45.4,45.4,45.4,45.4,45.4,45.4,45.4,45.4,45.4,45.4,45.4,45.4,45.4
BRA,Brazil,97.8,97.8,97.8,97.8,97.8,97.8,97.8,97.8,97.8,97.8,97.8,97.8,97.8,97.8,97.8,97.8
BRN,Brunei Darussalam,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7
BGR,Bulgaria,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
BFA,Burkina Faso,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
BDI,Burundi,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8
KHM,Cambodia,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
CMR,Cameroon,29.4,29.4,29.4,29.4,29.4,29.4,29.4,29.4,29.4,29.4,29.4,29.4,29.4,29.4,29.4,29.4
CAN,Canada,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
CPV,Cape Verde,70.4,70.4,70.4,70.4,70.4,70.4,70.4,70.4,70.4,70.4,70.4,70.4,70.4,70.4,70.4,70.4
CAF,Central African Republic,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1
TCD,Chad,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
CHL,Chile,98.5,98.5,98.5,98.5,98.5,98.5,98.5,98.5,98.5,98.5,98.5,98.5,98.5,98.5,98.5,98.5
CHN,China,99.4,99.4,99.4,99.4,99.4,99.4,99.4,99.4,99.4,99.4,99.4,99.4,99.4,99.4,99.4,99.4
COL,Colombia,93.6,93.6,93.6,93.6,93.6,93.6,93.6,93.6,93.6,93.6,93.6,93.6,93.6,93.6,93.6,93.6
COM,Comoros,40.1,40.1,40.1,40.1,40.1,40.1,40.1,40.1,40.1,40.1,40.1,40.1,40.1,40.1,40.1,40.1
COG,Congo,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
COD,"Congo, the Democratic Republic of the",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
CRI,Costa Rica,99.1,99.1,99.1,99.1,99.1,99.1,99.1,99.1,99.1,99.1,99.1,99.1,99.1,99.1,99.1,99.1
CIV,C™te d'Ivoire,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3
HRV,Croatia,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
CUB,Cuba,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97
CYP,Cyprus,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
CZE,Czech Republic,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
DNK,Denmark,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
DJI,Djibouti,49.7,49.7,49.7,49.7,49.7,49.7,49.7,49.7,49.7,49.7,49.7,49.7,49.7,49.7,49.7,49.7
DMA,Dominica,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
DOM,Dominican Republic,95.9,95.9,95.9,95.9,95.9,95.9,95.9,95.9,95.9,95.9,95.9,95.9,95.9,95.9,95.9,95.9
ECU,Ecuador,92.2,92.2,92.2,92.2,92.2,92.2,92.2,92.2,92.2,92.2,92.2,92.2,92.2,92.2,92.2,92.2
EGY,Egypt,99.4,99.4,99.4,99.4,99.4,99.4,99.4,99.4,99.4,99.4,99.4,99.4,99.4,99.4,99.4,99.4
SLV,El Salvador,86.4,86.4,86.4,86.4,86.4,86.4,86.4,86.4,86.4,86.4,86.4,86.4,86.4,86.4,86.4,86.4
GNQ,Equatorial Guinea,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27
ERI,Eritrea,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
EST,Estonia,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
ETH,Ethiopia,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3
FJI,Fiji,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
FIN,Finland,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
FRA,France,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
GAB,Gabon,36.7,36.7,36.7,36.7,36.7,36.7,36.7,36.7,36.7,36.7,36.7,36.7,36.7,36.7,36.7,36.7
GMB,Gambia,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3
GEO,Georgia,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
DEU,Germany,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
GHA,Ghana,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54
GRC,Greece,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
GRD,Grenada,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5
GTM,Guatemala,80.5,80.5,80.5,80.5,80.5,80.5,80.5,80.5,80.5,80.5,80.5,80.5,80.5,80.5,80.5,80.5
GIN,Guinea,20.2,20.2,20.2,20.2,20.2,20.2,20.2,20.2,20.2,20.2,20.2,20.2,20.2,20.2,20.2,20.2
GNB,Guinea-Bissau,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5
GUY,Guyana,77.5,77.5,77.5,77.5,77.5,77.5,77.5,77.5,77.5,77.5,77.5,77.5,77.5,77.5,77.5,77.5
HTI,Haiti,38.5,38.5,38.5,38.5,38.5,38.5,38.5,38.5,38.5,38.5,38.5,38.5,38.5,38.5,38.5,38.5
HND,Honduras,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3
HUN,Hungary,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
ISL,Iceland,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
IND,India,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5
IDN,Indonesia,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5
IRN,"Iran, Islamic Republic of",98.4,98.4,98.4,98.4,98.4,98.4,98.4,98.4,98.4,98.4,98.4,98.4,98.4,98.4,98.4,98.4
IRQ,Iraq,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85
IRL,Ireland,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
ISR,Israel,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
ITA,Italy,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
JAM,Jamaica,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92
JPN,Japan,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
JOR,Jordan,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
KAZ,Kazakhstan,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
KEN,Kenya,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
KIR,Kiribati,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
PRK,"Korea, Democratic People's Republic of",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
KOR,"Korea, Republic of",26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26
KWT,Kuwait,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
KGZ,Kyrgyzstan,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
LAO,Lao People's Democratic Republic,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
LVA,Latvia,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
LBN,Lebanon,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
