ISO3,name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AFG,Afghanistan,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.025,0.032,0.038,0.045,0.051,0.051
ALB,Albania,0.193,0.193,0.193,0.208,0.222,0.231,0.232,0.234,0.234,0.275,0.275,0.275,0.275,0.275,0.275,0.275
DZA,Algeria,0.151,0.170,0.181,0.192,0.202,0.216,0.229,0.254,0.272,0.280,0.305,0.312,0.343,0.390,0.437,0.437
AND,Andorra,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.110,0.113,0.111,0.127,0.137,0.148,0.148,0.148
AGO,Angola,0.009,0.009,0.009,0.009,0.008,0.009,0.011,0.012,0.044,0.033,0.041,0.040,0.040,0.040,0.040,0.040
ATG,Antigua and Barbuda,0.210,0.210,0.210,0.210,0.210,0.210,0.210,0.210,0.210,0.210,0.210,0.210,0.210,0.210,0.210,0.210
ARG,Argentina,0.675,0.675,0.675,0.675,0.697,0.762,0.827,0.879,0.920,0.935,0.923,0.973,0.968,0.968,0.968,0.968
ARM,Armenia,0.236,0.236,0.210,0.274,0.338,0.337,0.356,0.378,0.357,0.375,0.401,0.454,0.489,0.682,0.716,0.716
AUS,Australia,1.000,1.000,1.000,0.949,0.934,0.935,0.953,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
AUT,Austria,0.648,0.683,0.705,0.740,0.766,0.795,0.803,0.671,0.677,0.687,0.690,0.704,0.719,0.782,0.782,0.782
AZE,Azerbaijan,0.257,0.250,0.242,0.211,0.225,0.224,0.222,0.215,0.209,0.204,0.206,0.205,0.206,0.214,0.272,0.272
BHS,Bahamas,0.214,0.214,0.214,0.214,0.214,0.214,0.214,0.214,0.214,0.214,0.214,0.214,0.214,0.214,0.214,0.214
BHR,Bahrain,0.259,0.263,0.279,0.295,0.311,0.311,0.311,0.311,0.311,0.311,0.311,0.311,0.311,0.311,0.311,0.311
BGD,Bangladesh,0.069,0.069,0.069,0.069,0.069,0.069,0.082,0.078,0.079,0.073,0.080,0.092,0.100,0.106,0.112,0.112
BRB,Barbados,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
BLR,Belarus,0.578,0.612,0.633,0.687,0.727,0.763,0.799,0.830,0.859,0.879,0.909,0.940,0.977,1.000,1.000,1.000
BEL,Belgium,0.771,0.795,0.800,0.805,0.810,0.826,0.837,0.855,0.869,0.889,0.890,0.895,0.887,0.900,0.900,0.900
BLZ,Belize,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.037,0.061,0.086,0.111,0.135,0.160,0.160
BEN,Benin,0.031,0.031,0.037,0.043,0.048,0.055,0.066,0.078,0.086,0.087,0.086,0.084,0.084,0.084,0.084,0.084
BTN,Bhutan,0.038,0.038,0.038,0.038,0.038,0.045,0.044,0.050,0.056,0.063,0.069,0.072,0.078,0.094,0.094,0.094
BOL,"Bolivia, Plurinational State of",0.366,0.366,0.399,0.431,0.470,0.510,0.542,0.547,0.580,0.580,0.569,0.558,0.547,0.547,0.547,0.547
BIH,Bosnia and Herzegovina,0.479,0.479,0.479,0.479,0.479,0.479,0.479,0.479,0.479,0.479,0.479,0.479,0.479,0.504,0.529,0.529
BWA,Botswana,0.073,0.079,0.078,0.077,0.076,0.082,0.088,0.095,0.110,0.108,0.106,0.108,0.108,0.108,0.108,0.108
BRA,Brazil,0.169,0.169,0.179,0.189,0.207,0.229,0.254,0.288,0.318,0.340,0.364,0.396,0.429,0.492,0.537,0.537
BRN,Brunei Darussalam,0.143,0.143,0.143,0.143,0.176,0.184,0.202,0.195,0.198,0.212,0.215,0.215,0.220,0.229,0.245,0.245
BGR,Bulgaria,0.521,0.587,0.620,0.621,0.651,0.639,0.612,0.574,0.581,0.588,0.626,0.653,0.704,0.729,0.729,0.729
BFA,Burkina Faso,0.015,0.014,0.013,0.014,0.014,0.015,0.016,0.020,0.022,0.022,0.032,0.034,0.036,0.044,0.049,0.049
BDI,Burundi,0.012,0.012,0.012,0.012,0.014,0.017,0.016,0.026,0.027,0.033,0.033,0.033,0.034,0.036,0.038,0.038
KHM,Cambodia,0.020,0.022,0.016,0.013,0.021,0.029,0.031,0.036,0.045,0.043,0.051,0.065,0.077,0.100,0.143,0.143
