ISO3,name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AFG,Afghanistan,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ALB,Albania,50,30,30,30,30,30,50,50,50,50,70,70,70,70,70,70
DZA,Algeria,50,50,50,50,50,50,50,30,30,30,30,20,30,30,30,30
AND,Andorra,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
AGO,Angola,30,30,30,30,30,33.33333333,36.66666667,40,43.33333333,46.66666667,50,40,40,40,40,40
ATG,Antigua and Barbuda,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ARG,Argentina,70,70,70,70,70,70,70,30,30,30,30,40,40,40,30,30
ARM,Armenia,50,50,50,50,70,70,70,70,90,90,70,70,70,70,70,70
AUS,Australia,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90
AUT,Austria,90,90,70,70,70,70,70,70,70,70,70,70,70,70,70,70
AZE,Azerbaijan,30,30,30,30,30,30,30,30,30,30,30,30,30,40,40,40
BHS,Bahamas,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70
BHR,Bahrain,70,70,70,70,70,80,80,80,80,80,90,90,90,80,80,80
BGD,Bangladesh,50,50,50,30,30,30,30,30,30,10,30,20,20,20,20,20
BRB,Barbados,70,70,70,70,70,70,70,70,70,70,70,60,60,60,60,60
BLR,Belarus,70,50,50,30,30,30,30,30,30,30,30,10,10,10,10,10
BEL,Belgium,70,70,70,70,70,70,70,70,70,70,70,80,80,80,70,70
BLZ,Belize,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
BEN,Benin,50,50,50,50,50,50,50,50,50,50,50,60,60,60,50,50
BTN,Bhutan,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
BOL,"Bolivia, Plurinational State of",70,70,70,70,70,70,70,70,70,70,70,60,60,60,50,50
BIH,Bosnia and Herzegovina,10,10,10,10,30,30,30,50,70,70,70,60,60,60,60,60
