ISO3,name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AFG,Afghanistan,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ALB,Albania,81.7,81.7,81.5,82.1,82.9,80.2,79.5,79.2,83.8,83.6,83.3,81.2,87.3,90.3,92.8,92.6
DZA,Algeria,48.8,48.8,48.8,48.6,48.7,64.7,64.6,65,65.2,74.1,73.9,73.9,73.8,77,77.2,83.5
AND,Andorra,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
AGO,Angola,61.6,54.6,52.6,59.1,47.9,53.4,58.65,63.9,69.15,74.4,79.65,84.9,85,85.2,85.2,85.1
ATG,Antigua and Barbuda,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ARG,Argentina,80.7,80.2,80.2,77.7,77.6,74,72.5,72.4,72.2,72.4,72.7,71.5,70.7,70.5,70.3,69.5
ARM,Armenia,75.8,75.8,80.7,80.9,80.3,79.3,81.9,88.3,88.9,90,89.9,90,89.7,89,90,89.3
AUS,Australia,59.6,59.3,56.6,56.1,55.7,55.8,55.4,56.4,58.6,59.6,59.1,58.9,59.5,59.2,61.4,61.4
AUT,Austria,46.3,45.9,46.1,46.5,45.5,44.2,44.2,44.5,45.3,43.5,44.4,50.2,50.3,51.2,49.9,51.2
AZE,Azerbaijan,46.3,46.3,54.6,70.3,71.6,71.3,71.8,78.4,78.4,78.3,79.2,80,80.8,80.4,79.7,79.5
BHS,Bahamas,97.7,97.8,97.3,97.2,97.2,97.2,97.3,97,96.9,97.1,96.7,96.8,96.6,96.2,96.5,95.2
BHR,Bahrain,99.4,99.4,99.5,99.4,99.4,99.6,99.2,99.3,99.5,99.5,99.5,99.4,99.4,99.7,99.9,99.9
BGD,Bangladesh,44,79.2,70.6,73,77.2,77.2,77.3,77.3,77.2,77.2,84.1,84.1,84.1,84,72.8,72.8
BRB,Barbados,60.8,60.8,60.7,60.3,60.3,58.6,58.8,59,60.4,59.8,60.6,67.4,67.4,71.3,70.9,70.1
BLR,Belarus,42,38,38,43.4,44.9,58.3,66,68.2,65.3,75.4,76.2,78.9,81.8,81,79.4,85.2
BEL,Belgium,33.9,33.9,33.7,33.7,33.5,33.1,33.2,33.7,33.7,43.1,42.1,42.8,44.1,43.9,41.5,42.2
BLZ,Belize,63.2,63.3,63.3,63.7,63.6,58.9,83.6,84.5,84.3,84.1,83.9,83.9,69.7,69.3,68.8,68.3
BEN,Benin,72.1,72.1,71.9,71.8,71.7,71.5,71.5,71.4,52.3,52.4,52.2,67.3,67.8,67.5,67.2,75.9
BTN,Bhutan,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,84.1
BOL,"Bolivia, Plurinational State of",91,89.2,89.1,89.1,88.9,89,88.2,88.7,88.6,88.9,88.9,90.4,88.9,87.8,84.8,84.3
BIH,Bosnia and Herzegovina,78.8,78.8,78.8,78.8,78.8,82,67,66.8,66.1,70.1,70.1,75.1,74.9,73.7,71.8,83.2
BWA,Botswana,53.7,63.5,75.9,76.6,80.3,77.8,80.4,73.1,69.4,75.9,75.6,73.9,73.9,76.4,75.1,74.1
BRA,Brazil,76.7,66.7,88.3,88.6,88.7,87.2,87,86.3,90.2,90.2,86.2,83.8,68.6,68.6,65.8,68.4
BRN,Brunei Darussalam,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
BGR,Bulgaria,46,50.6,48.9,53.5,68,67.9,58.1,68.3,72.4,81.1,80.3,83.2,82.4,82.7,86.2,86.3
BFA,Burkina Faso,66.7,66.7,66.5,66.3,66.1,69.2,73.4,65.9,77.1,77.7,77.6,77.6,77.4,77.5,80.7,80.4
BDI,Burundi,43.6,43.6,43.6,43.7,44.7,44.8,49.01666667,53.23333333,57.45,61.66666667,65.88333333,70.1,70.1,72.1,72.5,72.2
KHM,Cambodia,91.7,91.7,91.7,91.6,91.6,91.6,91.6,91.3,91.3,91.4,91.3,91.3,91.4,91.4,91.4,91
CMR,Cameroon,51.1,51.3,51,50.9,50.9,50.6,50.4,50.4,50.2,50.4,69,69.4,69.5,71.8,69.6,71.8
CAN,Canada,64.2,64.6,38.1,38.1,39.2,40,41.5,71.1,72.7,73.6,75.1,75.3,75.9,75.5,76.6,76.7
CPV,Cape Verde,64.3,64.3,63.6,63.5,64.7,65,64.9,64.5,64.2,64,81.2,77.1,67,66.2,65.5,65.6
CAF,Central African Republic,65.3,65.3,65.3,65.3,65.3,65.3,65.3,65.3,65.4,65.5,65.3,58.8,65.6,65.5,65.4,65.5
TCD,Chad,46.2,46.2,46.2,46.1,46,45.9,45.9,45.9,46,46,50.2,49.8,49.8,49.9,50.5,50.5
CHL,Chile,79.4,89.8,73.5,73,73,73.2,73.7,74,75,78.5,78.3,78.6,78.8,78.1,78.2,77.5
CHN,China,70.6,70.7,70.4,70.5,70.5,70.4,70.4,70.3,66.9,66.4,67.9,70,66.6,66.4,70.6,70.2
COL,Colombia,80.5,80.4,77.3,76.2,75.9,72.4,72.4,72.6,72.5,66.7,66.7,66.6,71.7,72.8,72.9,74.3
COM,Comoros,64.6,64.6,64.6,64.6,64.6,64.6,64.6,64.6,64.6,64.6,64.6,64.6,64.6,64.6,64.6,65
COG,Congo,50.9,54.7,54.7,54.5,54.5,54.6,56.67777778,58.75555556,60.83333333,62.91111111,64.98888889,67.06666667,69.14444444,71.22222222,73.3,74
COD,"Congo, the Democratic Republic of the",49.6,49.6,54.1,54.5,54.5,54.6,54.3,54.5,58.8,59.4,60.2,51,59.8,60.1,60.2,60.3
CRI,Costa Rica,82.6,82.5,82.7,82.4,83.2,83.2,83.2,83.3,83.2,83,83,83,83,82.9,82.8,82.4
CIV,C™te d'Ivoire,52.2,52.2,51.9,51.2,50.9,51.8,52.1,52.2,52.4,52.2,52,52.2,52.1,52.3,58.1,78.3
HRV,Croatia,77.4,77.4,74.4,68.3,68.4,68.9,66.9,68.3,77.6,67.3,59.3,69.6,69.9,68.8,68.7,70.3
CUB,Cuba,47.6,47.6,47.6,47.6,47.6,47.6,46.5,46.5,50.9,49.9,46.7,44.2,51.7,54.8,45.9,45.9
CYP,Cyprus,71.9,71.9,71.3,71.1,71.2,71.7,71.4,71.2,70.7,81.4,79,79.1,79.4,78.2,76.6,72.7
CZE,Czech Republic,46.7,47.5,53.7,54.7,59.2,58.1,67.5,66.8,67.2,67,68.2,68.8,69.9,71.3,80.2,80.1
DNK,Denmark,31.5,31.5,30.6,30.6,30.3,30.5,31.6,32.2,32.6,33.6,33.9,35.5,34.2,35,35.4,35.9
DJI,Djibouti,84.1,84.1,84.1,84.7,84.9,86,87.1,78.8,80.1,80.5,80.3,80.3,80.5,80.8,80.8,78.2
DMA,Dominica,67.4,67.4,67.4,67.4,67.4,67.4,67.4,67.4,67.4,67.4,67.4,67.4,67.4,67.4,67.4,67.7
DOM,Dominican Republic,84.3,85.4,85.7,85.7,85.8,85.3,85.3,85.3,85.3,85,84.9,85.4,79.7,80.4,85.2,85.3
ECU,Ecuador,81.8,79,78.2,86.9,87,86.6,90.8,86.7,86.3,85.4,85,86.2,86.5,86.4,85.8,79.3
EGY,Egypt,46,56.2,55.9,56.5,64.9,65.3,66.1,65.6,66.1,66.1,66.1,64.7,90.4,90.8,89.5,89.7
SLV,El Salvador,83.8,83.7,83.6,83.5,83.6,83.7,83.7,83.7,83.7,83.6,83.5,86.2,83.5,83.4,85.7,85.7
GNQ,Equatorial Guinea,89.3,89.3,89.3,89.3,89.3,89.4,89.5,89.6,89.7,89.7,92.7,75.4,75.4,75.4,75.5,75.5
ERI,Eritrea,86.4,86.4,86.4,86.4,86.4,86.4,86.4,86.4,86.4,86.4,86.4,86.4,86.4,86.4,86.4,73
EST,Estonia,82,73.2,71.4,72.2,72.8,72.5,79.6,80,80.4,83.8,82.9,83.8,84.5,86,81.5,80.2
ETH,Ethiopia,41,48.8,48.7,48.4,48.3,66.6,66.7,70.3,69.9,70.2,73.5,70.8,77.2,77.2,77.4,77.7
FJI,Fiji,57.1,67.4,71,70.9,71.1,70.8,70.7,70.9,75.4,78.3,78.5,76.9,75.5,74.5,76,75.7
FIN,Finland,58.4,58.4,54.9,38.5,38.4,37.2,55.6,55.6,54.9,57.5,58,61.9,63.1,64.3,64.3,65.4
FRA,France,60.8,60.6,38.1,38.2,42.4,35.1,33.9,37.2,41.3,44.3,44.8,46.6,46.3,53.2,50.9,51.9
GAB,Gabon,49.4,52.5,49.9,49.5,53.5,53.1,52.2,53.2,56.4,61.5,61.2,59.7,61.3,61.7,61.7,61.5
GMB,Gambia,72.5,72.5,72.5,72.8,70.5,72.5,72.7,73,72.9,73.8,73.5,71,72,72.5,71.9,71.9
GEO,Georgia,92,92,92,91.7,91.3,90.8,90.9,90.7,90.6,90.6,89.9,94.1,91.2,90.7,86.8,89.1
DEU,Germany,33.2,44,37.8,37.8,38.3,38.6,44.7,53.3,55.7,56.4,58.4,60.8,61.4,58.4,58.5,58.3
GHA,Ghana,66.3,73.8,72.9,73.3,73.2,73.3,73,73.3,74.5,77.5,77.4,75.6,82.5,83.7,83.2,83.5
GRC,Greece,62.5,58,54,53.3,47.6,52.2,50.9,50.1,57.2,58.4,58,61,62.4,65.6,66.5,65.9
GRD,Grenada,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
GTM,Guatemala,86.8,84.1,81.5,81.4,84,82.7,86.7,79.8,79.8,79.8,77,79.7,79.8,79.9,79.4,79.3
GIN,Guinea,71.3,71.4,71.4,71.4,71.4,71.3,71.3,71.3,71.2,71.2,71,70.3,74.3,70.1,71.1,69.9
GNB,Guinea-Bissau,65.5,65.5,65.5,65.5,65.5,65.4,65.9,65.1,82.5,82.7,83,81,82.9,88.4,88.4,88.6
