ISO3,name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AFG,Afghanistan,,,,,,,,578.8884948,659.2476674,723.4946146,834.8776273,933.3307896,937.8866106,955.0275931,1321.323797,
ALB,Albania,2939.642218,3297.797557,3032.573994,3468.932745,3882.555791,4259.30791,4658.009188,4860.034621,5230.006539,5673.623382,6161.607781,6878.015825,7363.602919,8414.646766,8716.006729,
DZA,Algeria,4590.459014,4786.293959,4847.917632,5077.933839,5242.045133,5395.332006,5579.134438,5849.358687,6293.317735,6707.121276,7175.964274,7444.943065,7812.37081,8052.215214,8172.475217,
AND,Andorra,,,,,,,,,,,,,,,,
AGO,Angola,1749.934388,1929.486699,2065.777995,2177.181726,2223.475479,2277.126836,2332.520557,2631.637771,2691.60024,2984.2298,3611.492632,4299.187623,5206.427427,5873.047312,5812.021995,
ATG,Antigua and Barbuda,10403.77006,11024.51814,11463.45924,11800.03184,12171.8937,12345.81711,12654.91593,12959.93008,13699.03753,14866.37108,15791.64295,18234.8027,20324.14267,20565.85954,18778.49063,
ARG,Argentina,7839.240437,8322.77159,9042.253007,9380.842843,9089.309416,9112.116308,8817.325458,7908.391423,8712.536474,9679.765205,10819.30039,12001.15606,13354.96217,14425.85156,14538.32401,
ARM,Armenia,1389.998393,1523.782437,1621.415275,1774.052567,1870.614882,2033.462358,2286.92336,2634.690359,3068.914432,3485.133737,4097.815434,4784.061832,5618.593701,6122.599655,5278.876583,
AUS,Australia,20913.92971,21964.22868,22962.13314,24292.69622,25368.41357,26424.95407,27469.86062,28906.75394,30003.23784,31481.33137,32698.43539,34305.56969,36296.3598,37280.1317,39539.13536,
AUT,Austria,23479.58273,24296.45081,24900.14387,26056.49819,26977.27871,28769.61085,28796.60939,30225.41741,31082.31599,32577.0987,33376.79345,36205.56962,37802.48806,39847.1462,38817.79913,
AZE,Azerbaijan,1511.196787,1544.439255,1647.078627,1814.914366,1960.442733,2207.057402,2461.399775,2745.967708,3095.787657,3477.699081,4496.143936,6175.783894,7897.336726,8839.764725,9638.188186,
BHS,Bahamas,,,,,,,,,,,,,,,,
BHR,Bahrain,17297.29801,17880.55257,18313.18426,18968.95039,19629.83663,20647.43306,21590.54637,22575.36152,24167.34707,25661.41649,27961.80275,30144.80246,33064.77905,35174.1416,,
BGD,Bangladesh ,620.5012764,648.8094776,682.6279478,712.8160016,744.5300268,791.3576317,836.9877264,872.8598098,922.81688,992.1218459,1069.265688,1159.507192,1257.802153,1345.691801,1416.323365,
BRB,Barbados,,,,,,,,,,,19188.63992,,,,,
BLR,Belarus,3474.491066,3652.256866,4158.358889,4580.381879,4821.807798,5227.474848,5618.110886,6024.783933,6622.173258,7627.836364,8540.815921,9787.884053,11155.03143,12714.23459,13039.71948,
BEL,Belgium,22442.16736,22790.20498,23822.24339,24347.6675,25323.40326,27608.27821,28472.18001,30005.04305,30232.74712,31139.31387,32126.66108,34143.4159,35584.90265,36877.47987,36312.65152,
BLZ,Belize,3946.049249,3977.905508,4046.159605,4093.71621,4432.92502,4982.031038,5191.672804,5379.845819,5821.498498,6065.875927,6254.342073,6543.29387,6627.580468,6796.424357,6627.943545,
BEN,Benin,934.8589701,974.4260869,1021.683312,1049.037267,1081.69964,1133.411305,1178.175113,1210.069346,1241.558412,1272.643621,1309.033622,1361.918499,1426.875801,1484.84932,1507.88121,
BTN,Bhutan,1821.137456,1963.731032,2075.616242,2165.102594,2283.690074,2436.943358,2587.442268,2775.397632,2984.397015,3219.421347,3470.666863,3730.133783,4535.512059,4788.403921,5112.937961,
BOL,"Bolivia, Plurinational State of",2600.569753,2705.971471,2829.214275,2942.711499,2937.082329,3013.306807,3070.261724,3133.853081,3223.517631,3386.643409,3757.493251,3982.296827,4044.953734,4310.753851,4419.336334,
BIH,Bosnia and Herzegovina,1333.546505,2588.578471,3477.460252,3931.524675,4225.047066,4440.095007,4671.276202,4962.0958,5262.035293,5743.252145,6232.316076,7085.146126,7885.443672,8714.746897,8578.287011,
BWA,Botswana,6166.575879,6475.156199,7095.043026,7765.195102,8117.768843,8629.904702,8996.910893,9832.475679,10546.29327,11354.72858,11772.06865,12600.79381,13459.82006,13971.26096,13384.46546,
BRA,Brazil,6296.268727,6456.215008,6690.829727,6668.561816,6683.95375,7020.555083,7171.496571,7378.813865,7523.088602,8074.789953,8505.417044,9028.31445,9804.285861,10434.37619,10366.87661,
BRN,Brunei Darussalam,41012.98671,41897.87282,40962.38029,40192.44252,41037.12747,42140.77642,43311.52065,44757.14134,46088.61847,46680.76556,47468.34359,50168.98544,51204.56859,,,
BGR,Bulgaria,5537.172363,4642.153691,4859.199077,5468.782985,5666.098919,6308.651879,6852.728264,7578.388256,8208.368054,8872.624908,9807.273279,11073.48069,12364.11437,14034.10522,13869.58423,
BFA,Burkina Faso,618.7685369,680.9746845,716.7295444,756.2879536,800.6976436,808.4649841,854.7116229,880.7153929,940.6737402,978.9101652,1040.053358,1094.971689,1133.634154,1175.421469,1186.948027,
BDI,Burundi,320.0619162,297.4310637,295.7983369,311.0740225,309.2701845,308.6178178,315.7097544,327.0390583,321.0254899,336.1105399,340.182851,358.3045122,372.4386857,386.0685864,392.1151769,
KHM,Cambodia,648.761282,678.7232837,711.8985983,739.0482819,821.700512,895.3334409,971.3752457,1035.453406,1129.351935,1261.292584,1452.70876,1634.900355,1833.423091,1966.178863,1914.992266,
CMR,Cameroon,1336.569302,1394.439167,1455.337106,1509.29235,1561.25117,1623.292762,1694.762439,1749.977111,1816.993613,1893.280707,1955.683701,2036.982424,2131.200725,2190.648376,2204.876906,
CAN,Canada,22696.57908,23253.18663,24406.25508,25472.22485,27050.51623,28407.24262,29272.48281,29903.3646,31232.68942,32789.85852,35033.42293,36771.23798,38301.85537,38901.6727,37808.02016,
CPV,Cape Verde,1498.028033,1554.522177,1634.272205,1741.174285,1883.147883,2013.819233,2099.938784,2193.761882,2340.186769,2350.802188,2675.832018,2997.720614,3320.266866,3561.338253,3643.617766,
CAF,Central African Republic,617.7696325,589.4472901,616.4511626,637.5501276,655.3894461,670.7546257,674.4604059,669.0946686,620.5905057,633.3825517,658.305785,692.6375057,729.0097829,746.9731205,757.3938915,
TCD,Chad,620.6613975,626.3288817,652.2746424,682.9150735,665.5034691,650.9843522,717.1987701,762.3533295,861.6109486,1143.5312,1342.031647,1347.091078,1357.044888,1344.369897,1300.130047,
CHL,Chile,7438.102124,8028.631821,8583.723613,8838.187987,8782.764576,9257.24477,9667.33144,9920.77553,10452.52299,11276.50249,12171.53678,13008.75198,13865.19449,14542.62853,14311.28527,
CHN,China,1507.412882,1672.241378,1841.229168,1988.128085,2151.864849,2364.385715,2599.730099,2863.135819,3197.354636,3598.635366,4114.573523,4761.288038,5594.418806,6233.503312,6827.950004,
COL,Colombia,5543.180654,5662.773092,5856.251997,5853.277175,5592.789654,5865.527797,5999.80512,6150.175997,6426.656603,6853.948393,7305.009429,7925.047747,8633.28066,8931.505957,8959.237574,
COM,Comoros,920.6455448,906.7814956,939.9970232,942.7074045,954.5592967,968.3753609,1001.920463,1038.291004,1064.208995,1068.93941,1127.253692,1153.18662,1170.323133,1179.119235,1182.918402,
