ISO3,name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AFG,Afghanistan,6.229974227,6.260433434,6.290892642,6.321351849,6.351811057,6.382270264,6.412729472,6.443188679,6.551853333,6.616895761,6.72728516,6.806752135,6.777928672,6.774414122,7.08994797,7.144780377
ALB,Albania,8.190375968,8.28640168,8.184981807,8.308168833,8.406266144,8.477474109,8.544537347,8.570879643,8.622921853,8.676385895,8.726093026,8.77129801,8.826142981,8.895011302,8.915899867,8.9678526
DZA,Algeria,8.63606811,8.658903249,8.654119304,8.689226307,8.706484213,8.713901561,8.724982849,8.75616611,8.807997718,8.843727776,8.878492425,8.88328275,8.897763372,8.906376403,8.912085686,8.934213773
AND,Andorra,10.28576417,10.31622338,10.34668258,10.37714179,10.407601,10.43806021,10.46851941,10.49897862,10.52943783,10.55989704,10.59035624,10.62081545,10.65127466,10.68173387,10.71219307,10.74209482
AGO,Angola,7.671666383,7.75040085,7.801076954,7.842353107,7.848844001,7.851281913,7.85289867,7.95744046,7.958645226,8.033899627,8.191876437,8.334173812,8.491948799,8.590802799,8.571242389,8.637866117
ATG,Antigua and Barbuda,9.454256334,9.493268556,9.514734564,9.532424083,9.548901997,9.541684735,9.543994954,9.551696377,9.585834902,9.639659625,9.667236152,9.779079736,9.853864366,9.844061564,9.744025959,9.77073549
ARG,Argentina,9.171230035,9.212142164,9.277478415,9.302991467,9.256871432,9.237972415,9.182667791,9.057758483,9.133272287,9.210595582,9.289086891,9.360750715,9.433942907,9.489451011,9.488102057,9.506556684
ARM,Armenia,7.441390679,7.514342531,7.55886944,7.637588368,7.676039689,7.73810736,7.833156606,7.958599746,8.089833218,8.189064356,8.31820929,8.441037673,8.568136295,8.632415954,8.475027166,8.559910368
AUS,Australia,10.14751746,10.17532931,10.2024008,10.23532536,10.27421352,10.30103085,10.30715352,10.33253232,10.3513035,10.38027555,10.39508251,10.41056787,10.42963836,10.44935241,10.44170704,10.46299203
AUT,Austria,10.22418856,10.24474769,10.26500923,10.29890806,10.32929426,10.3639829,10.36525183,10.37655366,10.38031582,10.39845848,10.41561613,10.4450202,10.47942126,10.49663125,10.45371925,10.47167255
AZE,Azerbaijan,7.524989999,7.527807744,7.574573235,7.660360138,7.72294283,7.820027561,7.906679405,7.999967629,8.098551692,8.186928829,8.410975405,8.696383553,8.908580473,8.999689429,9.077047003,9.19345856
BHS,Bahamas,9.735337656,9.765796863,9.796256071,9.826715278,9.857174486,9.887633693,9.918092901,9.948552108,9.979011316,10.00947052,10.03992973,10.07038894,10.10084815,10.13130735,10.16176656,10.19166831
BHR,Bahrain,9.962638393,9.976860515,9.983191297,10.0071253,10.02682318,10.05595843,10.07820475,10.1066932,10.15351175,10.1855465,10.23859467,10.28176025,10.34052353,10.38074037,10.41930072,10.45321331
BGD,Bangladesh,6.634860471,6.660530673,6.693764745,6.725789899,6.754770402,6.794362137,6.828003331,6.853853761,6.888184864,6.932648586,6.974727419,7.023742812,7.071420768,7.117337398,7.159378194,7.196412948
BRB,Barbados,9.557481637,9.587940845,9.618400052,9.64885926,9.679318467,9.709777675,9.740236882,9.77069609,9.801155297,9.831614505,9.862073712,9.929892966,9.960352173,9.990811381,10.02127059,10.05420902
BLR,Belarus,8.357536101,8.388492137,8.500690544,8.586104227,8.622921418,8.682295766,8.731944669,8.785715698,8.858932927,8.972362173,9.052611823,9.156893031,9.253945539,9.363151366,9.379313903,9.451844035
BEL,Belgium,10.19174033,10.20372046,10.23811259,10.25505583,10.28762195,10.32123781,10.32566089,10.334776,10.3384407,10.36594237,10.37744153,10.39741026,10.41887273,10.42110837,10.38574888,10.40151258
BLZ,Belize,8.484802976,8.473902268,8.473338231,8.473775019,8.53883214,8.634205072,8.653005161,8.672493797,8.730067027,8.743236892,8.741031233,8.75418842,8.733294694,8.736825811,8.702608441,8.724659732
BEN,Benin,7.044728493,7.067240231,7.097021618,7.112194708,7.128306043,7.153599363,7.16991593,7.18051175,7.184876699,7.181654265,7.177044451,7.184642099,7.197542193,7.215742466,7.222019352,7.233024517
BTN,Bhutan,7.71154937,7.767993093,7.805828139,7.836789601,7.875565086,7.919111957,7.956619049,8.010628109,8.061907046,8.109759575,8.152102034,8.192191832,8.353992883,8.386626313,8.443088042,8.493764815
BOL,Bolivia,8.067818645,8.088607828,8.115569077,8.143653288,8.127189182,8.131405507,8.127712013,8.132097345,8.13898252,8.160397223,8.231507326,8.257606477,8.239525006,8.281541963,8.297303393,8.312466136
BIH,Bosnia and Herzegovina,7.399930027,8.044255713,8.32187226,8.433349162,8.490802899,8.519043199,8.547381514,8.591662273,8.629027214,8.688583563,8.737503305,8.797600634,8.864558414,8.91874694,8.89094492,8.952451005
BWA,Botswana,8.931231809,8.961119572,9.03496642,9.113973435,9.143827842,9.183600887,9.202830487,9.275524833,9.324283773,9.370192209,9.373484941,9.409507545,9.441763849,9.457431599,9.4054086,9.44168123
BRA,Brazil,8.952045281,8.958190075,8.976307937,8.96172607,8.949482189,8.977209711,8.976063563,8.988446984,8.986486097,9.029304794,9.048458539,9.076113421,9.124874516,9.165534926,9.149929641,9.16531299
BRN,Brunei Darussalam,10.82597685,10.8283819,10.78822414,10.75800083,10.7642497,10.76938326,10.77436787,10.7910851,10.79907536,10.78389014,10.76781832,10.79114475,10.77788365,10.77895629,10.77895629,10.77719281
BGR,Bulgaria,8.831014936,8.741625793,8.730305006,8.784421045,8.809824093,8.883700197,8.943161686,8.993811652,9.053266188,9.123952923,9.190879561,9.259262764,9.326863471,9.391937972,9.346247305,9.395964488
BFA,Burkina Faso,6.632064081,6.708916694,6.742513331,6.784988769,6.827500621,6.815749514,6.848958053,6.862813326,6.907350409,6.919242535,6.947027296,6.96647624,6.967483431,6.982055948,6.982699188,7.005386827
BDI,Burundi,5.972847274,5.880574042,5.857492694,5.896597472,5.876232498,5.852715822,5.853017217,5.872158411,5.832274573,5.850242752,5.82948327,5.84937567,5.854372036,5.868688927,5.875114195,5.870950666
KHM,Cambodia,6.679397634,6.705605072,6.735750249,6.761929827,6.853393207,6.917808354,6.97690677,7.024673486,7.090153284,7.172694993,7.281185203,7.36732959,7.448239654,7.496521163,7.461027443,7.523524547
CMR,Cameroon,7.402194196,7.425639145,7.450807607,7.475962752,7.49526003,7.51282408,7.53349178,7.54943679,7.565692599,7.578869085,7.57849513,7.587217241,7.598740435,7.604626729,7.601985542,7.61621052
CAN,Canada,10.23200091,10.23728763,10.26810811,10.2996091,10.3451772,10.38735671,10.39494227,10.41479677,10.42347045,10.44417306,10.46405783,10.48152147,10.49331738,10.48836638,10.45065643,10.46931839
CPV,Cape Verde,7.516237687,7.534315058,7.566767616,7.618881615,7.682717281,7.72840046,7.747857397,7.775451906,7.818740066,7.795314564,7.892015646,7.973599936,8.042100054,8.090565555,8.104290939,8.146817603
CAF,Central African Republic,6.630448434,6.564576864,6.591793868,6.614199479,6.627246852,6.629015531,6.612106896,6.58800436,6.491425499,6.483877245,6.489669542,6.508499235,6.525986766,6.528703089,6.53344203,6.524566638
TCD,Chad,6.635118489,6.625267166,6.64828047,6.682937082,6.64256107,6.599097751,6.673546951,6.718488938,6.819557879,7.074678956,7.201939899,7.173695242,7.147364352,7.116354593,7.073778155,7.120508226
CHL,Chile,9.120388381,9.176678386,9.226451447,9.244930895,9.224607691,9.256284668,9.277688413,9.287931736,9.315352707,9.363279069,9.406855454,9.441370093,9.476142973,9.502297803,9.477068011,9.502812186
CHN,China,7.522482946,7.607311711,7.68600342,7.751515388,7.816107336,7.888885673,7.961356835,8.041751546,8.130833116,8.221112646,8.322290468,8.43626596,8.563824352,8.650367671,8.732338342,8.815204187
COL,Colombia,8.824656549,8.827060559,8.843079853,8.831323558,8.771250705,8.797459894,8.797676192,8.80631478,8.828963759,8.865382831,8.896315615,8.945776076,8.997679472,9.010014188,9.00399899,9.019092453
COM,Comoros,7.029407912,6.995293074,7.013691475,7.005322527,7.003266984,6.996231927,7.007867825,7.027410178,7.03074112,7.007224888,7.027539592,7.018276816,6.999334786,6.985196916,6.979298466,6.978190021
COG,Congo,8.045799443,8.06903638,8.046506484,8.06716156,8.024006238,8.078054957,8.09325896,8.113928626,8.096708011,8.106786768,8.159518258,8.198968854,8.164458158,8.200787133,8.255394444,8.269233269
COD,"Congo,DRC",5.366584704,5.397043911,5.427503119,5.457962326,5.488421534,5.518880741,5.549339949,5.579799156,5.610258363,5.640717571,5.671176778,5.701635986,5.732095193,5.762554401,5.793013608,5.822915354
CRI,Costa Rica,8.882831354,8.866592403,8.895653786,8.95135629,9.00627063,9.001225452,8.990267032,8.998343861,9.041101583,9.06477026,9.105197009,9.173908593,9.234729983,9.247040047,9.218776399,9.246116054
CIV,Cªte d'Ivoire,7.448454339,7.491539838,7.516875829,7.534423452,7.523042132,7.460124601,7.436659089,7.40061456,7.364214124,7.361287649,7.352477013,7.33726973,7.331685829,7.330566662,7.342663211,7.327508954
HRV,Croatia,9.20261771,9.298336101,9.344513033,9.379739001,9.357549135,9.422876572,9.455625956,9.503256073,9.555573985,9.59625416,9.637486101,9.686109659,9.736371723,9.760539208,9.701240162,9.738430102
CUB,Cuba,8.75345226,8.783911467,8.814370675,8.844829882,8.87528909,8.905748297,8.936207505,8.966666712,8.99712592,9.027585127,9.058044335,9.088503542,9.11896275,9.149421957,9.179881164,9.20978291
CYP,Cyprus,9.908667975,9.911048919,9.92008757,9.957028453,9.993168898,10.03172991,10.0600318,10.06839084,10.06995022,10.08781668,10.10246621,10.12377622,10.15258369,10.17612471,10.15653931,10.17615212
CZE,Czech Republic,9.654954272,9.695988731,9.689710617,9.682984955,9.697447663,9.734220777,9.763297999,9.78396323,9.819106685,9.862129068,9.921440582,9.984053225,10.03724517,10.05289503,10.00322453,10.03360137
DNK,Denmark,10.24292871,10.26439768,10.29166805,10.30987144,10.33174285,10.36299971,10.366706,10.36777942,10.36920868,10.38931792,10.41073898,10.4401986,10.45254874,10.43793823,10.38133294,10.39406153
DJI,Djibouti,7.653276913,7.582925609,7.542638049,7.509113548,7.498087378,7.473850865,7.470164843,7.475315171,7.488379844,7.508361659,7.521898709,7.550853126,7.582709158,7.621323681,7.652650295,7.655359792
DMA,Dominica,8.729202077,8.766531883,8.783285342,8.835134073,8.845808829,8.855405281,8.820646527,8.779711772,8.799444043,8.856736148,8.882551092,8.93770436,8.979649625,9.009022405,8.99544047,9.012728682
DOM,Dominican Republic,8.385419438,8.436682462,8.496667639,8.547896654,8.596690062,8.635728065,8.637866698,8.678565644,8.660682933,8.658609621,8.732340137,8.819122466,8.886107159,8.923262086,8.943504673,8.979831341
