ISO3,name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AFG,Afghanistan,0.360282971,0.360282971,0.360282971,0.360282971,0.360282971,0.360282971,0.360282971,0.360282971,0.360282971,0.360282971,0.360282971,0.360282971,0.360282971,0.360282971,0.360282971,0.360282971
ALB,Albania,0.056930693,0.056930693,0.056930693,0.056930693,0.056930693,0.056930693,0.056930693,0.056930693,0.056930693,0.056930693,0.056930693,0.056930693,0.056930693,0.056930693,0.056930693,0.056930693
DZA,Algeria,0.261658031,0.261658031,0.261658031,0.261658031,0.261658031,0.261658031,0.261658031,0.261658031,0.261658031,0.261658031,0.261658031,0.261658031,0.261658031,0.261658031,0.261658031,0.261658031
AND,Andorra,0.041994751,0.041994751,0.041994751,0.041994751,0.041994751,0.041994751,0.041994751,0.041994751,0.041994751,0.041994751,0.041994751,0.041994751,0.041994751,0.041994751,0.041994751,0.041994751
AGO,Angola,0.461928934,0.461928934,0.461928934,0.461928934,0.461928934,0.461928934,0.461928934,0.461928934,0.461928934,0.461928934,0.461928934,0.461928934,0.461928934,0.461928934,0.461928934,0.461928934
ATG,Antigua and Barbuda,0.126470588,0.126470588,0.126470588,0.126470588,0.126470588,0.126470588,0.126470588,0.126470588,0.126470588,0.126470588,0.126470588,0.126470588,0.126470588,0.126470588,0.126470588,0.126470588
ARG,Argentina,0.136792453,0.136792453,0.136792453,0.136792453,0.136792453,0.136792453,0.136792453,0.136792453,0.136792453,0.136792453,0.136792453,0.136792453,0.136792453,0.136792453,0.136792453,0.136792453
ARM,Armenia,0.072124756,0.072124756,0.072124756,0.072124756,0.072124756,0.072124756,0.072124756,0.072124756,0.072124756,0.072124756,0.072124756,0.072124756,0.072124756,0.072124756,0.072124756,0.072124756
AUS,Australia,0.047619048,0.047619048,0.047619048,0.047619048,0.047619048,0.047619048,0.047619048,0.047619048,0.047619048,0.047619048,0.047619048,0.047619048,0.047619048,0.047619048,0.047619048,0.047619048
AUT,Austria,0.033254157,0.033254157,0.033254157,0.033254157,0.033254157,0.033254157,0.033254157,0.033254157,0.033254157,0.033254157,0.033254157,0.033254157,0.033254157,0.033254157,0.033254157,0.033254157
AZE,Azerbaijan,0.095060578,0.095060578,0.095060578,0.095060578,0.095060578,0.095060578,0.095060578,0.095060578,0.095060578,0.095060578,0.095060578,0.095060578,0.095060578,0.095060578,0.095060578,0.095060578
BHS,Bahamas,0.151162791,0.151162791,0.151162791,0.151162791,0.151162791,0.151162791,0.151162791,0.151162791,0.151162791,0.151162791,0.151162791,0.151162791,0.151162791,0.151162791,0.151162791,0.151162791
BHR,Bahrain,0.091836735,0.091836735,0.091836735,0.091836735,0.091836735,0.091836735,0.091836735,0.091836735,0.091836735,0.091836735,0.091836735,0.091836735,0.091836735,0.091836735,0.091836735,0.091836735
BGD,Bangladesh ,0.302550572,0.302550572,0.302550572,0.302550572,0.302550572,0.302550572,0.302550572,0.302550572,0.302550572,0.302550572,0.302550572,0.302550572,0.302550572,0.302550572,0.302550572,0.302550572
BRB,Barbados,0.14214876,0.14214876,0.14214876,0.14214876,0.14214876,0.14214876,0.14214876,0.14214876,0.14214876,0.14214876,0.14214876,0.14214876,0.14214876,0.14214876,0.14214876,0.14214876
