ISO3,name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AFG,Afghanistan,0.720565942,0.720565942,0.720565942,0.720565942,0.720565942,0.720565942,0.720565942,0.720565942,0.720565942,0.720565942,0.720565942,0.720565942,0.720565942,0.720565942,0.720565942,0.720565942
ALB,Albania,0.113861386,0.113861386,0.113861386,0.113861386,0.113861386,0.113861386,0.113861386,0.113861386,0.113861386,0.113861386,0.113861386,0.113861386,0.113861386,0.113861386,0.113861386,0.113861386
DZA,Algeria,0.523316062,0.523316062,0.523316062,0.523316062,0.523316062,0.523316062,0.523316062,0.523316062,0.523316062,0.523316062,0.523316062,0.523316062,0.523316062,0.523316062,0.523316062,0.523316062
AND,Andorra,0.083989502,0.083989502,0.083989502,0.083989502,0.083989502,0.083989502,0.083989502,0.083989502,0.083989502,0.083989502,0.083989502,0.083989502,0.083989502,0.083989502,0.083989502,0.083989502
AGO,Angola,0.923857868,0.923857868,0.923857868,0.923857868,0.923857868,0.923857868,0.923857868,0.923857868,0.923857868,0.923857868,0.923857868,0.923857868,0.923857868,0.923857868,0.923857868,0.923857868
ATG,Antigua and Barbuda,0.252941176,0.252941176,0.252941176,0.252941176,0.252941176,0.252941176,0.252941176,0.252941176,0.252941176,0.252941176,0.252941176,0.252941176,0.252941176,0.252941176,0.252941176,0.252941176
ARG,Argentina,0.273584906,0.273584906,0.273584906,0.273584906,0.273584906,0.273584906,0.273584906,0.273584906,0.273584906,0.273584906,0.273584906,0.273584906,0.273584906,0.273584906,0.273584906,0.273584906
ARM,Armenia,0.144249512,0.144249512,0.144249512,0.144249512,0.144249512,0.144249512,0.144249512,0.144249512,0.144249512,0.144249512,0.144249512,0.144249512,0.144249512,0.144249512,0.144249512,0.144249512
AUS,Australia,0.095238096,0.095238096,0.095238096,0.095238096,0.095238096,0.095238096,0.095238096,0.095238096,0.095238096,0.095238096,0.095238096,0.095238096,0.095238096,0.095238096,0.095238096,0.095238096
AUT,Austria,0.066508314,0.066508314,0.066508314,0.066508314,0.066508314,0.066508314,0.066508314,0.066508314,0.066508314,0.066508314,0.066508314,0.066508314,0.066508314,0.066508314,0.066508314,0.066508314
AZE,Azerbaijan,0.190121156,0.190121156,0.190121156,0.190121156,0.190121156,0.190121156,0.190121156,0.190121156,0.190121156,0.190121156,0.190121156,0.190121156,0.190121156,0.190121156,0.190121156,0.190121156
BHS,Bahamas,0.302325582,0.302325582,0.302325582,0.302325582,0.302325582,0.302325582,0.302325582,0.302325582,0.302325582,0.302325582,0.302325582,0.302325582,0.302325582,0.302325582,0.302325582,0.302325582
BHR,Bahrain,0.18367347,0.18367347,0.18367347,0.18367347,0.18367347,0.18367347,0.18367347,0.18367347,0.18367347,0.18367347,0.18367347,0.18367347,0.18367347,0.18367347,0.18367347,0.18367347
BGD,Bangladesh ,0.605101144,0.605101144,0.605101144,0.605101144,0.605101144,0.605101144,0.605101144,0.605101144,0.605101144,0.605101144,0.605101144,0.605101144,0.605101144,0.605101144,0.605101144,0.605101144
BRB,Barbados,0.28429752,0.28429752,0.28429752,0.28429752,0.28429752,0.28429752,0.28429752,0.28429752,0.28429752,0.28429752,0.28429752,0.28429752,0.28429752,0.28429752,0.28429752,0.28429752
BLR,Belarus,0.066371682,0.066371682,0.066371682,0.066371682,0.066371682,0.066371682,0.066371682,0.066371682,0.066371682,0.066371682,0.066371682,0.066371682,0.066371682,0.066371682,0.066371682,0.066371682
BEL,Belgium,0.149321266,0.149321266,0.149321266,0.149321266,0.149321266,0.149321266,0.149321266,0.149321266,0.149321266,0.149321266,0.149321266,0.149321266,0.149321266,0.149321266,0.149321266,0.149321266
BLZ,Belize,0.336158192,0.336158192,0.336158192,0.336158192,0.336158192,0.336158192,0.336158192,0.336158192,0.336158192,0.336158192,0.336158192,0.336158192,0.336158192,0.336158192,0.336158192,0.336158192
BEN,Benin,0.819085488,0.819085488,0.819085488,0.819085488,0.819085488,0.819085488,0.819085488,0.819085488,0.819085488,0.819085488,0.819085488,0.819085488,0.819085488,0.819085488,0.819085488,0.819085488
