ISO3,name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AFG,Afghanistan,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ALB,Albania,0.11,0.62,0.32,0.34,0.44,0.46,0.46,0.53,0.5,0.52,0.49,0.5,0.53,0.53,0.53,0.53
DZA,Algeria,0.77,0.47,0.74,0.61,0.84,0.86,0.72,0.87,0.66,0.67,0.77,0.68,0.67,0.67,0.67,0.67
AND,Andorra,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
AGO,Angola,0.6,0.62,0.44,0.48,0.43,0.57,0.49,0.59,0.56,0.69,0.55,0.58,0.55,0.55,0.55,0.55
ATG,Antigua and Barbuda,0.99,0.99,1.02,0.99,0.99,1.04,0.72,1.22,0.99,0.96,1.15,1,0.93,0.93,0.93,0.93
ARG,Argentina,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0
ARM,Armenia,0.64,0.69,0.59,0.72,0.47,0.7,0.53,0.61,0.46,0.6,0.59,0.69,0.82,0.82,0.82,0.82
AUS,Australia,0.03,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.05,0.02,0.02,0.02,0.03,0.03,0.03,0.03
AUT,Austria,0.1,0.13,0.11,0.14,0.16,0.17,0.17,0.23,0.19,0.19,0.23,0.26,0.27,0.27,0.27,0.27
AZE,Azerbaijan,0.14,0.33,0.33,0.4,0.4,0.35,0.27,0.29,0.32,0.4,0.36,0.39,0.47,0.47,0.47,0.47
BHS,Bahamas,1.03,1.03,0.94,1,1.04,1.06,1.05,0.9,0.9,0.97,0.99,1,1,1,1,1
BHR,Bahrain,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BGD,Bangladesh,0.11,0.1,0.07,0.09,0.18,0.09,0.1,0.1,0.13,0.11,0.1,0.11,0.11,0.11,0.11,0.11
BRB,Barbados,1.11,1.22,1.24,1.08,1.1,1.06,1.31,1.15,1.18,1.15,1.28,1.16,1.17,1.17,1.17,1.17
BLR,Belarus,0.12,0.22,0.19,0.16,0.34,0.38,0.14,0.15,0.12,0.14,0.11,0.12,0.1,0.1,0.1,0.1
BEL,Belgium,1.48,1.44,1.36,1.32,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27
BLZ,Belize,0.3,0.31,0.21,0.35,0.24,0.33,0.32,0.39,0.35,0.32,0.4,0.29,0.32,0.32,0.32,0.32
BEN,Benin,0.25,0.18,0.15,0.14,0.13,0.1,0.13,0.19,0.22,0.2,0.3,0.21,0.18,0.18,0.18,0.18
BTN,Bhutan,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BOL,"Bolivia, Plurinational State of",0.31,0.2,0.19,0.19,0.27,0.32,0.28,0.3,0.32,0.23,0.24,0.19,0.25,0.25,0.25,0.25
BIH,Bosnia and Herzegovina,0.2,0.23,0.25,0.3,0.24,0.34,0.43,0.36,0.16,0.36,0.39,0.36,0.46,0.46,0.46,0.46
BWA,Botswana,1,0.75,0.81,0.88,0.94,1.04,0.86,1,0.78,0.73,0.72,0.77,0.82,0.82,0.82,0.82
BRA,Brazil,0.19,0.19,0.15,0.22,0.19,0.22,0.17,0.16,0.17,0.12,0.12,0.16,0.16,0.16,0.16,0.16
BRN,Brunei Darussalam,1,1.02,0.97,1.05,1.11,1.01,1.03,0.98,0.88,0.99,0.99,0.93,0.96,0.96,0.96,0.96
BGR,Bulgaria,0.01,0.11,0.09,0.01,0.01,0.05,0.03,0.04,0.06,0.08,0.02,0.04,0.11,0.11,0.11,0.11
BFA,Burkina Faso,0.09,0.12,0.11,0.1,0.13,0.12,0.11,0.1,0.07,0.07,0.09,0.09,0.07,0.07,0.07,0.07
BDI,Burundi,0.19,0.07,0.08,0.13,0.09,0.14,0.17,0.13,0.22,0.34,0.23,0.23,0.32,0.32,0.32,0.32
KHM,Cambodia,0.05,0.02,0.02,0.04,0.04,0.05,0.03,0.04,0.04,0.05,0.02,0.02,0.02,0.02,0.02,0.02
CMR,Cameroon,0.24,0.1,0.25,0.25,0.27,0.27,0.33,0.38,0.31,0.33,0.4,0.38,0.27,0.27,0.27,0.27
CAN,Canada,0.06,0.06,0.07,0.07,0.07,0.09,0.15,0.18,0.15,0.11,0.11,0.12,0.13,0.13,0.13,0.13
CPV,Cape Verde,1.02,0.64,1.16,0.88,0.98,0.73,0.77,0.82,1.15,0.83,0.8,0.74,0.82,0.82,0.82,0.82
CAF,Central African Republic,0.22,0.09,0.13,0.22,0.2,0.22,0.18,0.17,0.18,0.16,0.19,0.21,0.22,0.22,0.22,0.22
TCD,Chad,0.05,0.06,0.06,0.03,0.04,0.05,0.05,0.05,0.05,0.05,0.06,0.07,0.08,0.08,0.08,0.08
CHL,Chile,0.34,0.37,0.33,0.35,0.53,0.47,0.35,0.38,0.38,0.3,0.31,0.53,0.58,0.58,0.58,0.58
CHN,China,0.08,0.05,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.05,0.04,0.03,0.02,0.02,0.02,0.02
COL,Colombia,0.48,0.58,0.56,0.64,0.54,0.52,0.55,0.55,0.5,0.49,0.54,0.62,0.61,0.61,0.61,0.61
COM,Comoros,0.92,0.63,0.73,0.69,0.83,0.5,0.63,1.1,0.48,0.62,0.81,0.73,0.75,0.75,0.75,0.75
COG,Congo,1.02,0.78,0.97,1.1,1.02,1.01,0.96,1.03,0.85,0.79,0.89,1.05,0.84,0.84,0.84,0.84
COD,"Congo, the Democratic Republic of the",0.24,0.18,0.22,0.22,0.19,0.19,0.23,0.25,0.33,0.29,0.26,0.41,0.28,0.28,0.28,0.28
CRI,Costa Rica,0.81,0.88,0.83,0.86,0.84,0.88,0.85,0.91,0.94,1.03,0.85,0.98,0.97,0.97,0.97,0.97
CIV,C™te d'Ivoire,0.41,0.31,0.45,0.49,0.42,0.42,0.52,0.57,0.53,0.51,0.57,0.59,0.53,0.53,0.53,0.53
HRV,Croatia,0.04,0.04,0.08,0.04,0.06,0.04,0.11,0.05,0.08,0.1,0.08,0.07,0.11,0.11,0.11,0.11
CUB,Cuba,0.81,0.76,0.72,0.78,0.73,0.72,0.73,0.7,0.7,0.67,0.77,0.76,0.75,0.75,0.75,0.75
CYP,Cyprus,0.74,0.83,0.93,0.93,0.85,1.31,1.14,1.09,1.28,1.09,1.51,1.66,1.52,1.52,1.52,1.52
CZE,Czech Republic,0.05,0.09,0.1,0.06,0.05,0.05,0.05,0.04,0.05,0.05,0.06,0.12,0.12,0.12,0.12,0.12
