ISO3,name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AFG,Afghanistan,41.76129268,41.76490244,41.75865854,41.7574878,41.77431707,41.82663415,41.92985366,42.089,42.30304878,42.5705122,42.88287805,43.22717073,43.58595122,43.94621951,43.94621951,43.94621951
ALB,Albania,72.21919512,72.5215122,72.91507317,73.37585366,73.88292683,74.40436585,74.90236585,75.34953659,75.725,76.02129268,76.23890244,76.3947561,76.51821951,76.63370732,76.63370732,76.63370732
DZA,Algeria,68.46587805,68.7344878,69.02565854,69.33836585,69.67304878,70.02417073,70.38112195,70.72990244,71.059,71.36490244,71.64614634,71.90529268,72.15090244,72.38904878,72.38904878,72.38904878
AND,Andorra,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
AGO,Angola,42.68419512,42.804,42.93882927,43.10070732,43.29958537,43.54546341,43.84526829,44.197,44.59363415,45.03117073,45.50360976,46.0024878,46.51785366,47.03773171,47.03773171,47.03773171
ATG,Antigua and Barbuda,74.53756098,74.63463415,74.73170732,74.84146341,74.95121951,75.06097561,75.17073171,75.2804878,75.2804878,75.2804878,75.2804878,75.2804878,75.2804878,75.2804878,75.2804878,75.2804878
ARG,Argentina,72.669,72.89019512,73.10934146,73.32641463,73.54192683,73.75492683,73.96495122,74.17102439,74.37370732,74.573,74.76790244,74.95939024,75.14792683,75.33397561,75.33397561,75.33397561
ARM,Armenia,68.62046341,69.02943902,69.49163415,69.98553659,70.4924878,70.98843902,71.45304878,71.87963415,72.26090244,72.59295122,72.8762439,73.1182439,73.33431707,73.53739024,73.53739024,73.53739024
AUS,Australia,77.82926829,78.07804878,78.4804878,78.63170732,78.93170732,79.23414634,79.63414634,79.93658537,80.23902439,80.4902439,80.84146341,81.04146341,81.29268293,81.39512195,81.39512195,81.39512195
AUT,Austria,76.71560976,76.98365854,77.38756098,77.75439024,77.74097561,78.04170732,78.53195122,78.69317073,78.68634146,79.21536585,79.37195122,79.89634146,80.18121951,80.44756098,80.44756098,80.44756098
AZE,Azerbaijan,65.25073171,65.45860976,65.75834146,66.12992683,66.55963415,67.02760976,67.51168293,67.99178049,68.44987805,68.87187805,69.25126829,69.58809756,69.89353659,70.17768293,70.17768293,70.17768293
