ISO3,name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AFG,Afghanistan,0.864774146,0.864701951,0.864826829,0.864850244,0.864513659,0.863467317,0.861402927,0.85822,0.853939024,0.848589756,0.842342439,0.835456585,0.828280976,0.82107561,0.82107561,0.82107561
ALB,Albania,0.255616098,0.249569756,0.241698537,0.232482927,0.222341463,0.211912683,0.201952683,0.193009268,0.1855,0.179574146,0.175221951,0.172104878,0.16963561,0.167325854,0.167325854,0.167325854
DZA,Algeria,0.330682439,0.325310244,0.319486829,0.313232683,0.306539024,0.299516585,0.292377561,0.285401951,0.27882,0.272701951,0.267077073,0.261894146,0.256981951,0.252219024,0.252219024,0.252219024
AND,Andorra,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
AGO,Angola,0.846316098,0.84392,0.841223415,0.837985854,0.834008293,0.829090732,0.823094634,0.81606,0.808127317,0.799376585,0.789927805,0.779950244,0.769642927,0.759245366,0.759245366,0.759245366
ATG,Antigua and Barbuda,0.20924878,0.207307317,0.205365854,0.203170732,0.20097561,0.198780488,0.196585366,0.194390244,0.194390244,0.194390244,0.194390244,0.194390244,0.194390244,0.194390244,0.194390244,0.194390244
ARG,Argentina,0.24662,0.242196098,0.237813171,0.233471707,0.229161463,0.224901463,0.220700976,0.216579512,0.212525854,0.20854,0.204641951,0.200812195,0.197041463,0.193320488,0.193320488,0.193320488
ARM,Armenia,0.327590732,0.31941122,0.310167317,0.300289268,0.290150244,0.28023122,0.270939024,0.262407317,0.254781951,0.248140976,0.242475122,0.237635122,0.233313659,0.229252195,0.229252195,0.229252195
AUS,Australia,0.143414634,0.138439024,0.130390244,0.127365854,0.121365854,0.115317073,0.107317073,0.101268293,0.095219512,0.090195122,0.083170732,0.079170732,0.074146341,0.072097561,0.072097561,0.072097561
AUT,Austria,0.165687805,0.160326829,0.15224878,0.144912195,0.145180488,0.139165854,0.129360976,0.126136585,0.126273171,0.115692683,0.112560976,0.102073171,0.09637561,0.09104878,0.09104878,0.09104878
AZE,Azerbaijan,0.394985366,0.390827805,0.384833171,0.377401463,0.368807317,0.359447805,0.349766341,0.34016439,0.331002439,0.322562439,0.314974634,0.308238049,0.302129268,0.296446341,0.296446341,0.296446341
BHS,Bahamas,0.310497073,0.31068,0.309299512,0.306233659,0.301432683,0.295046341,0.287395122,0.279040976,0.270476585,0.261973171,0.253723415,0.245769268,0.237981463,0.230290732,0.230290732,0.230290732
BHR,Bahrain,0.228320976,0.223720976,0.219571707,0.215753659,0.212187805,0.208774146,0.20542439,0.20210878,0.198777561,0.19542,0.192005366,0.188553171,0.185131707,0.181770244,0.181770244,0.181770244
BGD,Bangladesh,0.547866341,0.532715122,0.517593659,0.502672683,0.488072195,0.473861463,0.459980488,0.446398537,0.433146341,0.420323902,0.408132195,0.396792195,0.38644439,0.3771,0.3771,0.3771
BRB,Barbados,0.20426439,0.203632195,0.202702927,0.201252683,0.199169268,0.196341951,0.192781463,0.18865122,0.18414439,0.179362927,0.174449268,0.169493659,0.164587317,0.159821951,0.159821951,0.159821951
BLR,Belarus,0.330780488,0.327756098,0.330780488,0.331853659,0.341853659,0.321756098,0.329853659,0.338878049,0.328926829,0.320878049,0.32297561,0.311902439,0.295931707,0.287342439,0.287342439,0.287342439
BEL,Belgium,0.166634146,0.161560976,0.155560976,0.152536585,0.152487805,0.147512195,0.141512195,0.139463415,0.125414634,0.117902439,0.121082927,0.112380488,0.10475122,0.09780878,0.09780878,0.09780878
BLZ,Belize,0.238880976,0.234585366,0.230210732,0.225867317,0.221597073,0.217301463,0.212814634,0.20796878,0.202716585,0.197079512,0.191167805,0.18515122,0.179217073,0.173534146,0.173534146,0.173534146
BEN,Benin,0.574272195,0.565259512,0.556936098,0.54923122,0.542084878,0.535277561,0.528550244,0.521663902,0.5144,0.506688293,0.4985,0.48994439,0.481191707,0.472440488,0.472440488,0.472440488
BTN,Bhutan,0.565393171,0.547262927,0.528619512,0.509642439,0.490712195,0.472330244,0.455078537,0.439318049,0.42529122,0.413037561,0.402487805,0.393360488,0.385114634,0.37732878,0.37732878,0.37732878
BOL,"Bolivia, Plurinational State of",0.478182439,0.470394146,0.46285561,0.45547561,0.448163415,0.440907805,0.433709268,0.426618049,0.419665366,0.412840976,0.406115122,0.39946878,0.392881463,0.38632439,0.38632439,0.38632439
