ISO3,name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AFG,Afghanistan,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ALB,Albania,0.032102402,0.030358324,0.028614247,0.02687017,0.025126093,0.023382015,0.021897358,0.0204127,0.018928043,0.017443386,0.015958728,0.015571852,0.015184975,0.014798099,0.014798099,0.014798099
DZA,Algeria,0.15854221,0.145696398,0.132850586,0.120004773,0.107158961,0.094313149,0.091075218,0.087837287,0.084599356,0.081361426,0.078123495,0.076472388,0.074821282,0.073170176,0.073170176,0.073170176
AND,Andorra,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
AGO,Angola,1,1,1,1,1,1,1,1,1,1,1,1,0.948333762,0.874925559,0.874925559,0.874925559
ATG,Antigua and Barbuda,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
ARG,Argentina,0.043784266,0.043265116,0.042745965,0.042226815,0.041707664,0.041188514,0.041461699,0.041734884,0.042008068,0.042281253,0.042554438,0.042212275,0.041870112,0.041527949,0.041527949,0.041527949
ARM,Armenia,0.023441024,0.021645151,0.019849279,0.018053407,0.016257535,0.014461663,0.014392727,0.014323791,0.014254855,0.014185919,0.014116983,0.013871328,0.013625672,0.013380017,0.013380017,0.013380017
AUS,Australia,0.005860721,0.005483071,0.005105422,0.004727772,0.004350122,0.003972473,0.003843786,0.0037151,0.003586414,0.003457727,0.003329041,0.003346845,0.003364649,0.003382454,0.003382454,0.003382454
AUT,Austria,0.002659773,0.002490384,0.002320995,0.002151607,0.001982218,0.00181283,0.001804986,0.001797143,0.0017893,0.001781457,0.001773614,0.001766899,0.001760184,0.00175347,0.00175347,0.00175347
AZE,Azerbaijan,0.056993477,0.051858262,0.046723046,0.04158783,0.036452614,0.031317399,0.029598821,0.027880243,0.026161666,0.024443088,0.02272451,0.022102672,0.021480833,0.020858995,0.020858995,0.020858995
BHS,Bahamas,0.040785867,0.039315006,0.037844145,0.036373284,0.034902424,0.033431563,0.031864259,0.030296955,0.028729651,0.027162347,0.025595043,0.025372301,0.025149559,0.024926818,0.024926818,0.024926818
BHR,Bahrain,0.018918272,0.018423308,0.017928344,0.017433381,0.016938417,0.016443453,0.015817602,0.015191751,0.0145659,0.013940049,0.013314199,0.012637027,0.011959855,0.011282684,0.011282684,0.011282684
BGD,Bangladesh ,0.653561509,0.608493945,0.563426381,0.518358817,0.473291253,0.428223689,0.402645243,0.377066796,0.351488349,0.325909902,0.300331456,0.274014176,0.247696896,0.221379616,0.221379616,0.221379616
BRB,Barbados,0.017042746,0.017316735,0.017590723,0.017864712,0.018138701,0.018412689,0.019085572,0.019758455,0.020431337,0.02110422,0.021777103,0.022133558,0.022490013,0.022846468,0.022846468,0.022846468
BLR,Belarus,0.010270564,0.010055188,0.009839813,0.009624437,0.009409062,0.009193686,0.008590294,0.007986902,0.00738351,0.006780117,0.006176725,0.005752306,0.005327886,0.004903466,0.004903466,0.004903466
BEL,Belgium,0.002840013,0.002761221,0.002682429,0.002603638,0.002524846,0.002446054,0.002398089,0.002350124,0.002302159,0.002254193,0.002206228,0.002231897,0.002257565,0.002283234,0.002283234,0.002283234
BLZ,Belize,0.0398561,0.052629668,0.065403237,0.078176805,0.090950374,0.103723942,0.099542391,0.095360841,0.09117929,0.086997739,0.082816188,0.080666151,0.078516113,0.076366076,0.076366076,0.076366076
BEN,Benin,1,1,0.982469781,0.937862563,0.893255345,0.848648127,0.812440616,0.776233106,0.740025595,0.703818085,0.667610574,0.637151989,0.606693404,0.576234819,0.576234819,0.576234819
BTN,Bhutan,0.827637069,0.74454839,0.661459712,0.578371034,0.495282355,0.412193677,0.37108797,0.329982263,0.288876556,0.247770849,0.206665142,0.18590599,0.165146838,0.144387686,0.144387686,0.144387686
BOL,"Bolivia, Plurinational State of",0.478163901,0.448028926,0.417893951,0.387758976,0.357624001,0.327489026,0.304869575,0.282250124,0.259630673,0.237011222,0.214391771,0.19842528,0.182458789,0.166492298,0.166492298,0.166492298
BIH,Bosnia and Herzegovina,0.006379152,0.005875955,0.005372759,0.004869562,0.004366366,0.00386317,0.003659417,0.003455664,0.003251912,0.003048159,0.002844407,0.002790161,0.002735915,0.002681669,0.002681669,0.002681669
BWA,Botswana,0.13341967,0.153255034,0.173090399,0.192925763,0.212761128,0.232596493,0.225263913,0.217931334,0.210598755,0.203266176,0.195933596,0.176314414,0.156695231,0.137076049,0.137076049,0.137076049
BRA,Brazil,0.068219718,0.064687136,0.061154555,0.057621974,0.054089393,0.050556811,0.047590644,0.044624477,0.04165831,0.038692143,0.035725976,0.033496253,0.031266531,0.029036809,0.029036809,0.029036809
BRN,Brunei Darussalam,0.021056061,0.020223411,0.019390761,0.018558111,0.017725461,0.016892811,0.016322867,0.015752924,0.015182981,0.014613038,0.014043095,0.013496472,0.012949849,0.012403227,0.012403227,0.012403227
BGR,Bulgaria,0.007389551,0.007622356,0.00785516,0.008087965,0.008320769,0.008553574,0.007730589,0.006907605,0.00608462,0.005261636,0.004438651,0.004407395,0.004376139,0.004344883,0.004344883,0.004344883
BFA,Burkina Faso,1,1,1,1,1,1,0.989640522,0.977071758,0.964502993,0.951934228,0.939365464,0.92293443,0.906503396,0.890072362,0.890072362,0.890072362
BDI,Burundi,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
KHM,Cambodia,0.810799869,0.737481662,0.664163455,0.590845248,0.517527041,0.444208834,0.410040817,0.3758728,0.341704783,0.307536766,0.273368749,0.256181304,0.238993858,0.221806412,0.221806412,0.221806412
CMR,Cameroon,0.94747755,0.926411719,0.905345888,0.884280057,0.863214226,0.842148395,0.829690349,0.817232303,0.804774257,0.792316211,0.779858165,0.757579738,0.735301311,0.713022885,0.713022885,0.713022885
CAN,Canada,0.002955971,0.002873306,0.002790641,0.002707977,0.002625312,0.002542648,0.002898717,0.003254787,0.003610857,0.003966927,0.004322996,0.004365384,0.004407772,0.00445016,0.00445016,0.00445016
CPV,Cape Verde,0.244588613,0.230691672,0.216794731,0.202897791,0.18900085,0.17510391,0.159767025,0.14443014,0.129093255,0.113756371,0.098419486,0.089657653,0.08089582,0.072133987,0.072133987,0.072133987
CAF,Central African Republic,1,1,1,1,1,1,1,1,1,1,1,1,0.969317845,0.931983594,0.931983594,0.931983594
TCD,Chad,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CHL,Chile,0.025980546,0.023968581,0.021956615,0.01994465,0.017932684,0.015920719,0.015272835,0.014624952,0.013977068,0.013329184,0.0126813,0.012598267,0.012515233,0.0124322,0.0124322,0.0124322
CHN,China,0.044902909,0.041574991,0.038247074,0.034919157,0.031591239,0.028263322,0.026387609,0.024511895,0.022636182,0.020760469,0.018884756,0.01803931,0.017193865,0.01634842,0.01634842,0.01634842
COL,Colombia,0.093884074,0.091248565,0.088613057,0.085977548,0.08334204,0.080706531,0.075991948,0.071277365,0.066562782,0.061848199,0.057133617,0.056394458,0.055655299,0.05491614,0.05491614,0.05491614
COM,Comoros,0.53319555,0.511984379,0.490773208,0.469562037,0.448350866,0.427139695,0.418174436,0.409209176,0.400243917,0.391278657,0.382313398,0.372551671,0.362789944,0.353028217,0.353028217,0.353028217
COG,Congo,0.65863543,0.668567947,0.678500465,0.688432983,0.698365501,0.708298019,0.704835631,0.701373243,0.697910855,0.694448468,0.69098608,0.676224749,0.661463418,0.646702087,0.646702087,0.646702087
COD,"Congo, the Democratic Republic of the",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CRI,Costa Rica,0.032275639,0.031175167,0.030074694,0.028974221,0.027873749,0.026773276,0.026345819,0.025918361,0.025490904,0.025063446,0.024635989,0.024273084,0.02391018,0.023547276,0.023547276,0.023547276
CIV,C™te d'Ivoire,0.861520013,0.835283996,0.809047979,0.782811962,0.756575945,0.730339929,0.714704989,0.699070049,0.683435109,0.66780017,0.65216523,0.622165312,0.592165394,0.562165477,0.562165477,0.562165477
HRV,Croatia,0.004991187,0.004745037,0.004498888,0.004252738,0.004006589,0.003760439,0.003935018,0.004109597,0.004284175,0.004458754,0.004633333,0.004691458,0.004749583,0.004807709,0.004807709,0.004807709
CUB,Cuba,0.027319157,0.027098465,0.026877773,0.02665708,0.026436388,0.026215696,0.024803931,0.023392167,0.021980402,0.020568638,0.019156873,0.018806717,0.018456562,0.018106406,0.018106406,0.018106406
CYP,Cyprus,0.009131439,0.008533123,0.007934806,0.00733649,0.006738173,0.006139857,0.005760169,0.005380481,0.005000793,0.004621105,0.004241417,0.004085602,0.003929788,0.003773974,0.003773974,0.003773974
CZE,Czech Republic,0.002943298,0.002798193,0.002653088,0.002507983,0.002362878,0.002217773,0.002271242,0.002324712,0.002378181,0.00243165,0.00248512,0.002636855,0.00278859,0.002940325,0.002940325,0.002940325
DNK,Denmark,0.004813594,0.004265314,0.003717035,0.003168756,0.002620477,0.002072198,0.001994951,0.001917705,0.001840458,0.001763212,0.001685965,0.001886411,0.002086857,0.002287303,0.002287303,0.002287303
DJI,Djibouti,0.465263106,0.445381546,0.425499986,0.405618427,0.385736867,0.365855307,0.353872555,0.341889802,0.32990705,0.317924298,0.305941546,0.293559236,0.281176926,0.268794617,0.268794617,0.268794617
DMA,Dominica,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
DOM,Dominican Republic,0.15158194,0.141082785,0.13058363,0.120084474,0.109585319,0.099086164,0.095230811,0.091375458,0.087520105,0.083664753,0.0798094,0.078973072,0.078136745,0.077300417,0.077300417,0.077300417
ECU,Ecuador,0.169791652,0.163777053,0.157762453,0.151747853,0.145733253,0.139718654,0.132930723,0.126142792,0.119354861,0.11256693,0.105778999,0.101856046,0.097933092,0.094010138,0.094010138,0.094010138
EGY,Egypt,0.151163068,0.140945683,0.130728298,0.120510914,0.110293529,0.100076144,0.09505212,0.090028095,0.085004071,0.079980047,0.074956022,0.071796956,0.068637889,0.065478822,0.065478822,0.065478822
SLV,El Salvador,0.167962521,0.157387125,0.14681173,0.136236335,0.12566094,0.115085544,0.108427353,0.101769161,0.095110969,0.088452778,0.081794586,0.078375643,0.0749567,0.071537757,0.071537757,0.071537757
