ISO3,name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AFG,Afghanistan,0.100605852,0.100605852,0.100605852,0.100605852,0.100605852,0.100605852,0.100605852,0.100605852,0.784855387,2.296081565,4.478099316,9.158703034,16.51840211,27.21781488,40.26477545,40.26477545
ALB,Albania,0.074052705,0.074052705,0.106906621,0.182076636,0.358583595,0.971164015,12.79247328,27.66326364,35.63634856,40.64928355,49.19482836,61.17992755,74.14101003,99.93306379,131.8940592,131.8940592
DZA,Algeria,0.016596327,0.040681677,0.059557086,0.060715664,0.239428612,0.281911256,0.323057008,1.433253855,4.537893242,15.0849507,41.58133725,62.95959058,81.40641277,78.64061034,93.79390505,93.79390505
AND,Andorra,74.4092343,74.4092343,74.4092343,74.4092343,74.4092343,74.4092343,74.4092343,74.4092343,74.4092343,78.2407035,83.07597282,86.37808878,77.27305914,76.60376683,76.60376683,76.60376683
AGO,Angola,0.015902218,0.025590123,0.053348342,0.072486228,0.172713809,0.180720386,0.510052003,0.923237668,2.236874532,4.586170897,9.695257236,17.87465714,28.26347646,37.58659779,43.84031967,43.84031967
ATG,Antigua and Barbuda,1.857992225,1.857992225,1.949100629,2.03585825,11.26394742,28.52179324,31.78316255,47.74192742,56.7314792,65.51966803,102.9520914,130.2143904,131.2233626,157.6655816,154.0239726,154.0239726
ARG,Argentina,1.165876575,1.893732538,5.632232874,7.396210519,10.53461732,17.56408613,18.06579686,17.42928815,20.62472058,35.21413677,57.20503228,80.57821351,102.3076634,116.6130916,128.8373115,128.8373115
ARM,Armenia,0.00945729,0.00945729,0.159501335,0.251883092,0.264073028,0.56850047,0.831988768,2.33121566,3.737919793,6.640083557,10.3768934,41.0549866,61.07214113,75.91595558,84.98351093,84.98351093
AUS,Australia,12.40593183,21.79018077,24.7232273,26.28400406,33.366797,44.70317966,57.34301757,64.47377795,72.11214653,81.87843437,90.31713966,95.46862242,100.8897853,103.2111162,110.7205062,110.7205062
AUT,Austria,4.822479177,7.516767805,14.54877836,28.72422427,53.11539872,76.35216626,81.32521799,83.32880466,89.60555816,97.7650556,105.2433411,112.056567,119.41035,129.7360682,140.7564118,140.7564118
AZE,Azerbaijan,0.07807417,0.218987505,0.510334269,0.821433085,4.634849054,5.223310965,8.999963752,9.718678526,12.83817035,17.53494938,26.71639746,39.17119942,52.66101873,75.43691893,88.3388186,88.3388186
BHS,Bahamas,1.457824428,1.72878241,2.130152306,2.729138421,5.297415716,10.34211252,19.58865602,38.861033,38.50828747,57.86444675,69.97658957,76.76717716,112.1069875,106.0361065,105.0039068,105.0039068
BHR,Bahrain,4.777640642,6.759525821,9.637929417,14.81386723,21.00055858,31.64972339,45.05379319,57.18153915,63.6746008,91.29771336,105.4332767,122.0452118,146.9244036,185.7671306,199.3750892,199.3750892
BGD,Bangladesh,0.019527192,0.019527192,0.019527192,0.055272189,0.107787814,0.19819999,0.362904013,0.73732505,0.92054738,1.845438348,5.877664678,12.30580447,21.78729173,27.89997768,31.06877281,31.06877281
BRB,Barbados,1.788441412,2.447003657,3.138807935,4.728598168,8.043200171,11.31187017,21.1318938,38.64993836,55.56547796,79.23245024,81.41725008,93.39438339,101.1994044,113.1107393,131.7303183,131.7303183
BLR,Belarus,0.057847754,0.064448819,0.080725512,0.120717052,0.233751868,0.493283358,1.387416168,4.661259446,11.32270188,22.79295601,41.93608134,61.2381197,71.73778602,83.95956967,100.2400911,100.2400911
BEL,Belgium,2.320831031,4.707807423,9.571692368,17.21343722,31.16176413,54.90635973,74.82259162,78.4068228,82.93916279,87.62690062,91.65966036,93.35811728,101.0580103,110.4007468,115.110541,115.110541
BLZ,Belize,0.714549654,0.983783784,1.106086957,1.482180294,2.711229947,6.730184147,15.21764477,19.50565611,22.06905371,26.53927813,29.12954078,33.18004154,37.98202247,49.68394908,48.55432173,48.55432173
BEN,Benin,0.018346059,0.045832222,0.070577718,0.100318911,0.11260171,0.833056654,1.81708945,3.075668157,3.209709734,6.035189791,7.578741033,12.98843484,24.44589219,41.85326722,56.33304365,56.33304365
BTN,Bhutan,0.366349164,0.366349164,0.366349164,0.366349164,0.366349164,0.366349164,0.366349164,0.366349164,0.366349164,3.020918177,5.539833713,12.3618148,22.10505296,36.54688704,46.90027031,46.90027031
BOL,"Bolivia, Plurinational State of",0.096590382,0.436607414,1.51539773,2.998001892,5.158751539,7.004857665,9.187693212,11.81454226,14.47402405,19.98841846,26.37100468,30.74830556,34.1688457,49.82405301,72.47796278,72.47796278
BIH,Bosnia and Herzegovina,0.04537669,0.04537669,0.267415033,0.723556192,1.460777647,2.528334314,11.86416758,19.82970048,28.41054626,37.21652118,42.16481006,49.92267594,64.85333778,84.2552808,86.47738439,86.47738439
BWA,Botswana,0.915047011,0.915047011,0.915047011,0.915047011,5.434737662,12.89886993,18.99933612,18.75033507,24.80893389,28.79880495,30.65615399,44.13643917,60.86161361,77.3397525,96.11858774,96.11858774
BRA,Brazil,0.795050496,1.521811879,2.730274928,4.355721949,8.756470062,13.31318824,16.27188286,19.47315148,25.54474972,35.68135679,46.3310523,53.10345104,63.63355101,78.47071221,89.7929863,89.7929863
BRN,Brunei Darussalam,12.16461782,14.37750022,14.49317372,15.43815656,20.25154878,28.48823436,41.94674379,44.11999495,49.89043878,55.80796595,62.93318922,79.85332846,95.1373515,101.6766085,106.6642147,106.6642147
BGR,Bulgaria,0.249047619,0.318190522,0.84214903,1.538088894,4.264132554,9.156327543,19.5954488,33.0098869,44.75097789,60.78564452,80.68374677,107.2008645,129.2138635,137.7363497,139.9731659,139.9731659
BFA,Burkina Faso,0.005042722,0.005042722,0.014042794,0.024801222,0.044446508,0.216209874,0.632473976,0.892511651,1.852372824,2.979182614,4.608609968,7.146818595,10.94322741,16.75869397,20.93682353,20.93682353
BDI,Burundi,0.009145477,0.009016304,0.009878545,0.009822521,0.01254543,0.252138932,0.506019659,0.76848468,0.920106042,1.404060802,2.073696462,2.630370361,3.444764666,5.952054518,10.0973224,10.0973224
KHM,Cambodia,0.123897368,0.197654925,0.280188316,0.500728135,0.712258215,1.023110766,1.719644626,2.87512101,3.710430275,6.312833393,7.658993898,12.2173689,18.03509142,29.096262,37.77686429,37.77686429
CMR,Cameroon,0.019922582,0.024279981,0.028428726,0.033040851,0.038720274,0.650967738,2.569158474,4.219232374,6.328695522,8.789662466,12.63795946,17.19468679,24.30876244,32.27561158,37.8920885,37.8920885
CAN,Canada,8.822579546,11.7881868,13.9893021,17.67395422,22.65973534,28.36231747,34.26109729,37.85472865,41.95921202,46.94483513,52.66340678,57.42626114,61.49138768,66.32113931,68.40862006,68.40862006
CPV,Cape Verde,0.241094854,0.241094854,0.241094854,0.241094854,1.871747699,4.494374344,7.050564815,9.445443869,11.53490183,13.99491094,17.11656802,22.46074044,30.95520391,55.6818911,77.53072551,77.53072551
CAF,Central African Republic,0.031324088,0.031324088,0.039102213,0.045525103,0.113468015,0.132604432,0.287992569,0.323913534,1.010422253,1.489342636,2.438141902,2.632885312,3.053504683,3.548989771,3.798844835,3.798844835
TCD,Chad,0.065462973,0.065462973,0.065462973,0.065462973,0.065462973,0.065462973,0.252637739,0.378638835,0.69400187,1.268376376,2.096102925,4.513640969,8.645041355,16.57554697,23.96897704,23.96897704
CHL,Chile,1.369283318,2.183526871,2.761007677,6.41156274,14.84247466,22.06103055,32.69342467,39.57065813,45.55573593,57.42847457,64.85397478,75.6094458,83.88488071,88.05424462,96.93556936,96.93556936
CHN,China,0.301198069,0.562851628,1.075788062,1.921437112,3.456118014,6.752491793,11.38656288,16.08911215,20.95257622,25.83369018,30.17565244,35.16788333,41.52911551,48.40732236,56.10382588,56.10382588
COL,Colombia,0.753147144,1.408588593,3.347493369,4.682363385,5.028082871,5.674217159,8.076003338,11.18735017,14.8203521,24.53261364,50.75580768,68.09991084,76.51385179,91.896907,92.3343861,92.3343861
COM,Comoros,0.347427301,0.347427301,0.347427301,0.347427301,0.347427301,0.347427301,0.347427301,0.347427301,0.347427301,1.42496634,2.585057514,6.009882785,10.50269627,15.29403161,15.17224248,15.17224248
COG,Congo,0.035268604,0.035268604,0.075520977,0.115773351,0.167910492,2.306039055,4.833542465,6.975588585,10.12031211,11.48299997,16.3373874,26.31898414,36.26000921,49.98406706,58.94359823,58.94359823
COD,"Congo, the Democratic Republic of the",0.018922116,0.015581769,0.018797977,0.020653258,0.024217827,0.029510568,0.286894548,1.039255868,2.24178991,3.471967369,4.648349659,7.262310193,10.54335598,14.41540317,15.39432719,15.39432719
CRI,Costa Rica,0.539003284,1.304507505,1.760148801,2.90022011,3.596610527,5.383397997,8.139102414,12.25471809,18.61839068,21.68705722,25.44392082,32.84369049,33.82580714,41.74634653,42.59317376,42.59317376
CIV,C™te d'Ivoire,0.087649313,0.087649313,0.225940335,0.556160049,1.525909225,2.736756501,4.118857282,5.682248149,6.940179713,8.887379525,12.20813385,20.66454567,37.1106878,50.7449019,63.3256639,63.3256639
HRV,Croatia,0.721524952,1.445104584,2.633858268,4.054654521,6.477821695,23.33935834,39.52702703,52.08558559,57.1463964,63.87699932,82.16343989,98.99099099,113.4937331,132.6082544,136.1703243,136.1703243
CUB,Cuba,0.017772488,0.02215435,0.027233509,0.036779678,0.046443983,0.058952819,0.07719325,0.160258842,0.316769758,0.677978746,1.210861031,1.363390812,1.769406016,2.960676892,3.953881498,3.953881498
CYP,Cyprus,6.077031601,9.531985838,12.2018463,15.2223027,19.54617516,27.75515601,39.43847332,51.77288623,67.5253089,79.62370007,93.60106125,102.6919531,115.7526112,117.8918039,112.2250975,112.2250975
CZE,Czech Republic,0.473332688,1.941977702,5.108054076,9.378196971,18.91036662,42.30392376,67.94944249,84.37335648,95.11451637,105.5457137,115.0456807,120.8105669,128.008769,132.1922567,135.9241637,135.9241637
DNK,Denmark,15.72807957,25.02075257,27.32694702,36.42899453,49.41775045,63.01920955,73.95152866,83.31856229,88.48980931,95.66270463,100.613518,107.1889911,115.5007161,124.9085075,133.9417319,133.9417319
DJI,Djibouti,0.017141432,0.017141432,0.030612953,0.032050955,0.039484446,0.031525808,0.401472064,1.966238376,2.959832499,4.360151939,5.472830273,5.468815779,8.335101302,13.2880382,14.9011458,14.9011458
DMA,Dominica,0.638654531,0.638654531,0.771772022,0.905204228,1.118411855,1.682415949,10.84708564,17.12601472,33.40128537,58.53842817,72.22222222,98.76286975,122.2637806,136.6243062,144.0303414,144.0303414
