ISO3,name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AFG,Afghanistan,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ALB,Albania,0.426,0.629,0.677,0.578,0.597,0.718,0.86,0.858,0.796,0.85,0.845,0.803,0.804,0.796,0.787,0.799
DZA,Algeria,0.57,0.56,0.601,0.69,0.74,0.782,0.828,0.789,0.811,0.801,0.788,0.807,0.802,0.786,0.772,0.754
AND,Andorra,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
AGO,Angola,0.403,0.403,0.403,0.403,0.403,0.403,0.403,0.403,0.403,0.403,0.403,0.477,0.578,0.618,0.626,0.618
ATG,Antigua and Barbuda,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ARG,Argentina,0.775,0.82,0.877,0.898,0.896,0.954,0.943,0.885,0.64,0.654,0.715,0.714,0.65,0.606,0.612,0.632
ARM,Armenia,0.555,0.555,0.555,0.555,0.691,0.778,0.911,0.817,0.845,0.82,0.806,0.803,0.846,0.778,0.729,0.76
AUS,Australia,0.865,0.828,0.84,0.879,0.89,0.879,0.833,0.821,0.832,0.84,0.85,0.848,0.837,0.847,0.827,0.85
AUT,Austria,0.836,0.848,0.86,0.872,0.884,0.896,0.864,0.851,0.859,0.87,0.864,0.86,0.814,0.809,0.793,0.829
AZE,Azerbaijan,0.378,0.378,0.378,0.378,0.707,0.651,0.788,0.848,0.802,0.804,0.755,0.768,0.765,0.663,0.627,0.726
BHS,Bahamas,0.858,0.861,0.869,0.884,0.87,0.873,0.881,0.804,0.825,0.795,0.822,0.761,0.763,0.755,0.727,0.727
BHR,Bahrain,0.891,0.852,0.896,0.835,0.892,0.903,0.843,0.834,0.847,0.89,0.863,0.801,0.743,0.74,0.734,0.74
BGD,Bangladesh,0.707,0.661,0.711,0.71,0.681,0.686,0.727,0.808,0.789,0.763,0.749,0.687,0.689,0.673,0.666,0.666
BRB,Barbados,0.89,0.875,0.859,0.796,0.88,0.874,0.863,0.851,0.889,0.877,0.877,0.766,0.74,0.745,0.731,0.763
BLR,Belarus,0.159,0.159,0.159,0.159,0.325,0.263666667,0.202333333,0.141,0.316,0.427,0.498,0.615,0.662,0.668,0.626,0.622
BEL,Belgium,0.85,0.864,0.861,0.867,0.879,0.883,0.86,0.852,0.813,0.818,0.815,0.805,0.804,0.81,0.779,0.825
BLZ,Belize,0.854,0.846,0.806,0.85,0.92,0.889,0.94,0.892,0.865,0.852,0.842,0.732,0.773,0.784,0.756,0.788
BEN,Benin,0.579,0.623,0.697,0.761,0.756,0.812,0.783,0.778,0.79,0.811,0.831,0.824,0.775,0.796,0.746,0.782
BTN,Bhutan,0.759,0.759,0.759,0.759,0.759,0.759,0.759,0.759,0.759,0.759,0.759,0.759,0.759,0.759,0.734,0.718
BOL,"Bolivia, Plurinational State of",0.816,0.805,0.786,0.832,0.828,0.877,0.819,0.852,0.875,0.849,0.826,0.709,0.765,0.679,0.632,0.688
BIH,Bosnia and Herzegovina,0.833,0.833,0.833,0.833,0.833,0.752,0.772,0.779,0.824,0.845,0.861,0.825,0.766,0.79,0.747,0.806
BWA,Botswana,0.681,0.742,0.748,0.758,0.777,0.776,0.769,0.78,0.774,0.764,0.776,0.768,0.697,0.718,0.688,0.709
BRA,Brazil,0.71,0.71,0.71,0.71,0.805,0.813,0.793,0.786,0.772,0.727,0.763,0.726,0.757,0.772,0.758,0.759
BRN,Brunei Darussalam,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
BGR,Bulgaria,0.3,0.365,0.252,0.255333333,0.258666667,0.262,0.758,0.775,0.787,0.831,0.807,0.758,0.737,0.728,0.695,0.755
BFA,Burkina Faso,0.591,0.639,0.669,0.728,0.766,0.846,0.894,0.788,0.797,0.804,0.859,0.768,0.788,0.837,0.73,0.768
BDI,Burundi,0.586,0.586,0.542,0.51,0.579,0.594666667,0.610333333,0.626,0.641666667,0.657333333,0.673,0.682,0.747,0.727,0.627,0.661
KHM,Cambodia,0.621,0.621,0.72,0.722,0.677,0.732,0.816,0.865,0.808,0.87,0.837,0.81,0.809,0.8,0.705,0.78
CMR,Cameroon,0.724,0.617,0.701,0.746,0.775,0.786,0.82,0.804,0.759,0.806,0.839,0.774,0.723,0.76,0.719,0.733
CAN,Canada,0.897,0.868,0.869,0.869,0.881,0.872,0.854,0.85,0.854,0.847,0.859,0.807,0.81,0.808,0.754,0.788
CPV,Cape Verde,0.723,0.683,0.69,0.672,0.701,0.712,0.872,0.811,0.864,0.871,0.893,0.881,0.787,0.769,0.745,0.792
CAF,Central African Republic,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.787,0.795,0.776,0.873,0.765,0.725,0.75,0.683,0.713
TCD,Chad,0.624,0.624,0.626,0.683,0.705,0.773,0.841,0.766,0.784,0.881,0.83,0.777,0.736,0.786,0.767,0.706
CHL,Chile,0.68,0.756,0.771,0.787,0.801,0.824,0.827,0.83,0.842,0.844,0.869,0.798,0.788,0.773,0.73,0.779
CHN,China,0.615,0.627,0.682,0.752,0.84,0.841,0.876,0.858,0.864,0.848,0.794,0.755,0.765,0.729,0.706,0.753
COL,Colombia,0.641,0.654,0.662,0.673,0.676,0.717,0.745,0.765,0.783,0.783,0.792,0.703,0.714,0.706,0.74,0.758
COM,Comoros,0.789,0.789,0.789,0.789,0.789,0.789,0.789,0.789,0.789,0.789,0.789,0.789,0.789,0.789,0.764,0.762
COG,Congo,0.1,0.1,0.1,0.1,0.179,0.225222222,0.271444444,0.317666667,0.363888889,0.410111111,0.456333333,0.502555556,0.548777778,0.595,0.587,0.587
COD,"Congo, the Democratic Republic of the",0.509,0.588,0.624,0.728,0.738,0.749,0.828,0.867,0.802,0.801,0.785,0.745,0.73,0.739,0.708,0.467
CRI,Costa Rica,0.719,0.67,0.677,0.704,0.725,0.743,0.742,0.74,0.751,0.755,0.737,0.671,0.679,0.697,0.678,0.678
CIV,C™te d'Ivoire,0.629,0.646,0.727,0.765,0.768,0.86,0.854,0.781,0.784,0.784,0.809,0.786,0.807,0.791,0.76,0.802
HRV,Croatia,0.618,0.618,0.618,0.721,0.7,0.717,0.757,0.763,0.795,0.814,0.812,0.793,0.788,0.79,0.758,0.785
CUB,Cuba,0.629,0.629,0.654,0.692,0.732,0.77,0.72,0.683,0.664,0.706,0.715,0.658,0.646,0.67,0.667,0.716
CYP,Cyprus,0.76,0.785,0.789,0.784,0.798,0.862,0.835,0.85,0.846,0.83,0.844,0.847,0.85,0.857,0.829,0.876
CZE,Czech Republic,0.725,0.744,0.759,0.764,0.75,0.812,0.822,0.819,0.846,0.889,0.859,0.863,0.803,0.797,0.756,0.8
DNK,Denmark,0.914,0.91,0.908,0.907,0.911,0.903,0.896,0.899,0.851,0.856,0.872,0.868,0.865,0.866,0.793,0.814
DJI,Djibouti,0.755,0.755,0.772,0.791,0.802,0.84,0.878,0.87,0.887,0.869,0.848,0.79,0.783,0.766,0.705,0.766
DMA,Dominica,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.8,0.863
DOM,Dominican Republic,0.78,0.742,0.778,0.771,0.799,0.792,0.731,0.717,0.691,0.565,0.493,0.632,0.693,0.741,0.708,0.771
ECU,Ecuador,0.53,0.577,0.638,0.613,0.583,0.519,0.334,0.438,0.576,0.683,0.761,0.745,0.741,0.75,0.639,0.649
EGY,Egypt,0.703,0.667,0.706,0.742,0.768,0.783,0.792,0.801,0.798,0.776,0.736,0.668,0.699,0.659,0.642,0.608
SLV,El Salvador,0.725,0.741,0.751,0.791,0.829,0.876,0.863,0.838,0.852,0.856,0.829,0.777,0.768,0.774,0.741,0.741
GNQ,Equatorial Guinea,0.66,0.66,0.66,0.66,0.64,0.751,0.723,0.682,0.675,0.673,0.703,0.801,0.811,0.814,0.809,0.744
ERI,Eritrea,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.46
EST,Estonia,0.173,0.555,0.623,0.702,0.749,0.806,0.87,0.857,0.821,0.855,0.847,0.83,0.82,0.797,0.711,0.787
ETH,Ethiopia,0.734,0.712,0.868,0.829,0.814,0.744,0.797,0.765,0.843,0.685,0.698,0.718,0.694,0.655,0.604,0.543
FJI,Fiji,0.805,0.808,0.797,0.786,0.76,0.79,0.817,0.785,0.818,0.784,0.791,0.747,0.789,0.773,0.736,0.761
FIN,Finland,0.823,0.833,0.895,0.886,0.878,0.879,0.846,0.847,0.86,0.88,0.908,0.899,0.885,0.874,0.789,0.807
FRA,France,0.814,0.815,0.812,0.824,0.839,0.85,0.827,0.87,0.864,0.86,0.856,0.81,0.812,0.717,0.797,0.837
GAB,Gabon,0.595,0.653,0.744,0.778,0.811,0.853,0.895,0.826,0.853,0.819,0.843,0.816,0.746,0.738,0.714,0.738
GMB,Gambia,0.699,0.699,0.748,0.745,0.772,0.739,0.819,0.781,0.734,0.665,0.66,0.681,0.739,0.719,0.716,0.716
GEO,Georgia,0.509,0.509,0.509,0.509,0.675,0.611,0.674,0.748,0.755,0.759,0.752,0.778,0.714,0.709,0.702,0.767
DEU,Germany,0.835,0.856,0.87,0.866,0.881,0.894,0.88,0.866,0.871,0.881,0.871,0.815,0.814,0.808,0.799,0.839
GHA,Ghana,0.643,0.512,0.512,0.574,0.662,0.71,0.659,0.558,0.616,0.588,0.645,0.701,0.68,0.696,0.659,0.633
GRC,Greece,0.679,0.701,0.714,0.739,0.755,0.783,0.787,0.785,0.781,0.781,0.787,0.784,0.785,0.788,0.776,0.806
GRD,Grenada,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
GTM,Guatemala,0.69,0.707,0.696,0.704,0.722,0.748,0.747,0.783,0.774,0.791,0.781,0.716,0.729,0.733,0.702,0.702
GIN,Guinea,0.802,0.803,0.828,0.85,0.771,0.766,0.744,0.799,0.825,0.752,0.704,0.575,0.543,0.574,0.574,0.703
GNB,Guinea-Bissau,0.406,0.406,0.406,0.406,0.504,0.709,0.746,0.772,0.777,0.83,0.89,0.807,0.757,0.735,0.67,0.722
GUY,Guyana,0.715,0.729,0.762,0.805,0.814,0.79,0.791,0.824,0.811,0.801,0.807,0.741,0.739,0.696,0.71,0.758
HTI,Haiti,0.475,0.5,0.54,0.558,0.614,0.647,0.679,0.667,0.687,0.554,0.586,0.622,0.653,0.69,0.671,0.737
HND,Honduras,0.633,0.578,0.583,0.604,0.645,0.672,0.686,0.748,0.715,0.722,0.721,0.715,0.737,0.735,0.702,0.702
HUN,Hungary,0.666,0.63,0.638,0.663,0.696,0.733,0.747,0.706,0.737,0.756,0.743,0.766,0.772,0.738,0.741,0.741
ISL,Iceland,0.813,0.813,0.858,0.864,0.866,0.846,0.817,0.847,0.852,0.886,0.888,0.829,0.748,0.753,0.699,0.686
IND,India,0.656,0.651,0.656,0.672,0.637,0.682,0.708,0.776,0.77,0.774,0.776,0.772,0.703,0.693,0.675,0.651
IDN,Indonesia,0.713,0.708,0.717,0.733,0.494,0.562,0.724,0.746,0.689,0.717,0.736,0.709,0.682,0.716,0.708,0.743
IRN,"Iran, Islamic Republic of",0.513,0.437,0.48,0.546,0.576,0.572,0.595,0.623,0.617,0.601,0.601,0.62,0.613,0.601,0.547,0.607
IRQ,Iraq,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
IRL,Ireland,0.856,0.852,0.861,0.871,0.858,0.866,0.818,0.812,0.811,0.825,0.844,0.853,0.849,0.843,0.79,0.807
ISR,Israel,0.731,0.743,0.739,0.753,0.785,0.8,0.85,0.873,0.822,0.862,0.909,0.842,0.818,0.837,0.782,0.784
ITA,Italy,0.77,0.811,0.819,0.845,0.857,0.865,0.855,0.847,0.848,0.847,0.852,0.805,0.806,0.808,0.79,0.821
JAM,Jamaica,0.522,0.591,0.58,0.657,0.745,0.783,0.774,0.78,0.78,0.758,0.729,0.71,0.743,0.754,0.684,0.684
JPN,Japan,0.889,0.92,0.929,0.882,0.89,0.928,0.906,0.898,0.892,0.906,0.925,0.909,0.943,0.936,0.888,0.879
JOR,Jordan,0.782,0.795,0.755,0.777,0.784,0.874,0.89,0.874,0.867,0.818,0.844,0.835,0.804,0.803,0.732,0.814
KAZ,Kazakhstan,0.465,0.465,0.465,0.465,0.626,0.662,0.686,0.704,0.731,0.739,0.736,0.729,0.719,0.7,0.656,0.699
KEN,Kenya,0.537,0.678,0.711,0.701,0.72,0.789,0.764,0.786,0.829,0.776,0.747,0.744,0.722,0.74,0.727,0.732
KIR,Kiribati,0.887,0.887,0.887,0.887,0.887,0.887,0.887,0.887,0.887,0.887,0.887,0.887,0.887,0.887,0.719,0.711
PRK,"Korea, Democratic People's Republic of",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
KOR,"Korea, Republic of",0.796,0.809,0.809,0.815,0.789,0.845,0.852,0.834,0.84,0.833,0.831,0.789,0.8,0.8,0.774,0.774
KWT,Kuwait,0.817,0.801,0.785,0.82,0.85,0.808,0.802,0.816,0.832,0.837,0.831,0.788,0.738,0.717,0.664,0.693
KGZ,Kyrgyzstan,0.411,0.411,0.411,0.569,0.65,0.557,0.6,0.676,0.762,0.788,0.779,0.771,0.756,0.715,0.622,0.622
LAO,Lao People's Democratic Republic,0.628,0.554,0.531,0.521,0.284,0.138,0.381,0.55,0.64,0.616,0.633,0.713,0.73,0.754,0.735,0.735
LVA,Latvia,0.411,0.574,0.66,0.729,0.785,0.832,0.844,0.849,0.858,0.848,0.808,0.742,0.738,0.711,0.67,0.735
LBN,Lebanon,0.664,0.739,0.758,0.768,0.799,0.862,0.923,0.913,0.835,0.829,0.82,0.884,0.778,0.773,0.714,0.777
LSO,Lesotho,0.653,0.653,0.659,0.662,0.67,0.667,0.734,0.734,0.7,0.715,0.742,0.771,0.754,0.731,0.703,0.716
LBR,Liberia,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.654,0.695
LBY,Libyan Arab Jamahiriya,0.602,0.612,0.649,0.671,0.678,0.691,0.738,0.641,0.61,0.664,0.693,0.801,0.749,0.703,0.664,0.664
LIE,Liechtenstein,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
LTU,Lithuania,0.129,0.33,0.539,0.651,0.723,0.848,0.877,0.881,0.901,0.901,0.904,0.811,0.785,0.758,0.708,0.745
LUX,Luxembourg,0.847,0.858,0.87,0.874,0.883,0.886,0.852,0.847,0.853,0.859,0.857,0.802,0.798,0.802,0.789,0.821
MDG,Madagascar,0.605,0.535,0.611,0.728,0.782,0.765,0.74,0.766,0.719,0.828,0.745,0.7,0.722,0.739,0.754,0.759
MWI,Malawi,0.549,0.386,0.459,0.598,0.581,0.51,0.535,0.575,0.631,0.68,0.686,0.682,0.699,0.698,0.71,0.716
MYS,Malaysia,0.777,0.781,0.781,0.791,0.766,0.784,0.807,0.821,0.818,0.828,0.826,0.801,0.786,0.799,0.767,0.767
MDV,Maldives,0.765,0.765,0.765,0.765,0.765,0.765,0.765,0.765,0.765,0.765,0.765,0.765,0.765,0.765,0.697,0.741
MLI,Mali,0.656,0.658,0.701,0.798,0.837,0.876,0.86,0.837,0.815,0.842,0.812,0.784,0.799,0.796,0.738,0.776
MLT,Malta,0.725,0.723,0.746,0.733,0.729,0.745,0.791,0.798,0.846,0.857,0.85,0.8,0.798,0.827,0.781,0.801
MHL,Marshall Islands,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
MRT,Mauritania,0.696,0.693,0.707,0.711,0.684,0.757,0.775,0.769,0.773,0.761,0.765,0.739,0.771,0.777,0.78,0.774
MUS,Mauritius,0.736,0.736,0.736,0.736,0.735,0.684,0.707,0.705,0.696,0.714,0.721,0.758,0.757,0.711,0.712,0.761
MEX,Mexico,0.666,0.578,0.541,0.582,0.676,0.691,0.732,0.77,0.798,0.811,0.813,0.77,0.777,0.775,0.763,0.757
