ISO3,name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AFG,Afghanistan,20769532,21312543.72,21869752.28,22441528.86,23028254.32,23630319.5,24232218.7,24849449.16,25482401.4,26131475.86,26797083.21,27518809.06,28259973.14,29021099,29802724.26,
ALB,Albania,3133759,3105896,3086806,3075628,3069856,3067556,3069383,3076282,3086736,3098677,3110579,3121751,3132458,3143291,3155271,
DZA,Algeria,28265291,28759876,29215667,29646386,30071594,30506054,30954289,31414114,31885435,32366125,32854535,33351478,33858168,34373426,34895470,
AND,Andorra,,,,,,,,,69740,74598,77712,79886,82180,83810.5,85168,
AGO,Angola,12539131,12887785,13218780,13547401,13895820,14279518,14704383,15164026,15646832,16135465,16617589,17089111,17554585,18020668,18497632,
ATG,Antigua and Barbuda,68158,69968,71828,73679,75462,77134,78658,80024,81260,82418,83534,84612,85641,86634,87600,
ARG,Argentina,34771691,35222503,35670986,36111222,36535442,36938728,37317983,37676467,38023463,38372041,38731603,39105347,39490465,39882980,40276376,
ARM,Armenia,3223169,3172156,3134770,3108982,3090433,3075811,3065426,3060592,3059964,3061844,3064925,3068475,3072450,3077087,3082951,
AUS,Australia,18072000,18311000,18517000,18711000,18926000,19153000,19413000,19651400,19895400,20127400,20394800,20697900,21072500,21431800,21874900,
AUT,Austria,7953067,7964966,7971116,7982461,8002186,8011560.509,8043015.638,8083639.298,8117800,8174700,8233300,8282424,8300788,8336926,8364095,
AZE,Azerbaijan,7685000,7763000,7838000,7913000,7983000,8048534.786,8111143.779,8171892.896,8234039.364,8306399.798,8391850,8484550,8581300,8680100,8781100,
BHS,Bahamas,281241,286213,291059,295771,300354,304812,309133,313319,317407,321453,325496,329551,333609,337668,341713,
BHR,Bahrain,577691,592941,607423,621465,635545,650012,664954,680272,695896,711698,727572,743522,759560,775585,791473,
BGD,Bangladesh ,128086442,130610358,133147667,135692110,138234550,140766909,143288578,145797298,148281341,150726249,153122039,155463091,157752512,160000128,162220762,
BRB,Barbados,257990,256763,255288,253775,252499,251656,251331,251470,251955,252596,253251,253890,254543,255203,255872,
BLR,Belarus,10194000,10160000,10117000,10069000,10035000,10005000,9970260.055,9925000,9873968.351,9824469.451,9775591.494,9732500,9702000,9680850,9663000,
BEL,Belgium,10136800,10157000,10181000,10203000,10226000,10252000,10287000,10333000,10376080.14,10421120.61,10478650,10547958,10625700,10708433,10788760,
BLZ,Belize,216500,222000,230000,238500,243100,249800,257300,265200,273700,282600,291800,301386,311500,322100,333200,
BEN,Benin,5723300,5906325,6085490,6266017,6455497,6659331,6879133,7112926,7358142,7610730,7867626,8128208,8393132,8662086,8934985,
BTN,Bhutan,508695,510557,518131,530313,545171,561175,578283,596729,615533,633516,649839,663964,676040,686789,697335,
BOL,"Bolivia, Plurinational State of",7484182,7649893,7815308,7981049,8148173,8317371,8488714,8661639,8835442,9009162,9182062,9353826,9524495,9694113,9862860,
BIH,Bosnia and Herzegovina,3332123,3305662,3365555,3480172,3601301,3693578,3748354,3776053,3783067,3781764,3781274,3781488,3778410,3773100,3766579,
BWA,Botswana,1549882,1587763,1624712,1660024,1692814,1722554,1748819,1772043,1793620,1815492,1839050,1864831,1892426,1921122,1949780,
BRA,Brazil,161691994,164156558,166649884,169161808,171675320,174174447,176659138,179123364,181537359,183863524,186074634,188158438,190119995,191971506,193733795,
BRN,Brunei Darussalam,294962,302723,310491,318231,325901,333471,340918,348248,355509,362769,370075,377442,384852,392280,399687,
BGR,Bulgaria,8400000,8356000,8312068,8257000,8208000,8060000,7910000,7869000,7823000,7781000,7740000,7699020,7659764,7623395,7585131,
BFA,Burkina Faso,10127220,10411043,10702998,11007522,11330474,11676155,12045713,12438269,12853460,13290189,13747182,14224581,14721434,15233884,15756927,
BDI,Burundi,6166983,6222062,6266105,6312025,6376824,6472622,6603696,6766563,6955720,7162083,7378129,7603492,7837981,8074254,8303330,
