ISO3,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AFG,0.394736842,0.394736842,0.315789474,0.447368421,0.342105263,0.605263158,0.342105263,0.473684211,0.5,0.552631579,0.578947368,0.5,0.473684211,0.578947368,0.473684211,0.263157895
ALB,0.684210526,0.736842105,0.657894737,0.736842105,0.657894737,0.921052632,0.657894737,0.789473684,0.736842105,0.763157895,0.868421053,0.736842105,0.736842105,0.815789474,0.684210526,0.5
DZA,0.763157895,0.763157895,0.631578947,0.736842105,0.657894737,0.894736842,0.631578947,0.763157895,0.736842105,0.789473684,0.868421053,0.789473684,0.763157895,0.842105263,0.710526316,0.5
AND,0.315789474,0.342105263,0.315789474,0.421052632,0.315789474,0.447368421,0.315789474,0.447368421,0.473684211,0.473684211,0.473684211,0.473684211,0.447368421,0.5,0.421052632,0.263157895
AGO,0.631578947,0.657894737,0.552631579,0.684210526,0.605263158,0.710526316,0.473684211,0.552631579,0.552631579,0.552631579,0.842105263,0.763157895,0.736842105,0.815789474,0.684210526,0.5
ATG,0.447368421,0.421052632,0.421052632,0.5,0.394736842,0.605263158,0.394736842,0.605263158,0.5,0.552631579,0.526315789,0.5,0.5,0.5,0.5,0.289473684
ARG,0.736842105,0.763157895,0.631578947,0.763157895,0.657894737,0.894736842,0.631578947,0.736842105,0.763157895,0.763157895,0.868421053,0.763157895,0.763157895,0.815789474,0.684210526,0.5
ARM,0.631578947,0.736842105,0.631578947,0.763157895,0.631578947,0.894736842,0.631578947,0.736842105,0.763157895,0.789473684,0.947368421,0.789473684,0.789473684,0.868421053,0.710526316,0.5
AUS,0.763157895,0.763157895,0.631578947,0.763157895,0.631578947,0.868421053,0.631578947,0.736842105,0.736842105,0.763157895,0.868421053,0.763157895,0.763157895,0.842105263,0.684210526,0.5
AUT,0.736842105,0.763157895,0.657894737,0.763157895,0.657894737,0.894736842,0.657894737,0.763157895,0.763157895,0.763157895,0.894736842,0.789473684,0.789473684,0.868421053,0.684210526,0.5
AZE,0.684210526,0.736842105,0.605263158,0.736842105,0.631578947,0.894736842,0.657894737,0.736842105,0.736842105,0.789473684,0.894736842,0.815789474,0.763157895,0.842105263,0.710526316,0.5
BHS,0.736842105,0.736842105,0.631578947,0.736842105,0.631578947,0.842105263,0.631578947,0.763157895,0.710526316,0.789473684,0.815789474,0.736842105,0.736842105,0.789473684,0.684210526,0.315789474
BHR,0.631578947,0.710526316,0.578947368,0.684210526,0.605263158,0.736842105,0.578947368,0.684210526,0.684210526,0.710526316,0.789473684,0.710526316,0.710526316,0.763157895,0.657894737,0.473684211
BGD,0.684210526,0.710526316,0.657894737,0.736842105,0.657894737,0.894736842,0.631578947,0.736842105,0.763157895,0.789473684,0.868421053,0.736842105,0.763157895,0.815789474,0.710526316,0.342105263
BRB,0.684210526,0.710526316,0.605263158,0.736842105,0.631578947,0.868421053,0.631578947,0.789473684,0.736842105,0.815789474,0.842105263,0.736842105,0.736842105,0.815789474,0.684210526,0.5
BLR,0.684210526,0.736842105,0.631578947,0.763157895,0.631578947,0.842105263,0.605263158,0.736842105,0.763157895,0.789473684,0.921052632,0.763157895,0.763157895,0.842105263,0.710526316,0.5
BEL,0.736842105,0.763157895,0.631578947,0.736842105,0.657894737,0.868421053,0.631578947,0.736842105,0.736842105,0.763157895,0.894736842,0.763157895,0.763157895,0.868421053,0.684210526,0.5
BLZ,0.710526316,0.710526316,0.631578947,0.736842105,0.631578947,0.868421053,0.631578947,0.763157895,0.736842105,0.815789474,0.842105263,0.763157895,0.736842105,0.815789474,0.710526316,0.5
BEN,0.684210526,0.763157895,0.657894737,0.736842105,0.631578947,0.868421053,0.657894737,0.736842105,0.736842105,0.789473684,0.868421053,0.789473684,0.736842105,0.815789474,0.684210526,0.5
BTN,0.421052632,0.473684211,0.394736842,0.473684211,0.421052632,0.605263158,0.394736842,0.473684211,0.526315789,0.5,0.631578947,0.526315789,0.526315789,0.815789474,0.684210526,0.526315789
BOL,0.710526316,0.789473684,0.631578947,0.789473684,0.657894737,0.894736842,0.657894737,0.763157895,0.789473684,0.789473684,0.842105263,0.736842105,0.763157895,0.842105263,0.684210526,0.5
BIH,0.5,0.552631579,0.578947368,0.710526316,0.631578947,0.815789474,0.578947368,0.710526316,0.710526316,0.736842105,0.921052632,0.736842105,0.763157895,0.815789474,0.710526316,0.526315789
BWA,0.710526316,0.736842105,0.578947368,0.710526316,0.631578947,0.894736842,0.631578947,0.763157895,0.763157895,0.789473684,0.894736842,0.763157895,0.736842105,0.815789474,0.684210526,0.5
BRA,0.710526316,0.763157895,0.605263158,0.763157895,0.657894737,0.894736842,0.631578947,0.736842105,0.736842105,0.763157895,0.894736842,0.736842105,0.763157895,0.842105263,0.710526316,0.5
BRN,0.473684211,0.5,0.421052632,0.552631579,0.447368421,0.605263158,0.421052632,0.526315789,0.526315789,0.552631579,0.605263158,0.526315789,0.526315789,0.552631579,0.473684211,0.263157895
BGR,0.736842105,0.763157895,0.657894737,0.736842105,0.605263158,0.868421053,0.631578947,0.736842105,0.736842105,0.763157895,0.921052632,0.763157895,0.763157895,0.842105263,0.684210526,0.526315789
BFA,0.684210526,0.763157895,0.657894737,0.736842105,0.684210526,0.868421053,0.631578947,0.736842105,0.763157895,0.789473684,0.868421053,0.789473684,0.763157895,0.842105263,0.710526316,0.5
BDI,0.5,0.657894737,0.605263158,0.736842105,0.657894737,0.763157895,0.447368421,0.552631579,0.552631579,0.578947368,0.868421053,0.763157895,0.763157895,0.842105263,0.710526316,0.5
KHM,0.552631579,0.763157895,0.657894737,0.736842105,0.605263158,0.868421053,0.631578947,0.736842105,0.736842105,0.789473684,0.921052632,0.763157895,0.763157895,0.842105263,0.710526316,0.5
CMR,0.710526316,0.736842105,0.631578947,0.763157895,0.657894737,0.894736842,0.631578947,0.736842105,0.736842105,0.815789474,0.868421053,0.789473684,0.763157895,0.842105263,0.710526316,0.5
CAN,0.736842105,0.736842105,0.605263158,0.736842105,0.631578947,0.868421053,0.605263158,0.736842105,0.710526316,0.789473684,0.842105263,0.736842105,0.736842105,0.815789474,0.684210526,0.5
CPV,0.657894737,0.684210526,0.605263158,0.736842105,0.657894737,0.894736842,0.657894737,0.736842105,0.736842105,0.763157895,0.868421053,0.789473684,0.763157895,0.842105263,0.710526316,0.5
CAF,0.526315789,0.526315789,0.447368421,0.552631579,0.447368421,0.710526316,0.578947368,0.710526316,0.710526316,0.763157895,0.868421053,0.789473684,0.736842105,0.842105263,0.710526316,0.5
TCD,0.5,0.684210526,0.657894737,0.736842105,0.605263158,0.921052632,0.631578947,0.710526316,0.736842105,0.789473684,0.868421053,0.736842105,0.736842105,0.842105263,0.710526316,0.5
CHL,0.736842105,0.763157895,0.657894737,0.763157895,0.657894737,0.894736842,0.631578947,0.736842105,0.736842105,0.763157895,0.868421053,0.763157895,0.763157895,0.842105263,0.684210526,0.5
CHN,0.736842105,0.736842105,0.631578947,0.736842105,0.631578947,0.868421053,0.631578947,0.736842105,0.736842105,0.763157895,0.921052632,0.789473684,0.789473684,0.868421053,0.710526316,0.5
COL,0.789473684,0.763157895,0.657894737,0.763157895,0.657894737,0.894736842,0.631578947,0.736842105,0.736842105,0.763157895,0.894736842,0.763157895,0.763157895,0.842105263,0.710526316,0.5
COM,0.5,0.5,0.394736842,0.526315789,0.447368421,0.710526316,0.421052632,0.5,0.552631579,0.552631579,0.631578947,0.526315789,0.552631579,0.789473684,0.710526316,0.5
COG,0.605263158,0.710526316,0.605263158,0.736842105,0.684210526,0.736842105,0.447368421,0.552631579,0.552631579,0.552631579,0.657894737,0.552631579,0.526315789,0.789473684,0.710526316,0.315789474
COD,0.605263158,0.657894737,0.552631579,0.657894737,0.578947368,0.710526316,0.578947368,0.657894737,0.657894737,0.710526316,0.710526316,0.684210526,0.736842105,0.710526316,0.684210526,0.473684211
CRI,0.710526316,0.763157895,0.631578947,0.736842105,0.631578947,0.868421053,0.631578947,0.736842105,0.763157895,0.789473684,0.868421053,0.763157895,0.763157895,0.842105263,0.684210526,0.315789474
CIV,0.736842105,0.736842105,0.631578947,0.736842105,0.684210526,0.894736842,0.605263158,0.710526316,0.710526316,0.789473684,0.842105263,0.789473684,0.789473684,0.815789474,0.684210526,0.5
HRV,0.657894737,0.736842105,0.657894737,0.763157895,0.657894737,0.868421053,0.657894737,0.736842105,0.736842105,0.763157895,0.868421053,0.763157895,0.789473684,0.868421053,0.710526316,0.526315789
CUB,0.736842105,0.736842105,0.631578947,0.763157895,0.631578947,0.894736842,0.657894737,0.736842105,0.736842105,0.763157895,0.842105263,0.763157895,0.736842105,0.815789474,0.657894737,0.447368421
CYP,0.736842105,0.763157895,0.657894737,0.710526316,0.631578947,0.894736842,0.657894737,0.763157895,0.763157895,0.789473684,0.921052632,0.789473684,0.789473684,0.868421053,0.684210526,0.526315789
CZE,0.763157895,0.763157895,0.631578947,0.763157895,0.657894737,0.894736842,0.657894737,0.763157895,0.763157895,0.789473684,0.868421053,0.763157895,0.763157895,0.842105263,0.684210526,0.526315789
DNK,0.684210526,0.736842105,0.605263158,0.736842105,0.631578947,0.868421053,0.657894737,0.763157895,0.763157895,0.789473684,0.921052632,0.789473684,0.789473684,0.868421053,0.684210526,0.526315789
DJI,0.473684211,0.710526316,0.631578947,0.710526316,0.631578947,0.894736842,0.657894737,0.763157895,0.736842105,0.763157895,0.868421053,0.789473684,0.789473684,0.815789474,0.710526316,0.5
DMA,0.473684211,0.447368421,0.447368421,0.526315789,0.421052632,0.631578947,0.421052632,0.578947368,0.5,0.552631579,0.578947368,0.5,0.5,0.710526316,0.684210526,0.5
DOM,0.736842105,0.763157895,0.631578947,0.710526316,0.631578947,0.894736842,0.631578947,0.736842105,0.736842105,0.763157895,0.842105263,0.763157895,0.763157895,0.815789474,0.684210526,0.5
ECU,0.763157895,0.736842105,0.657894737,0.736842105,0.657894737,0.868421053,0.631578947,0.736842105,0.736842105,0.789473684,0.842105263,0.763157895,0.789473684,0.842105263,0.684210526,0.5
EGY,0.763157895,0.763157895,0.657894737,0.763157895,0.657894737,0.868421053,0.605263158,0.710526316,0.763157895,0.789473684,0.894736842,0.763157895,0.763157895,0.894736842,0.684210526,0.5
SLV,0.736842105,0.763157895,0.631578947,0.789473684,0.657894737,0.894736842,0.657894737,0.736842105,0.763157895,0.763157895,0.868421053,0.763157895,0.763157895,0.842105263,0.684210526,0.315789474
GNQ,0.447368421,0.5,0.394736842,0.657894737,0.578947368,0.894736842,0.578947368,0.684210526,0.684210526,0.710526316,0.815789474,0.710526316,0.710526316,0.763157895,0.684210526,0.5
ERI,0.552631579,0.526315789,0.421052632,0.552631579,0.447368421,0.684210526,0.447368421,0.552631579,0.526315789,0.552631579,0.657894737,0.526315789,0.526315789,0.789473684,0.684210526,0.473684211
EST,0.763157895,0.763157895,0.657894737,0.763157895,0.657894737,0.894736842,0.657894737,0.763157895,0.763157895,0.789473684,0.921052632,0.763157895,0.789473684,0.868421053,0.684210526,0.5
ETH,0.710526316,0.736842105,0.631578947,0.763157895,0.657894737,0.921052632,0.657894737,0.763157895,0.763157895,0.789473684,0.921052632,0.789473684,0.789473684,0.842105263,0.684210526,0.5
FJI,0.657894737,0.710526316,0.631578947,0.736842105,0.631578947,0.815789474,0.631578947,0.710526316,0.736842105,0.763157895,0.815789474,0.736842105,0.736842105,0.763157895,0.684210526,0.5
FIN,0.710526316,0.736842105,0.631578947,0.736842105,0.631578947,0.894736842,0.657894737,0.763157895,0.736842105,0.763157895,0.894736842,0.763157895,0.763157895,0.868421053,0.684210526,0.5
FRA,0.684210526,0.736842105,0.631578947,0.736842105,0.631578947,0.868421053,0.631578947,0.736842105,0.736842105,0.763157895,0.894736842,0.763157895,0.763157895,0.842105263,0.657894737,0.473684211
GAB,0.710526316,0.736842105,0.631578947,0.736842105,0.657894737,0.894736842,0.605263158,0.710526316,0.710526316,0.763157895,0.842105263,0.736842105,0.736842105,0.815789474,0.684210526,0.5
GMB,0.526315789,0.710526316,0.605263158,0.710526316,0.631578947,0.894736842,0.605263158,0.710526316,0.736842105,0.789473684,0.842105263,0.763157895,0.736842105,0.842105263,0.684210526,0.315789474
GEO,0.657894737,0.736842105,0.631578947,0.736842105,0.657894737,0.842105263,0.631578947,0.736842105,0.736842105,0.763157895,0.921052632,0.789473684,0.789473684,0.842105263,0.710526316,0.5
DEU,0.763157895,0.763157895,0.631578947,0.710526316,0.605263158,0.842105263,0.605263158,0.710526316,0.736842105,0.736842105,0.868421053,0.736842105,0.736842105,0.815789474,0.684210526,0.5
GHA,0.710526316,0.736842105,0.605263158,0.736842105,0.631578947,0.868421053,0.631578947,0.710526316,0.763157895,0.736842105,0.894736842,0.789473684,0.763157895,0.815789474,0.710526316,0.5
GRC,0.710526316,0.736842105,0.631578947,0.736842105,0.631578947,0.868421053,0.605263158,0.710526316,0.710526316,0.736842105,0.868421053,0.736842105,0.736842105,0.789473684,0.657894737,0.473684211
GRD,0.5,0.5,0.447368421,0.552631579,0.447368421,0.631578947,0.447368421,0.578947368,0.526315789,0.578947368,0.578947368,0.526315789,0.526315789,0.552631579,0.5,0.289473684
GTM,0.763157895,0.736842105,0.631578947,0.736842105,0.657894737,0.868421053,0.631578947,0.763157895,0.736842105,0.736842105,0.842105263,0.736842105,0.763157895,0.815789474,0.684210526,0.315789474
