ISO3,name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AFG,Afghanistan,,,,,,,,,,23.65999985,27.45942879,29.3,,,,
ALB,Albania,39,39,39,39,39,39,39,39,,,,,,,,
DZA,Algeria,68.90000153,68.90000153,68.90000153,68.90000153,68.90000153,68.90000153,,,,70.19999695,,,,73.46,,
AND,Andorra,,,,,,100,,,,,,,,,,
AGO,Angola,,,,,10.39999962,10.39999962,10.39999962,,,,,,,,,
ATG,Antigua and Barbuda,,,,,,,,32.95999908,,,,,,,,
ARG,Argentina,29.10000038,29.10000038,29.5,29.5,29.39999962,29.39999962,,,30,,,,,,,
ARM,Armenia,96.69999695,96.69999695,96.80000305,96.80000305,,,,,91.26999664,90.12000275,89.97000122,88.97899628,89.04,90.52,,
AUS,Australia,38.59999847,38.70000076,,38.70000076,,,,,,,,,,,,
AUT,Austria,100,100,100,100,100,100,100,100,100,,100,100,100,100,,
AZE,Azerbaijan,,,,,,,,,,49.38999939,,50.60254618,,,,
BHS,Bahamas,57.40000153,57.40000153,57.40000153,57.40000153,57.40000153,57.40000153,57.40000153,,,,,,,,,
BHR,Bahrain,,75.80000305,76.5,76.90000153,77.40000153,77.59999847,75.30000305,78.90000153,79.12999725,79.7391063,80.31283711,80.80462793,81.04388471,81.48148148,,
BGD,Bangladesh ,7.900000095,8.399999619,9.5,9.529999733,9.529999733,9.529999733,,,9.5,,,,,,,
BRB,Barbados,95.80000305,95.90000153,,98.59999847,98.59999847,98.59999847,98.59999847,98.59999847,100,100,,,,,,
BLR,Belarus,98.59999847,98.80000305,98.19999695,95.59999847,,,,,86.40000153,87,88.63999939,,,,,
BEL,Belgium,80.69999695,80.69999695,80.69999695,78.19999695,78.19999695,78.19999695,78.30000305,78.19999695,78,78,78.21199799,78.20800018,78.2,78.2,,
BLZ,Belize,,19,16,17,17,17,17,,,,,,,,,
BEN,Benin,20,20,20,20,,,,,,9.5,,,,,,
BTN,Bhutan,63.70000076,60.70000076,60.70000076,,,,,,62,,,,,,,
BOL,"Bolivia, Plurinational State of",5.5,5.5,5.699999809,6,6.400000095,6.599999905,6.699999809,6.699999809,7,7,,,,,,
BIH,Bosnia and Herzegovina,52.29999924,52.29999924,52.29999924,52.29999924,52.29999924,,,,,,52.29999924,,,,,
BWA,Botswana,,,,,,,,35.29999924,35.13999939,33.20000076,32.59999847,,,,,
BRA,Brazil,8.899999619,9.300000191,9.100000381,9.600000381,5.599999905,5.5,,,,,,,,,,
BRN,Brunei Darussalam,34.59999847,,34.70000076,34.70000076,34.70000076,34.70000076,,,,,77.23000336,,,,,
BGR,Bulgaria,92,92,92,92.09999847,,,,,,,98.40000153,,,,,
BFA,Burkina Faso,16,16,16,16,16,,,,,4.170000076,,,,,,
BDI,Burundi,,,,,7.099999905,7.099999905,,,,10.43999958,,,,,,
KHM,Cambodia,7.5,7.5,7.5,,,,,,,6.289999962,,,,,,
CMR,Cameroon,12.5,12.5,12.5,12.5,12.5,8.100000381,,,,8.369999886,,,,,,
CAN,Canada,35.29999924,,,,,,,,,39.86999893,,,,,,
CPV,Cape Verde,78,78,78,78,78,69.04000092,69.04000092,,,,,,,,,
CAF,Central African Republic,2.099999905,2.099999905,2.400000095,2.700000048,,,,,,,,,,,,
TCD,Chad,0.800000012,0.800000012,0.800000012,0.800000012,0.800000012,0.800000012,,,,,,,,,,
CHL,Chile,15.89999962,16.70000076,17.20000076,18.29999924,18.89999962,18.39999962,20.20000076,,,,,,,,,
CHN,China,,,,,,,,,,,40.79999924,44.09999847,49.6,53.5,,
COL,Colombia,9.199999809,11.89999962,12,14.30000019,14.39999962,,,,,,,,,,,
COM,Comoros,76.5,,,76.5,76.5,76.5,76.5,,,,,,,,,
COG,Congo,9.699999809,9.699999809,9.699999809,9.699999809,9.699999809,9.699999809,,,,5,,7.129411765,,,,
COD,"Congo, the Democratic Republic of the",,,,,,,,,,1.820000052,,,,,,
CRI,Costa Rica,16.70000076,17,17,21,22,22,22,22,24.60000038,24.39999962,,25.20000076,25.53336607,25.28,,
CIV,C™te d'Ivoire,9.600000381,9.699999809,9.699999809,9.699999809,9.699999809,9.699999809,,,,8.119999886,,,7.929655105,,,
HRV,Croatia,,81.5,81.5,84.40000153,84.59999847,85.4,84.92774536,,,,,,89.13148288,86.88,,
CUB,Cuba,55.79999924,55.90000153,49,49,49,49,49,,,,,,,,,
CYP,Cyprus,57,57.20000076,57.29999924,59.20000076,59.59999847,60.59999847,61.20000076,62.20000076,62.95000076,63,64.58999634,65.05000305,64.03723665,64.61,,
CZE,Czech Republic,100,100,,100,100,100,100,100,100,100,,,,,,
DNK,Denmark,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
DJI,Djibouti,,,,,,45,45,,,,,,,,,
DMA,Dominica,50.29999924,50.40000153,50.40000153,50.40000153,50.40000153,50.40000153,50.40000153,,,,,,,,,
DOM,Dominican Republic,49.29999924,49.40000153,,,49.40000153,49.40000153,49.40000153,,,,,,,,,
ECU,Ecuador,12.69999981,13.30000019,18.89999962,18.89999962,18.89999962,18.89999962,16.87000084,16.87000084,14.93999958,14.97000027,,14.81566334,14.81566293,,,
EGY,Egypt,78,78.09999847,78.09999847,78.09999847,78.09999847,78.09999847,,,,81,,,,86.89,,
SLV,El Salvador,20,19.89999962,19.79999924,19.79999924,19.79999924,19.79999924,19.79999924,,,,,,,,,
GNQ,Equatorial Guinea,,,,,,50,,,,,,,,,,
ERI,Eritrea,21.39999962,21.79999924,21.79999924,21.79999924,21.79999924,21.79999924,21.79999924,,,,,,,,,
EST,Estonia,54,53.20000076,50.79999924,22.10000038,21.29999924,20.10000038,19.70000076,24.79999924,23.39999962,22.13999939,22.67000008,,28.60244941,28.77451149,,
ETH,Ethiopia,15.5,15.30000019,15.30000019,14,13.30000019,12,12,12,12.89999962,19.13999939,11.04791126,11.63154756,13.67478978,,,
FJI,Fiji,49.09999847,49.20000076,49.20000076,49.20000076,49.20000076,49.20000076,49.20000076,,,,,,,,,
FIN,Finland,63,64,64,64,64.5,62,64,64,64.59999847,64.69999695,65.04000092,65.27533221,65.36272484,65.47,,
FRA,France,,100,100,100,100,100,100,100,100,100,100,100,100,100,,
GAB,Gabon,8.199999809,9.899999619,9.899999619,9.899999619,9.899999619,9.899999619,,,,10.21000004,,,,,,
GMB,Gambia,,,,,,,,,19.31999969,19.31999969,,,,,,
GEO,Georgia,93.5,93.5,93.69999695,93.40000153,,,,,,,,94.06758817,94.06758817,,,
DEU,Germany,99,99.09999847,,,,,,,100,,,,,,,
GHA,Ghana,24.89999962,24.10000038,,,29.60000038,29.60000038,18.39999962,,17.92000008,,14.93029308,,,,,
GRC,Greece,91.69999695,91.80000305,91.80000305,91.80000305,91.80000305,91.80000305,,,,,,,,,,
GRD,Grenada,61.20000076,61.29999924,61.29999924,61.29999924,60.95999908,60.95999908,60.95999908,,,,,,,,,
GTM,Guatemala,26,25.79999924,26.39999962,31,34.5,34.5,34.5,,,,,,,,,
GIN,Guinea,16.39999962,16.5,16.5,16.5,16.5,16.5,,,9.789999962,,,,,,,
GNB,Guinea-Bissau,10.19999981,10.30000019,10.30000019,10.30000019,,,,27.94000053,,,,,,,,
GUY,Guyana,7.300000191,7.400000095,7.400000095,7.400000095,7.400000095,7.400000095,7.400000095,,,,,,,,,
HTI,Haiti,24.20000076,24.29999924,24.29999924,24.29999924,24.29999924,24.29999924,24.29999924,,,,,,,,,
HND,Honduras,20.39999962,20.39999962,20.39999962,20.39999962,20.39999962,20.39999962,20.39999962,,,,,,,,,
HUN,Hungary,44.09999847,43.09999847,43.40000153,43.40000153,,,43.70000076,43.90000153,43.90000153,,,38.04082026,37.71631778,37.65,,
ISL,Iceland,24.79999924,25.89999962,25.70000076,27.10000038,28.10000038,29.5,30.60000038,31.5,,34.40000153,35.38999939,35.86000061,36.6416309,36.6416309,,
IND,India,55.40000153,54.70000076,56.5,57,46.66999817,47.45999908,47.74000168,47.40000153,,48.62,46.99,47.72,48.24,49.34065931,,
