ISO3,name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AFG,Afghanistan,0.763400002,0.763400002,0.763400002,0.763400002,0.763400002,0.763400002,0.763400002,0.763400002,0.763400002,0.763400002,0.725405712,0.707,0.707,0.707,0.707,0.707
ALB,Albania,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61
DZA,Algeria,0.310999985,0.310999985,0.310999985,0.310999985,0.310999985,0.310999985,0.307749996,0.304500008,0.301250019,0.298000031,0.289850023,0.281700015,0.273550008,0.2654,0.2654,0.2654
AND,Andorra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGO,Angola,0.896000004,0.896000004,0.896000004,0.896000004,0.896000004,0.896000004,0.896000004,0.896000004,0.896000004,0.896000004,0.896000004,0.896000004,0.896000004,0.896000004,0.896000004,0.896000004
ATG,Antigua and Barbuda,0.670400009,0.670400009,0.670400009,0.670400009,0.670400009,0.670400009,0.670400009,0.670400009,0.670400009,0.670400009,0.670400009,0.670400009,0.670400009,0.670400009,0.670400009,0.670400009
ARG,Argentina,0.708999996,0.708999996,0.705,0.705,0.706000004,0.706000004,0.704000003,0.702000001,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
ARM,Armenia,0.033000031,0.033000031,0.031999969,0.031999969,0.043059982,0.054119995,0.065180008,0.076240021,0.087300034,0.098799973,0.100299988,0.110210037,0.1096,0.0948,0.0948,0.0948
AUS,Australia,0.614000015,0.612999992,0.612999992,0.612999992,0.612999992,0.612999992,0.612999992,0.612999992,0.612999992,0.612999992,0.612999992,0.612999992,0.612999992,0.612999992,0.612999992,0.612999992
AUT,Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZE,Azerbaijan,0.506100006,0.506100006,0.506100006,0.506100006,0.506100006,0.506100006,0.506100006,0.506100006,0.506100006,0.506100006,0.500037272,0.493974538,0.493974538,0.493974538,0.493974538,0.493974538
BHS,Bahamas,0.425999985,0.425999985,0.425999985,0.425999985,0.425999985,0.425999985,0.425999985,0.425999985,0.425999985,0.425999985,0.425999985,0.425999985,0.425999985,0.425999985,0.425999985,0.425999985
BHR,Bahrain,0.24199997,0.24199997,0.235,0.230999985,0.225999985,0.224000015,0.24699997,0.210999985,0.208700028,0.202608937,0.196871629,0.191953721,0.189561153,0.185185185,0.185185185,0.185185185
BGD,Bangladesh ,0.920999999,0.916000004,0.905,0.904700003,0.904700003,0.904700003,0.904800002,0.904900001,0.905,0.905,0.905,0.905,0.905,0.905,0.905,0.905
BRB,Barbados,0.04199997,0.040999985,0.0275,0.014000015,0.014000015,0.014000015,0.014000015,0.014000015,0,0,0,0,0,0,0,0
BLR,Belarus,0.014000015,0.01199997,0.018000031,0.044000015,0.062400009,0.080800003,0.099199997,0.117599991,0.135999985,0.13,0.113600006,0.113600006,0.113600006,0.113600006,0.113600006,0.113600006
BEL,Belgium,0.193000031,0.193000031,0.193000031,0.218000031,0.218000031,0.218000031,0.21699997,0.218000031,0.22,0.22,0.21788002,0.217919998,0.218,0.218,0.218,0.218
BLZ,Belize,0.81,0.81,0.84,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83
BEN,Benin,0.8,0.8,0.8,0.8,0.8175,0.835,0.8525,0.87,0.8875,0.905,0.905,0.905,0.905,0.905,0.905,0.905
BTN,Bhutan,0.362999992,0.392999992,0.392999992,0.390833327,0.388666662,0.386499996,0.384333331,0.382166665,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38
BOL,"Bolivia, Plurinational State of",0.945,0.945,0.943000002,0.94,0.935999999,0.934000001,0.933000002,0.933000002,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93
BIH,Bosnia and Herzegovina,0.477000008,0.477000008,0.477000008,0.477000008,0.477000008,0.477000008,0.477000008,0.477000008,0.477000008,0.477000008,0.477000008,0.477000008,0.477000008,0.477000008,0.477000008,0.477000008
BWA,Botswana,0.647000008,0.647000008,0.647000008,0.647000008,0.647000008,0.647000008,0.647000008,0.647000008,0.648600006,0.667999992,0.674000015,0.674000015,0.674000015,0.674000015,0.674000015,0.674000015
BRA,Brazil,0.911000004,0.906999998,0.908999996,0.903999996,0.944000001,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945
BRN,Brunei Darussalam,0.654000015,0.653500004,0.652999992,0.652999992,0.652999992,0.652999992,0.567939987,0.482879982,0.397819977,0.312759972,0.227699966,0.227699966,0.227699966,0.227699966,0.227699966,0.227699966
BGR,Bulgaria,0.08,0.08,0.08,0.079000015,0.070000011,0.061000007,0.052000002,0.042999998,0.033999993,0.024999989,0.015999985,0.015999985,0.015999985,0.015999985,0.015999985,0.015999985
BFA,Burkina Faso,0.84,0.84,0.84,0.84,0.84,0.86366,0.88732,0.91098,0.934639999,0.958299999,0.958299999,0.958299999,0.958299999,0.958299999,0.958299999,0.958299999
BDI,Burundi,0.929000001,0.929000001,0.929000001,0.929000001,0.929000001,0.929000001,0.920650002,0.912300003,0.903950003,0.895600004,0.895600004,0.895600004,0.895600004,0.895600004,0.895600004,0.895600004
KHM,Cambodia,0.925,0.925,0.925,0.926728571,0.928457143,0.930185714,0.931914286,0.933642857,0.935371429,0.9371,0.9371,0.9371,0.9371,0.9371,0.9371,0.9371
CMR,Cameroon,0.875,0.875,0.875,0.875,0.875,0.918999996,0.918324997,0.917649999,0.916975,0.916300001,0.916300001,0.916300001,0.916300001,0.916300001,0.916300001,0.916300001
CAN,Canada,0.647000008,0.64192223,0.636844453,0.631766675,0.626688898,0.62161112,0.616533343,0.611455566,0.606377788,0.601300011,0.601300011,0.601300011,0.601300011,0.601300011,0.601300011,0.601300011
CPV,Cape Verde,0.22,0.22,0.22,0.22,0.22,0.309599991,0.309599991,0.309599991,0.309599991,0.309599991,0.309599991,0.309599991,0.309599991,0.309599991,0.309599991,0.309599991
CAF,Central African Republic,0.979000001,0.979000001,0.975999999,0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.973
TCD,Chad,0.992,0.992,0.992,0.992,0.992,0.992,0.992,0.992,0.992,0.992,0.992,0.992,0.992,0.992,0.992,0.992
CHL,Chile,0.841000004,0.832999992,0.827999992,0.817000008,0.811000004,0.816000004,0.797999992,0.797999992,0.797999992,0.797999992,0.797999992,0.797999992,0.797999992,0.797999992,0.797999992,0.797999992
CHN,China,0.592000008,0.592000008,0.592000008,0.592000008,0.592000008,0.592000008,0.592000008,0.592000008,0.592000008,0.592000008,0.592000008,0.559000015,0.504,0.465,0.465,0.465
COL,Colombia,0.908000002,0.881000004,0.88,0.856999998,0.856000004,0.856000004,0.856000004,0.856000004,0.856000004,0.856000004,0.856000004,0.856000004,0.856000004,0.856000004,0.856000004,0.856000004
COM,Comoros,0.235,0.235,0.235,0.235,0.235,0.235,0.235,0.235,0.235,0.235,0.235,0.235,0.235,0.235,0.235,0.235
COG,Congo,0.903000002,0.903000002,0.903000002,0.903000002,0.903000002,0.903000002,0.914750001,0.926500001,0.93825,0.95,0.939352941,0.928705882,0.928705882,0.928705882,0.928705882,0.928705882
COD,"Congo, the Democratic Republic of the",0.981799999,0.981799999,0.981799999,0.981799999,0.981799999,0.981799999,0.981799999,0.981799999,0.981799999,0.981799999,0.981799999,0.981799999,0.981799999,0.981799999,0.981799999,0.981799999
CRI,Costa Rica,0.832999992,0.83,0.83,0.79,0.78,0.78,0.78,0.78,0.753999996,0.756000004,0.751999998,0.747999992,0.744666339,0.7472,0.7472,0.7472
CIV,C™te d'Ivoire,0.903999996,0.903000002,0.903000002,0.903000002,0.903000002,0.903000002,0.906950002,0.910900002,0.914850001,0.918800001,0.919434484,0.920068966,0.920703449,0.920703449,0.920703449,0.920703449
HRV,Croatia,0.185,0.185,0.185,0.155999985,0.154000015,0.146,0.150722546,0.143716317,0.136710088,0.129703859,0.12269763,0.1156914,0.108685171,0.1312,0.1312,0.1312
CUB,Cuba,0.442000008,0.440999985,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51
CYP,Cyprus,0.43,0.427999992,0.427000008,0.407999992,0.404000015,0.394000015,0.387999992,0.377999992,0.370499992,0.37,0.354100037,0.34949997,0.359627634,0.3539,0.3539,0.3539
CZE,Czech Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DNK,Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DJI,Djibouti,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55
DMA,Dominica,0.497000008,0.495999985,0.495999985,0.495999985,0.495999985,0.495999985,0.495999985,0.495999985,0.495999985,0.495999985,0.495999985,0.495999985,0.495999985,0.495999985,0.495999985,0.495999985
DOM,Dominican Republic,0.507000008,0.505999985,0.505999985,0.505999985,0.505999985,0.505999985,0.505999985,0.505999985,0.505999985,0.505999985,0.505999985,0.505999985,0.505999985,0.505999985,0.505999985,0.505999985
ECU,Ecuador,0.873000002,0.866999998,0.811000004,0.811000004,0.811000004,0.811000004,0.831299992,0.831299992,0.850600004,0.850299997,0.851071682,0.851843367,0.851843371,0.851843371,0.851843371,0.851843371
EGY,Egypt,0.22,0.219000015,0.219000015,0.219000015,0.219000015,0.219000015,0.211750011,0.204500008,0.197250004,0.19,0.175275,0.16055,0.145825,0.1311,0.1311,0.1311
SLV,El Salvador,0.8,0.801000004,0.802000008,0.802000008,0.802000008,0.802000008,0.802000008,0.802000008,0.802000008,0.802000008,0.802000008,0.802000008,0.802000008,0.802000008,0.802000008,0.802000008
GNQ,Equatorial Guinea,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
ERI,Eritrea,0.786000004,0.782000008,0.782000008,0.782000008,0.782000008,0.782000008,0.782000008,0.782000008,0.782000008,0.782000008,0.782000008,0.782000008,0.782000008,0.782000008,0.782000008,0.782000008
EST,Estonia,0.46,0.467999992,0.492000008,0.778999996,0.787000008,0.798999996,0.802999992,0.752000008,0.766000004,0.778600006,0.773299999,0.743637753,0.713975506,0.712254885,0.712254885,0.712254885
ETH,Ethiopia,0.845,0.846999998,0.846999998,0.86,0.866999998,0.88,0.88,0.88,0.871000004,0.808600006,0.889520887,0.883684524,0.863252102,0.863252102,0.863252102,0.863252102
FJI,Fiji,0.509000015,0.507999992,0.507999992,0.507999992,0.507999992,0.507999992,0.507999992,0.507999992,0.507999992,0.507999992,0.507999992,0.507999992,0.507999992,0.507999992,0.507999992,0.507999992
FIN,Finland,0.37,0.36,0.36,0.36,0.355,0.38,0.36,0.36,0.354000015,0.353000031,0.349599991,0.347246678,0.346372752,0.3453,0.3453,0.3453
FRA,France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAB,Gabon,0.918000002,0.901000004,0.901000004,0.901000004,0.901000004,0.901000004,0.900225003,0.899450002,0.898675001,0.8979,0.8979,0.8979,0.8979,0.8979,0.8979,0.8979
GMB,Gambia,0.806800003,0.806800003,0.806800003,0.806800003,0.806800003,0.806800003,0.806800003,0.806800003,0.806800003,0.806800003,0.806800003,0.806800003,0.806800003,0.806800003,0.806800003,0.806800003
GEO,Georgia,0.065,0.065,0.063000031,0.065999985,0.065165501,0.064331018,0.063496535,0.062662052,0.061827568,0.060993085,0.060158602,0.059324118,0.059324118,0.059324118,0.059324118,0.059324118
DEU,Germany,0.01,0.009000015,0.007714299,0.006428582,0.005142866,0.003857149,0.002571433,0.001285716,0,0,0,0,0,0,0,0
GHA,Ghana,0.751000004,0.758999996,0.740666663,0.72233333,0.703999996,0.703999996,0.816000004,0.818400002,0.820799999,0.835748534,0.850697069,0.850697069,0.850697069,0.850697069,0.850697069,0.850697069
GRC,Greece,0.083000031,0.08199997,0.08199997,0.08199997,0.08199997,0.08199997,0.08199997,0.08199997,0.08199997,0.08199997,0.08199997,0.08199997,0.08199997,0.08199997,0.08199997,0.08199997
GRD,Grenada,0.387999992,0.387000008,0.387000008,0.387000008,0.390400009,0.390400009,0.390400009,0.390400009,0.390400009,0.390400009,0.390400009,0.390400009,0.390400009,0.390400009,0.390400009,0.390400009
GTM,Guatemala,0.74,0.742000008,0.736000004,0.69,0.655,0.655,0.655,0.655,0.655,0.655,0.655,0.655,0.655,0.655,0.655,0.655
GIN,Guinea,0.836000004,0.835,0.835,0.835,0.835,0.835,0.857366667,0.879733334,0.9021,0.9021,0.9021,0.9021,0.9021,0.9021,0.9021,0.9021
GNB,Guinea-Bissau,0.898000002,0.896999998,0.896999998,0.896999998,0.852899997,0.808799996,0.764699996,0.720599995,0.720599995,0.720599995,0.720599995,0.720599995,0.720599995,0.720599995,0.720599995,0.720599995
GUY,Guyana,0.926999998,0.925999999,0.925999999,0.925999999,0.925999999,0.925999999,0.925999999,0.925999999,0.925999999,0.925999999,0.925999999,0.925999999,0.925999999,0.925999999,0.925999999,0.925999999
HTI,Haiti,0.757999992,0.757000008,0.757000008,0.757000008,0.757000008,0.757000008,0.757000008,0.757000008,0.757000008,0.757000008,0.757000008,0.757000008,0.757000008,0.757000008,0.757000008,0.757000008
HND,Honduras,0.796000004,0.796000004,0.796000004,0.796000004,0.796000004,0.796000004,0.796000004,0.796000004,0.796000004,0.796000004,0.796000004,0.796000004,0.796000004,0.796000004,0.796000004,0.796000004
HUN,Hungary,0.559000015,0.569000015,0.565999985,0.565999985,0.564999987,0.56399999,0.562999992,0.560999985,0.560999985,0.580530589,0.600061193,0.619591797,0.622836822,0.6235,0.6235,0.6235
ISL,Iceland,0.752000008,0.741000004,0.742999992,0.728999996,0.718999996,0.705,0.693999996,0.685,0.670499992,0.655999985,0.646100006,0.641399994,0.633583691,0.633583691,0.633583691,0.633583691
IND,India,0.445999985,0.452999992,0.435,0.43,0.533300018,0.525400009,0.522599983,0.525999985,0.519899992,0.5138,0.5301,0.5228,0.5176,0.506593407,0.506593407,0.506593407
IDN,Indonesia,0.475999985,0.537000008,0.435999985,0.527000008,0.537000008,0.429000015,0.410999985,0.42,0.41673504,0.446784872,0.445757003,0.469946216,0.391395732,0.408935053,0.408935053,0.408935053
IRN,"Iran, Islamic Republic of",0.500999985,0.479000015,0.432000008,0.437000008,0.408666662,0.380333316,0.35199997,0.33699997,0.326399994,0.308078417,0.289756841,0.267026581,0.267026581,0.267026581,0.267026581,0.267026581
IRQ,Iraq,0.14,0.14,0.148499985,0.15699997,0.15699997,0.15699997,0.15699997,0.15699997,0.15699997,0.15699997,0.15699997,0.15699997,0.15699997,0.15699997,0.15699997,0.15699997
IRL,Ireland,0.06,0.059000015,0.059000015,0,0,0,0,0,0,0,0,0,0,0,0,0
ISR,Israel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ITA,Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JAM,Jamaica,0.294000015,0.293000031,0.296000023,0.299000015,0.299000015,0.299000015,0.28850001,0.278000005,0.2675,0.267200012,0.267200012,0.267200012,0.267200012,0.267200012,0.267200012,0.267200012
