ISO3,name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AFG,Afghanistan,,-1.340660952,,-1.711747253,,-2.042078047,,-1.735525204,-1.759856044,-1.811766066,-1.902364257,-2.068780738,-2.023029383,-2.055283399,-2.044754928,
ALB,Albania,,-0.01197865,,-1.240695569,,-1.09582613,,-0.947809721,-1.03444751,-0.892048336,-0.797950267,-0.714611259,-0.678592917,-0.603658777,-0.51550348,
DZA,Algeria,,-1.407830464,,-1.318224048,,-1.145635964,,-0.685635037,-0.632950917,-0.608551834,-0.676688414,-0.604172533,-0.659865468,-0.687795127,-0.731560399,
AND,Andorra,,,,1.518541502,,1.509448205,,1.485978368,1.233255884,1.294842596,1.176862789,1.208815464,1.215713264,1.220193417,1.23950937,
AGO,Angola,,-1.571890144,,-1.642580279,,-1.686475313,,-1.470272817,-1.459208902,-1.381860501,-1.409107276,-1.258224874,-1.329794734,-1.370595154,-1.193690377,
ATG,Antigua and Barbuda,,,,0.992265949,,0.976738137,,0.954900359,0.985071244,0.915660116,0.664533715,0.982933898,0.974853593,0.963989436,0.984691559,
ARG,Argentina,,0.192012134,,0.110042256,,-0.022655534,,-1.045446267,-0.703878638,-0.791012432,-0.567713365,-0.56592523,-0.61184778,-0.660858371,-0.663375138,
ARM,Armenia,,-0.180670205,,-0.253587615,,-0.409484542,,-0.35584702,-0.318546302,-0.472391783,-0.342011853,-0.470014475,-0.412208348,-0.281169109,-0.398339124,
AUS,Australia,,1.741016573,,1.731548881,,1.706054275,,1.713248011,1.751857461,1.748382993,1.671547698,1.731104959,1.718542055,1.732044529,1.727008739,
AUT,Austria,,1.840946253,,1.826083633,,1.813108083,,1.810963556,1.785848813,1.776002406,1.808344291,1.87871026,1.927859596,1.889221259,1.758410427,
AZE,Azerbaijan,,-0.846377358,,-0.977493701,,-1.034423163,,-0.793901283,-0.726838137,-0.746320823,-0.719815198,-0.818459603,-0.748743546,-0.73201152,-0.812674933,
BHS,Bahamas,,0.683696266,,1.192731891,,1.235367986,,1.313356492,1.317402461,1.307101174,1.311025277,1.108649399,1.248976184,1.188679301,0.798191758,
BHR,Bahrain,,-0.098222241,,0.4971284,,0.46327962,,0.66300825,0.623269992,0.772587506,0.638458487,0.507867063,0.620579261,0.606921358,0.507587136,
BGD,Bangladesh ,,-0.82946445,,-0.887227181,,-0.800543596,,-0.809093928,-0.947601827,-0.991735717,-0.895938095,-0.835092306,-0.831103717,-0.7192136,-0.721989179,
BRB,Barbados,,-0.244869934,,1.176115613,,1.340746897,,1.404741014,1.394473324,1.334262603,1.25790477,1.162964154,1.247588598,1.261153081,0.972883661,
BLR,Belarus,,-0.855940006,,-0.734212043,,-1.033945075,,-1.258977698,-1.241921404,-1.193644117,-1.014386942,-1.221939339,-1.07717811,-0.967215032,-0.935136794,
BEL,Belgium,,1.40620425,,1.227086288,,1.313141803,,1.342740234,1.344131202,1.328433509,1.218927682,1.19917812,1.296993225,1.314621835,1.3714184,
BLZ,Belize,,0.801956841,,-0.082087688,,0.064990513,,-0.15968684,0.067140621,-0.101838377,-0.162261235,-0.105746473,-0.140558262,-0.22871476,-0.382262966,
BEN,Benin,,-0.308438379,,-0.129581636,,-0.258939664,,-0.33855303,-0.5489268,-0.617285936,-0.550891069,-0.539770456,-0.560706536,-0.562703007,-0.687801276,
BTN,Bhutan,,-1.340660952,,0.275948618,,0.225989086,,0.169884277,0.365327355,0.329207743,0.427741474,0.379069889,0.321748991,0.339712689,0.163757465,
BOL,"Bolivia, Plurinational State of",,-0.214846303,,-0.25175682,,-0.35348049,,-0.352482092,-0.392871992,-0.525251217,-0.897550425,-0.92373141,-0.959917354,-1.103792217,-1.223044881,
