ISO3,name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AFG,Afghanistan,0.23186781,0.23186781,0.19475918,0.157650549,0.12461747,0.091584391,0.122239675,0.152894959,0.148028791,0.137646787,0.119527149,0.086243852,0.095394123,0.08894332,0.091049014,0.091049014
ALB,Albania,0.49760427,0.49760427,0.374732578,0.251860886,0.26634783,0.280834774,0.295636415,0.310438056,0.293110498,0.321590333,0.340409947,0.357077748,0.364281417,0.379268245,0.396899304,0.396899304
DZA,Algeria,0.218433907,0.218433907,0.227394549,0.23635519,0.253613999,0.270872807,0.3168729,0.362872993,0.373409817,0.378289633,0.364662317,0.379165493,0.368026906,0.362440975,0.35368792,0.35368792
AND,Andorra,0.8037083,0.8037083,0.8037083,0.8037083,0.802798971,0.801889641,0.799542657,0.797195674,0.746651177,0.758968519,0.735372558,0.741763093,0.743142653,0.744038683,0.747901874,0.747901874
AGO,Angola,0.185621971,0.185621971,0.178552958,0.171483944,0.167094441,0.162704937,0.184325187,0.205945437,0.20815822,0.2236279,0.218178545,0.248355025,0.234041053,0.225880969,0.261261925,0.261261925
ATG,Antigua and Barbuda,0.69845319,0.69845319,0.69845319,0.69845319,0.696900409,0.695347627,0.69316385,0.690980072,0.697014249,0.683132023,0.632906743,0.69658678,0.694970719,0.692797887,0.696938312,0.696938312
ARG,Argentina,0.538402427,0.538402427,0.530205439,0.522008451,0.508738672,0.495468893,0.39318982,0.290910747,0.359224272,0.341797514,0.386457327,0.386814954,0.377630444,0.367828326,0.367324972,0.367324972
ARM,Armenia,0.463865959,0.463865959,0.456574218,0.449282477,0.433692784,0.418103092,0.423466844,0.428830596,0.43629074,0.405521643,0.431597629,0.405997105,0.41755833,0.443766178,0.420332175,0.420332175
AUS,Australia,0.848203315,0.848203315,0.847256545,0.846309776,0.843760316,0.841210855,0.841930229,0.842649602,0.850371492,0.849676599,0.83430954,0.846220992,0.843708411,0.846408906,0.845401748,0.845401748
AUT,Austria,0.868189251,0.868189251,0.866702989,0.865216727,0.863919172,0.862621617,0.862407164,0.862192711,0.857169763,0.855200481,0.861668858,0.875742052,0.885571919,0.877844252,0.851682085,0.851682085
AZE,Azerbaijan,0.330724528,0.330724528,0.317612894,0.30450126,0.298808314,0.293115367,0.317167555,0.341219743,0.354632373,0.350735835,0.35603696,0.336308079,0.350251291,0.353597696,0.337465013,0.337465013
BHS,Bahamas,0.636739253,0.636739253,0.687642816,0.738546378,0.742809988,0.747073597,0.754872448,0.762671298,0.763480492,0.761420235,0.762205055,0.72172988,0.749795237,0.73773586,0.659638352,0.659638352
BHR,Bahrain,0.480355552,0.480355552,0.539890616,0.59942568,0.596040802,0.592655924,0.612628787,0.63260165,0.624653998,0.654517501,0.627691697,0.601573413,0.624115852,0.621384272,0.601517427,0.601517427
BGD,Bangladesh ,0.33410711,0.33410711,0.328330837,0.322554564,0.331222922,0.339891281,0.339036248,0.338181214,0.310479635,0.301652857,0.320812381,0.332981539,0.333779257,0.35615728,0.355602164,0.355602164
BRB,Barbados,0.451026013,0.451026013,0.593124568,0.735223123,0.751686251,0.768149379,0.774548791,0.780948203,0.778894665,0.766852521,0.751580954,0.732592831,0.74951772,0.752230616,0.694576732,0.694576732
BLR,Belarus,0.328811999,0.328811999,0.340984795,0.353157591,0.323184288,0.293210985,0.270707723,0.24820446,0.251615719,0.261271177,0.297122612,0.255612132,0.284564378,0.306556994,0.312972641,0.312972641
BEL,Belgium,0.78124085,0.78124085,0.763329054,0.745417258,0.754022809,0.762628361,0.765588204,0.768548047,0.76882624,0.765686702,0.743785536,0.739835624,0.759398645,0.762924367,0.77428368,0.77428368
