ISO3,name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AFG,Afghanistan,0.802,0.799,0.796,0.793,0.79,0.787,0.7838,0.7806,0.7774,0.7742,0.771,0.7672,0.7634,0.7596,0.7558,0.7558
ALB,Albania,0.611,0.6054,0.5998,0.5942,0.5886,0.583,0.5768,0.5706,0.5644,0.5582,0.552,0.5456,0.5392,0.5328,0.5264,0.5264
DZA,Algeria,0.44,0.4324,0.4248,0.4172,0.4096,0.402,0.395,0.388,0.381,0.374,0.367,0.3606,0.3542,0.3478,0.3414,0.3414
AND,Andorra,0.063,0.0656,0.0682,0.0708,0.0734,0.076,0.0802,0.0844,0.0886,0.0928,0.097,0.1016,0.1062,0.1108,0.1154,0.1154
AGO,Angola,0.56,0.55,0.54,0.53,0.52,0.51,0.5,0.49,0.48,0.47,0.46,0.451,0.442,0.433,0.424,0.424
ATG,Antigua and Barbuda,0.66,0.6638,0.6676,0.6714,0.6752,0.679,0.6818,0.6846,0.6874,0.6902,0.693,0.6938,0.6946,0.6954,0.6962,0.6962
ARG,Argentina,0.113,0.1102,0.1074,0.1046,0.1018,0.099,0.0964,0.0938,0.0912,0.0886,0.086,0.084,0.082,0.08,0.078,0.078
ARM,Armenia,0.337,0.3394,0.3418,0.3442,0.3466,0.349,0.351,0.353,0.355,0.357,0.359,0.3598,0.3606,0.3614,0.3622,0.3622
AUS,Australia,0.139,0.1368,0.1346,0.1324,0.1302,0.128,0.126,0.124,0.122,0.12,0.118,0.1162,0.1144,0.1126,0.1108,0.1108
AUT,Austria,0.342,0.342,0.342,0.342,0.342,0.342,0.3406,0.3392,0.3378,0.3364,0.335,0.3328,0.3306,0.3284,0.3262,0.3262
AZE,Azerbaijan,0.478,0.48,0.482,0.484,0.486,0.488,0.4874,0.4868,0.4862,0.4856,0.485,0.4836,0.4822,0.4808,0.4794,0.4794
BHS,Bahamas,0.19,0.188,0.186,0.184,0.182,0.18,0.1778,0.1756,0.1734,0.1712,0.169,0.167,0.165,0.163,0.161,0.161
