ISO3,name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AFG,Afghanistan,29,29.6,30.2,30.8,31.4,32,32.6,33.2,33.8,34.4,35,35.66666667,36.33333333,37,37,37
ALB,Albania,87,87.6,88.2,88.8,89.4,90,91.2,92.4,93.6,94.8,96,96.66666667,97.33333333,98,98,98
DZA,Algeria,90,90.4,90.8,91.2,91.6,92,92.4,92.8,93.2,93.6,94,94.33333333,94.66666667,95,95,95
AND,Andorra,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
AGO,Angola,30,32,34,36,38,40,42,44,46,48,50,52.33333333,54.66666667,57,57,57
ATG,Antigua and Barbuda,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
ARG,Argentina,91,91,91,91,91,91,90.8,90.6,90.4,90.2,90,90,90,90,90,90
ARM,Armenia,88,88.2,88.4,88.6,88.8,89,89,89,89,89,89,89.33333333,89.66666667,90,90,90
AUS,Australia,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
AUT,Austria,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
AZE,Azerbaijan,44,44,44,44,44,44,44.2,44.4,44.6,44.8,45,45,45,45,45,45
BHS,Bahamas,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
BHR,Bahrain,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
BGD,Bangladesh ,42,42.8,43.6,44.4,45.2,46,46.8,47.6,48.4,49.2,50,51,52,53,53,53
BRB,Barbados,100,100,100,100,100,100,99.5,99,99.5,100,100,100,100,100,100,100
BLR,Belarus,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93
BEL,Belgium,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
BLZ,Belize,78,78.8,79.6,80.4,81.2,82,64.5,47,47,47,87,88,89,90,90,90
BEN,Benin,8,8.2,8.4,8.6,8.8,9,9.4,9.8,10.2,10.6,11,11.33333333,11.66666667,12,12,12
BTN,Bhutan,62,62,62,62,62,62,62.4,62.8,63.2,63.6,64,64.33333333,64.66666667,65,65,65
BOL,"Bolivia, Plurinational State of",21,21.4,21.8,22.2,22.6,23,23.2,23.4,23.6,23.8,24,24.33333333,24.66666667,25,25,25
BIH,Bosnia and Herzegovina,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
BWA,Botswana,44,45.2,46.4,47.6,48.8,50,51.4,52.8,54.2,55.6,57,58,59,60,60,60
BRA,Brazil,72,72.6,73.2,73.8,74.4,75,75.6,76.2,76.8,77.4,78,78.66666667,79.33333333,80,80,80
BRN,Brunei Darussalam,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
BGR,Bulgaria,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
BFA,Burkina Faso,7,7.2,7.4,7.6,7.8,8,8.6,9.2,9.8,10.4,11,11,11,11,11,11
BDI,Burundi,45,45,45,45,45,45,45.2,45.4,45.6,45.8,46,46,46,46,46,46
KHM,Cambodia,11,12.2,13.4,14.6,15.8,17,18.4,19.8,21.2,22.6,24,25.66666667,27.33333333,29,29,29
CMR,Cameroon,48,47.8,47.6,47.4,47.2,47,47,47,47,47,47,47,47,47,47,47
CAN,Canada,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
CPV,Cape Verde,40,41,42,43,44,45,46.4,47.8,49.2,50.6,52,52.66666667,53.33333333,54,54,54
CAF,Central African Republic,15,16.4,17.8,19.2,20.6,22,23.4,24.8,26.2,27.6,29,30.66666667,32.33333333,34,34,34
TCD,Chad,6,6.2,6.4,6.6,6.8,7,7.4,7.8,8.2,8.6,9,9,9,9,9,9
CHL,Chile,88,88.8,89.6,90.4,91.2,92,92.8,93.6,94.4,95.2,96,96,96,96,96,96
CHN,China,45,45.8,46.6,47.4,48.2,49,49.8,50.6,51.4,52.2,53,53.66666667,54.33333333,55,55,55
COL,Colombia,70,70.4,70.8,71.2,71.6,72,72.4,72.8,73.2,73.6,74,74,74,74,74,74
COM,Comoros,22,23.2,24.4,25.6,26.8,28,29.4,30.8,32.2,33.6,35,35.33333333,35.66666667,36,36,36
COG,Congo,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
COD,"Congo, the Democratic Republic of the",25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
CRI,Costa Rica,94,94.2,94.4,94.6,94.8,95,95,95,95,95,95,95,95,95,95,95
CIV,C™te d'Ivoire,21,21.2,21.4,21.6,21.8,22,22.2,22.4,22.6,22.8,23,23,23,23,23,23
HRV,Croatia,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
CUB,Cuba,83,83.6,84.2,84.8,85.4,86,86.6,87.2,87.8,88.4,89,89.66666667,90.33333333,91,91,91
CYP,Cyprus,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
CZE,Czech Republic,99,98.8,98.6,98.4,98.2,98,98,98,98,98,98,98,98,98,98,98
DNK,Denmark,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
DJI,Djibouti,66,65.4,64.8,64.2,63.6,63,62,61,60,59,58,57.33333333,56.66666667,56,56,56
DMA,Dominica,81,81,81,81,81,81,82,83,83.5,84,81,81,81,81,81,81
DOM,Dominican Republic,76,76.6,77.2,77.8,78.4,79,79.4,79.8,80.2,80.6,81,81.66666667,82.33333333,83,83,83
ECU,Ecuador,76,77.4,78.8,80.2,81.6,83,84.4,85.8,87.2,88.6,90,90.66666667,91.33333333,92,92,92
EGY,Egypt,79,80.4,81.8,83.2,84.6,86,87.4,88.8,90.2,91.6,93,93.33333333,93.66666667,94,94,94
SLV,El Salvador,79,79.8,80.6,81.4,82.2,83,83.4,83.8,84.2,84.6,85,85.66666667,86.33333333,87,87,87
GNQ,Equatorial Guinea,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
ERI,Eritrea,10,10.2,10.4,10.6,10.8,11,11.4,11.8,12.2,12.6,13,13.33333333,13.66666667,14,14,14
EST,Estonia,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
ETH,Ethiopia,5,5.6,6.2,6.8,7.4,8,8.4,8.8,9.2,9.6,10,10.66666667,11.33333333,12,12,12
FJI,Fiji,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87
FIN,Finland,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
FRA,France,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
