ISO3,name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AFG,Afghanistan,0.880,0.880,0.880,0.880,0.880,0.880,0.880,0.885,0.890,0.895,0.900,0.772,0.792,0.790,0.920,0.920
ALB,Albania,6.670,6.670,6.670,6.670,6.670,6.670,6.670,6.670,6.518,6.366,6.360,6.354,6.322,6.322,6.322,6.322
DZA,Algeria,4.490,4.490,4.490,4.490,4.490,4.490,4.490,4.490,4.369,4.249,4.128,4.246,4.364,4.364,4.364,4.364
AND,Andorra,11.270,11.270,11.270,11.270,11.270,11.270,11.270,11.270,11.270,11.004,11.482,11.153,11.612,11.612,11.612,11.612
AGO,Angola,1.510,1.510,1.510,1.510,1.510,1.510,1.510,1.510,1.510,1.510,1.510,1.510,1.510,1.510,1.510,1.510
ATG,Antigua and Barbuda,3.620,3.620,3.620,3.620,3.620,3.620,3.620,3.620,3.620,3.620,3.620,3.620,3.620,3.620,3.620,3.620
ARG,Argentina,6.820,6.820,6.820,6.820,6.815,6.810,6.805,6.800,6.795,6.790,6.790,6.790,6.790,6.790,6.790,6.790
ARM,Armenia,12.100,12.100,12.100,12.100,12.100,12.100,12.100,12.100,12.100,11.811,12.300,12.325,12.264,12.264,12.264,12.264
AUS,Australia,14.742,14.742,14.724,14.705,14.687,14.668,14.650,14.983,15.315,15.648,15.980,16.313,16.066,15.819,15.572,15.572
AUT,Austria,13.310,13.310,13.310,13.310,13.310,13.310,13.310,13.310,13.310,13.501,13.673,13.879,14.230,17.152,17.338,17.338
AZE,Azerbaijan,15.510,15.510,15.510,15.510,15.510,15.510,15.510,15.510,15.510,15.525,15.682,15.674,16.008,16.008,16.008,16.008
BHS,Bahamas,6.570,6.570,6.570,6.570,6.570,6.570,6.570,6.570,6.570,6.570,6.570,6.570,6.570,6.570,6.570,6.570
BHR,Bahrain,8.250,8.250,8.250,8.250,8.250,8.250,8.250,8.250,8.250,8.250,11.517,11.623,11.728,6.614,6.614,6.614
BGD,Bangladesh,0.741,0.741,0.741,0.741,0.741,0.741,0.741,0.760,0.778,0.800,0.885,0.893,0.860,0.860,0.860,0.860
BRB,Barbados,6.422,6.347,6.271,6.196,6.120,6.327,7.221,7.536,7.851,8.167,8.482,8.482,8.482,8.482,8.482,8.482
BLR,Belarus,21.610,21.610,21.610,21.610,21.610,21.610,21.610,21.610,21.610,21.702,21.869,22.068,22.298,22.298,22.298,22.298
BEL,Belgium,23.180,23.180,23.180,23.180,23.180,23.180,23.180,23.180,22.901,22.621,18.015,13.540,8.723,6.274,6.274,6.274
BLZ,Belize,3.360,3.360,3.360,3.360,3.360,3.360,3.388,3.417,3.445,3.474,3.502,3.531,3.559,3.588,3.616,3.616
BEN,Benin,0.920,0.920,0.920,0.920,0.920,0.920,0.920,0.920,0.920,0.920,0.912,0.904,0.896,0.888,0.888,0.888
BTN,Bhutan,0.420,0.420,0.420,0.420,0.420,0.420,0.420,0.420,0.420,0.420,0.402,0.384,0.366,0.366,0.366,0.366
BOL,Bolivia,4.570,4.570,4.570,4.570,4.570,4.570,4.570,4.570,4.570,4.570,4.570,4.570,4.570,4.570,4.570,4.570
BIH,Bosnia and Herzegovina,7.370,7.370,7.370,7.370,7.370,7.370,7.370,7.370,7.370,7.298,7.526,7.526,7.526,7.526,7.526,7.526
BWA,Botswana,3.450,3.450,3.450,3.450,3.450,3.450,3.450,3.450,3.450,3.450,3.273,3.512,3.512,3.512,3.512,3.512
BRA,Brazil,6.140,6.140,6.140,6.140,6.140,6.140,6.218,6.296,6.374,6.451,6.392,6.297,9.940,9.940,9.940,9.940
BRN,Brunei Darussalam,8.080,8.080,8.080,8.080,8.080,8.080,8.213,8.346,8.095,7.844,7.594,7.343,7.093,7.714,7.714,7.714
BGR,Bulgaria,11.690,11.690,11.690,11.690,11.690,11.690,11.690,11.690,11.690,11.575,11.869,11.890,12.010,11.990,11.990,11.990
BFA,Burkina Faso,0.590,0.590,0.590,0.590,0.590,0.590,0.590,0.590,0.590,0.590,0.628,0.666,0.762,0.858,0.858,0.858
BDI,Burundi,0.250,0.250,0.250,0.250,0.250,0.250,0.250,0.250,0.250,0.250,0.250,0.250,0.250,0.250,0.250,0.250
KHM,Cambodia,1.060,1.060,1.092,1.124,1.147,1.170,1.179,1.189,1.198,1.207,1.216,1.226,1.235,1.244,1.244,1.244
CMR,Cameroon,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980
CAN,Canada,13.765,13.765,13.765,13.765,13.795,13.824,13.853,13.882,14.330,14.179,14.028,13.876,13.876,13.876,13.876,13.876
CPV,Cape Verde,1.850,1.850,1.850,1.850,1.850,1.850,1.850,1.850,1.850,1.850,2.004,2.157,2.311,2.464,2.464,2.464
CAF,Central African Republic,0.570,0.570,0.570,0.570,0.570,0.570,0.570,0.570,0.570,0.570,0.570,0.570,0.570,0.570,0.570,0.570
TCD,Chad,0.360,0.360,0.360,0.360,0.360,0.360,0.360,0.360,0.360,0.360,0.360,0.360,0.360,0.360,0.360,0.360
CHL,Chile,2.810,2.810,2.810,2.810,2.810,2.810,2.810,2.810,2.810,2.810,2.810,2.810,2.810,2.810,2.810,2.810
CHN,China,3.080,3.080,3.080,3.080,3.080,3.080,3.080,3.440,3.800,3.868,3.937,4.005,4.073,4.142,4.210,4.210
COL,Colombia,3.250,3.250,3.250,3.250,3.250,3.250,3.250,3.250,3.250,3.250,3.250,3.250,3.250,3.250,3.250,3.250
COM,Comoros,1.040,1.040,1.040,1.040,1.040,1.040,1.040,1.040,1.040,1.040,1.040,1.040,1.040,1.040,1.040,1.040
COG,Congo,1.360,1.360,1.360,1.360,1.360,1.360,1.360,1.360,1.360,1.360,1.303,1.247,1.010,1.010,1.010,1.010
COD,"Congo, DRC",0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750
CRI,Costa Rica,3.570,3.570,3.570,3.570,3.570,3.570,3.570,3.570,3.570,3.570,3.570,3.570,3.570,3.570,3.570,3.570
CIV,CÈte d'Ivoire,0.840,0.840,0.840,0.840,0.840,0.840,0.840,0.840,0.840,0.840,0.758,0.761,0.765,0.768,0.768,0.768
HRV,Croatia,10.340,10.340,10.340,10.340,10.340,10.340,10.340,10.340,10.340,10.484,10.338,10.398,10.760,10.760,10.760,10.760
CUB,Cuba,19.260,19.260,19.260,19.260,19.260,19.260,19.260,19.260,19.696,20.131,20.567,21.002,21.438,21.438,21.438,21.438
CYP,Cyprus,8.660,8.660,8.660,8.660,8.660,8.660,8.660,8.660,8.752,8.844,8.713,8.580,8.580,8.580,8.580,8.580
CZE,Czech Republic,15.950,15.950,15.950,15.950,15.950,15.950,15.950,15.950,15.950,15.868,16.049,16.099,16.174,15.800,15.800,15.800
DNK,Denmark,15.920,15.920,15.920,15.920,15.920,15.920,15.920,15.920,16.578,17.236,16.659,16.082,21.378,21.378,21.378,21.378
DJI,Djibouti,0.780,0.780,0.780,0.780,0.780,0.780,0.780,0.780,0.780,0.780,0.921,1.103,1.181,1.258,1.258,1.258
DMA,Dominica,5.170,5.170,5.170,5.170,5.170,5.170,5.170,5.170,5.170,5.170,5.170,5.170,5.170,5.170,5.170,5.170
DOM,Dominican Republic,5.600,5.600,5.600,5.600,5.600,5.600,5.600,5.600,5.600,5.600,5.600,5.600,5.600,5.600,5.600,5.600
ECU,Ecuador,4.620,4.620,4.620,4.620,4.620,4.620,4.620,4.620,4.620,4.620,4.620,4.620,4.620,4.620,4.620,4.620
EGY,Egypt,4.430,4.430,4.430,4.430,4.430,4.430,4.430,4.430,4.430,6.320,8.210,8.452,8.695,8.938,9.180,9.180
SLV,El Salvador,3.182,3.182,3.182,3.182,3.182,3.215,3.247,3.280,3.392,3.503,3.615,3.611,3.606,3.602,3.602,3.602
GNQ,Equatorial Guinea,1.130,1.130,1.130,1.130,1.130,1.130,1.130,1.130,1.130,1.130,1.130,1.130,1.130,1.130,1.130,1.130
ERI,Eritrea,0.680,0.680,0.680,0.680,0.680,0.680,0.680,0.680,0.680,0.680,0.680,0.680,0.680,0.680,0.680,0.680
EST,Estonia,15.940,15.940,15.940,15.940,15.940,15.940,15.355,14.770,14.185,13.601,13.461,13.643,13.532,13.638,13.638,13.638
ETH,Ethiopia,0.280,0.280,0.280,0.280,0.280,0.280,0.280,0.280,0.280,0.296,0.313,0.329,0.284,0.284,0.284,0.284
FJI,Fiji,2.660,2.660,2.660,2.660,2.660,2.716,2.773,2.829,2.886,2.886,2.886,2.886,2.886,2.886,2.886,2.886
FIN,Finland,15.240,15.240,15.240,15.240,15.240,15.240,15.240,15.240,15.280,15.320,15.316,15.517,22.158,20.990,20.990,20.990
FRA,France,14.458,14.458,14.493,14.527,14.562,14.596,14.631,14.665,14.700,14.734,14.806,14.827,15.519,15.087,15.934,15.934
GAB,Gabon,5.600,5.600,5.600,5.600,5.600,5.600,5.600,5.600,5.600,5.600,5.600,5.600,5.600,5.600,5.600,5.600
GMB,Gambia,1.540,1.540,1.540,1.540,1.540,1.540,1.540,1.540,1.540,1.361,1.182,1.004,0.825,0.646,0.646,0.646
GEO,Georgia,12.210,12.210,12.210,12.210,12.210,12.210,12.210,12.210,12.210,12.463,13.109,13.320,12.966,12.966,12.966,12.966
DEU,Germany,14.750,14.750,14.750,14.750,14.750,14.750,14.750,14.750,14.750,14.789,14.814,14.868,16.372,17.882,17.882,17.882
GHA,Ghana,1.220,1.220,1.220,1.220,1.220,1.220,1.220,1.220,1.220,1.220,1.020,1.063,1.105,1.195,1.220,1.220
GRC,Greece,12.360,12.360,12.360,12.360,12.360,12.360,12.360,12.716,13.072,13.428,13.592,14.176,14.716,15.746,15.746,15.746
GRD,Grenada,4.980,4.980,4.980,5.931,5.931,5.931,5.931,5.931,5.931,5.931,5.931,5.931,5.931,5.931,5.931,5.931
GTM,Guatemala,5.850,5.850,5.850,5.850,5.850,5.850,5.850,5.850,5.850,5.850,5.850,5.850,5.850,5.850,5.850,5.850
GIN,Guinea,0.698,0.698,0.698,0.698,0.698,0.698,0.706,0.714,0.722,0.730,0.240,0.240,0.240,0.240,0.240,0.240
GNB,Guinea-Bissau,0.940,0.940,0.940,0.940,0.940,0.940,0.940,0.940,0.940,0.940,0.865,0.790,0.715,0.640,0.640,0.640
GUY,Guyana,3.250,3.250,3.250,3.250,3.250,3.250,3.250,3.250,3.250,3.250,3.250,3.250,3.250,3.250,3.250,3.250
HTI,Haiti,0.610,0.610,0.610,0.610,0.610,0.610,0.610,0.610,0.610,0.610,0.610,0.610,0.610,0.610,0.610,0.610
HND,Honduras,2.460,2.460,2.460,2.460,2.460,2.460,2.460,2.460,2.460,2.460,2.460,2.460,2.460,2.460,2.460,2.460
HUN,Hungary,15.810,15.810,15.810,15.810,15.810,15.810,15.810,15.810,15.810,16.011,14.706,15.222,14.773,12.524,12.524,12.524
ISL,Iceland,17.373,17.373,17.373,17.373,17.373,17.373,17.373,17.373,17.373,17.373,19.210,20.852,22.609,24.348,24.348,24.348
IND,India,2.470,2.470,2.470,2.470,2.470,2.470,2.470,2.470,2.470,2.470,2.498,2.498,2.498,2.498,2.498,2.498
IDN,Indonesia,1.080,1.080,1.080,1.080,1.080,1.080,1.080,1.080,1.080,1.464,1.848,2.232,2.616,2.616,2.616,2.616
IRN,"Iran, Islamic Republic of",3.340,3.340,3.340,3.340,3.340,3.340,3.340,3.340,3.340,3.340,3.380,3.380,3.380,3.380,3.380,3.380
IRQ,Iraq,2.640,2.640,2.640,2.640,2.640,2.640,2.640,2.640,2.640,2.640,2.640,2.372,2.105,2.435,2.760,2.760
IRL,Ireland,25.022,25.022,25.022,25.022,25.022,25.022,25.022,25.022,25.022,25.022,25.096,25.338,21.919,22.089,22.044,22.044
ISR,Israel,15.904,15.649,15.393,15.138,14.882,14.627,14.371,14.116,13.860,13.803,13.672,13.563,13.416,13.416,13.416,13.416
ITA,Italy,15.337,15.337,15.337,15.337,15.337,15.337,15.337,15.337,15.337,15.337,14.575,14.328,14.631,15.141,15.004,15.004
JAM,Jamaica,3.350,3.350,3.350,3.350,3.350,3.350,3.350,3.350,3.350,3.350,3.350,3.350,3.350,3.350,3.350,3.350
JPN,Japan,13.299,13.299,13.350,13.401,13.449,13.497,13.544,13.591,13.646,13.701,10.984,8.266,8.266,8.266,8.266,8.266
JOR,Jordan,7.290,7.290,7.290,7.290,7.290,7.290,7.290,7.290,7.290,7.290,7.950,8.100,8.585,8.757,8.930,8.930
KAZ,Kazakhstan,14.720,14.720,14.720,14.720,14.720,14.720,14.720,14.720,14.720,14.750,15.128,15.406,15.584,15.584,15.584,15.584
KEN,Kenya,1.460,1.460,1.460,1.460,1.460,1.460,1.460,1.460,1.460,1.460,1.460,1.460,1.460,1.460,1.460,1.460
KIR,Kiribati,3.620,3.620,3.620,3.620,3.598,3.575,3.553,3.530,3.508,3.485,3.550,3.614,3.614,3.614,3.614,3.614
PRK,"Korea, Democratic People's Republic of",10.700,10.700,10.700,10.700,10.700,10.700,10.700,10.700,10.700,10.700,10.700,10.700,10.700,10.700,10.700,10.700
KOR,"Korea, Republic of",5.070,5.070,5.070,5.070,5.070,5.070,5.070,5.070,5.070,7.813,8.166,8.519,8.871,9.224,9.224,9.224
KWT,Kuwait,6.760,6.760,6.760,6.760,6.760,6.760,6.760,6.896,7.031,7.167,7.302,6.409,7.443,7.770,8.136,8.136
KGZ,Kyrgyzstan,10.810,10.810,10.810,10.810,10.810,10.810,10.810,10.810,10.810,10.747,10.699,10.564,10.262,10.262,10.262,10.262
LAO,Laos,1.676,2.150,1.999,1.847,1.696,1.544,1.573,1.603,1.632,1.661,1.514,1.514,1.514,1.514,1.514,1.514
LVA,Latvia,11.610,11.610,11.610,11.610,11.610,11.610,11.610,11.610,11.610,11.887,11.883,11.864,11.730,11.444,10.816,10.816
LBN,Lebanon,7.820,7.820,7.820,7.820,7.820,7.820,7.820,7.375,6.930,6.484,6.039,8.056,7.899,8.605,9.310,9.310
LSO,Lesotho,0.720,0.720,0.720,0.720,0.720,0.720,0.720,0.720,0.720,0.720,0.720,0.720,0.720,0.720,0.720,0.720
LBR,Liberia,0.360,0.360,0.360,0.360,0.360,0.360,0.360,0.360,0.360,0.360,0.345,0.329,0.314,0.298,0.298,0.298
LBY,Libyan Arab Jamahiriya,7.380,7.380,7.380,7.368,7.357,7.345,7.333,7.322,7.310,7.299,7.974,8.649,9.325,10.000,10.600,10.600
LIE,Liechtenstein,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
LTU,Lithuania,15.590,15.590,15.590,15.590,15.590,15.590,15.590,15.590,15.590,15.480,15.607,15.557,15.635,14.648,14.648,14.648
LUX,Luxembourg,14.950,14.950,14.950,14.950,14.950,14.950,14.950,14.950,14.950,15.098,16.070,16.756,17.044,17.044,17.044,17.044
MDG,Madagascar,0.900,0.900,0.900,0.900,0.900,0.900,0.900,0.900,0.900,0.900,0.814,0.728,0.642,0.642,0.642,0.642
MWI,Malawi,0.630,0.630,0.630,0.630,0.630,0.630,0.630,0.630,0.630,0.630,0.552,0.474,0.396,0.318,0.318,0.318
MYS,Malaysia,3.210,3.210,3.210,3.210,3.210,3.210,3.220,3.230,3.461,3.691,3.921,4.151,4.382,4.612,4.612,4.612
