ISO3,name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AFG,Afghanistan,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
ALB,Albania,0.162,0.162,0.162,0.162,0.162,0.162,0.162,0.162,0.162,0.162,0.162,0.162,0.1612,0.1612,0.1612,0.1612
DZA,Algeria,0.0892,0.0892,0.0892,0.0892,0.0892,0.0892,0.0892,0.0892,0.08696,0.08472,0.08248,0.08024,0.078,0.078,0.078,0.078
AND,Andorra,0.1548,0.1548,0.1548,0.1548,0.1548,0.1548,0.1548,0.1548,0.1548,0.1548,0.1548,0.1548,0.1672,0.1672,0.1672,0.1672
AGO,Angola,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054
ATG,Antigua and Barbuda,0.1312,0.1312,0.1312,0.1312,0.1312,0.1312,0.1312,0.1312,0.1312,0.1312,0.1312,0.1312,0.1312,0.1312,0.1312,0.1312
ARG,Argentina,0.032,0.032,0.032,0.032,0.029866667,0.027733333,0.0256,0.023466667,0.021333333,0.0192,0.0192,0.0192,0.0192,0.0192,0.0192,0.0192
ARM,Armenia,0.1968,0.1968,0.1968,0.1968,0.1968,0.1968,0.1968,0.1968,0.1968,0.1968,0.1968,0.1968,0.1948,0.1948,0.1948,0.1948
AUS,Australia,0.3884,0.3884,0.3884,0.3884,0.3884,0.3884,0.3884,0.397976,0.407552,0.417128,0.426704,0.43628,0.41872,0.40116,0.3836,0.3836
AUT,Austria,0.262,0.262,0.262,0.262,0.262,0.262,0.262,0.262,0.262,0.262,0.262,0.262,0.26568,0.3136,0.3136,0.3136
AZE,Azerbaijan,0.3364,0.3364,0.3364,0.3364,0.3364,0.3364,0.3364,0.3364,0.3364,0.3364,0.3364,0.3364,0.3368,0.3368,0.3368,0.3368
BHS,Bahamas,0.1788,0.1788,0.1788,0.1788,0.1788,0.1788,0.1788,0.1788,0.1788,0.1788,0.1788,0.1788,0.1788,0.1788,0.1788,0.1788
BHR,Bahrain,0.2428,0.2428,0.2428,0.2428,0.2428,0.2428,0.2428,0.2428,0.2428,0.2428,0.2428,0.23736,0.23192,0.1492,0.1492,0.1492
BGD,Bangladesh,0.0112,0.0112,0.0112,0.0112,0.0112,0.0112,0.0112,0.0112,0.0112,0.0112,0.0112,0.011,0.0108,0.0108,0.0108,0.0108
BRB,Barbados,0.148,0.148,0.148,0.148,0.148,0.155733333,0.163466667,0.1712,0.178933333,0.186666667,0.1944,0.1944,0.1944,0.1944,0.1944,0.1944
BLR,Belarus,0.5004,0.5004,0.5004,0.5004,0.5004,0.5004,0.5004,0.5004,0.5004,0.5004,0.5004,0.5004,0.5024,0.5024,0.5024,0.5024
BEL,Belgium,0.568,0.568,0.568,0.568,0.568,0.568,0.568,0.568,0.568,0.568,0.385693333,0.203386667,0.02108,0.012,0.012,0.012
BLZ,Belize,0.0504,0.0504,0.0504,0.0504,0.0504,0.0504,0.053511111,0.056622222,0.059733333,0.062844444,0.065955556,0.069066667,0.072177778,0.075288889,0.0784,0.0784
BEN,Benin,0.0336,0.0336,0.0336,0.0336,0.0336,0.0336,0.0336,0.0336,0.0336,0.0336,0.0329,0.0322,0.0315,0.0308,0.0308,0.0308
BTN,Bhutan,0.0128,0.0128,0.0128,0.0128,0.0128,0.0128,0.0128,0.0128,0.0128,0.0128,0.0128,0.0128,0.0128,0.0128,0.0128,0.0128
BOL,"Bolivia, Plurinational State of",0.0852,0.0852,0.0852,0.0852,0.0852,0.0852,0.0852,0.0852,0.0852,0.0852,0.0852,0.0852,0.0852,0.0852,0.0852,0.0852
BIH,Bosnia and Herzegovina,0.1876,0.1876,0.1876,0.1876,0.1876,0.1876,0.1876,0.1876,0.1876,0.1876,0.1876,0.1876,0.1876,0.1876,0.1876,0.1876
BWA,Botswana,0.106,0.106,0.106,0.106,0.106,0.106,0.106,0.106,0.106,0.106,0.1098,0.1136,0.1136,0.1136,0.1136,0.1136
BRA,Brazil,0.1536,0.1536,0.1536,0.1536,0.1536,0.1536,0.147393333,0.141186667,0.13498,0.128773333,0.122566667,0.11636,0.26,0.26,0.26,0.26
