ISO3,name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AFG,Afghanistan,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ALB,Albania,59,59,59,57.8,57.8,63.8,63.4,56.2,61.4,60.2,62.4,73.2,75.8,75.8,85.8,79.8
DZA,Algeria,54.2,54.2,54.2,54.2,39.6,59.6,60,50.4,55,54.4,61,66,68.8,68.6,70.7,72.8
AND,Andorra,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
AGO,Angola,25,25,25,25,25,32.16666667,39.33333333,46.5,53.66666667,60.83333333,68,73,73,72,70.4,70.2
ATG,Antigua and Barbuda,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ARG,Argentina,60,60,60,61.2,62,65,53,54,61.6,56.2,67.4,61.4,69.6,70,69.5,69.5
ARM,Armenia,69,83,75,75,77,77,81.4,81.2,80,80,80.6,85.6,85,86.4,80.5,85.5
AUS,Australia,77,77,79.4,79.4,79,79,77.4,77,77.2,77.2,77.4,83.8,83.8,84.8,85.1,84.4
AUT,Austria,81,63.6,78.4,63.6,83,78,79.6,81.4,79.8,80.2,82.4,86.6,86,85.8,87.5,87.6
AZE,Azerbaijan,55,55,55,55,55,66.8,74.4,71.6,69.2,69.2,72.6,77.6,78.4,78.4,77.1,77.1
BHS,Bahamas,19,19,19.4,19.4,15,19.4,15,15,17,17,17,38.8,32,56,42.2,42.2
BHR,Bahrain,77,77,78.4,78.4,77.6,75.4,76.6,69.6,69.6,69.6,69.6,79.6,80.8,80,82.9,82.8
BGD,Bangladesh,38,38,38,34,32,48.8,50.6,38,38,34,48.2,45.53333333,42.86666667,40.2,58,58
BRB,Barbados,49,49,62,62,62,46.8,66.8,66.8,52,52,52,57,58.8,64.6,60.5,60.5
BLR,Belarus,60,77.2,79,57.6,57.6,70.2,75.4,66,65.8,69,67.2,67.2,52.2,67.2,80.3,80.3
BEL,Belgium,77.8,77.8,77.8,77.8,77.8,78,79.6,81.4,79.8,80.2,82.4,86.6,86,85.8,87.5,87.6
BLZ,Belize,27,33,33,33,53.8,56,66.8,66.8,60,58.4,58.4,67.2,64.6,69.6,71.5,71.5
BEN,Benin,58.8,58.8,58.8,59,59,61,61,61,57,54,59.6,64.6,65.2,67.4,57,58.8
BTN,Bhutan,42,42,42,42,42,42,42,42,42,42,42,42,42,42,52,52
