ISO3,name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AFG,Afghanistan,-1.824478056,-1.824478056,-1.934392813,-2.044307571,-2.024544413,-2.004781255,-1.717690184,-1.430599113,-1.448394669,-1.223441774,-1.204382924,-1.243701927,-1.12971781,-1.238896866,-1.385932097,-1.385932097
ALB,Albania,-0.574931902,-0.574931902,-0.505771175,-0.436610448,-0.378626662,-0.320642876,-0.206300533,-0.091958191,0.01588843,0.026660866,-0.030301406,0.032528385,0.028795646,0.1339608,0.157581856,0.157581856
DZA,Algeria,-1.331870465,-1.331870465,-1.35295533,-1.374040194,-1.315099209,-1.256158224,-1.156390001,-1.056621778,-1.069680312,-0.769732363,-0.738244147,-0.959591544,-0.993409243,-0.997123459,-1.043916186,-1.043916186
AND,Andorra,1.4875972,1.4875972,1.553678819,1.619760439,1.605186894,1.590613349,1.521086827,1.451560305,1.317839987,1.480115336,1.453545088,1.343152178,1.332459418,1.368900317,1.371866261,1.371866261
AGO,Angola,-1.520833315,-1.520833315,-1.465120503,-1.409407691,-1.475640257,-1.541872823,-1.410165317,-1.278457812,-1.125816581,-1.261932914,-1.279832966,-1.286656421,-1.183684584,-1.13869276,-1.141796514,-1.141796514
ATG,Antigua and Barbuda,-0.034860721,-0.034860721,0.02514674,0.0851542,0.116494449,0.147834698,0.129315229,0.11079576,0.187143927,0.531554561,0.512225631,0.594286472,0.533855098,0.572496498,0.507726387,0.507726387
ARG,Argentina,0.385193489,0.385193489,0.274556798,0.163920108,0.216490193,0.269060278,0.216601796,0.164143314,0.301627061,0.338886771,0.224476119,0.343190542,0.357398392,0.25004155,0.249991279,0.249991279
ARM,Armenia,-0.707988368,-0.707988368,-0.621952045,-0.535915723,-0.48419903,-0.432482338,-0.49567933,-0.558876323,-0.650862527,-0.52871417,-0.581460994,-0.674696671,-0.634674263,-0.716835596,-0.824282985,-0.824282985
AUS,Australia,1.33801432,1.33801432,1.38352892,1.42904352,1.469291889,1.509540258,1.452640068,1.395739879,1.408024346,1.502518281,1.521609141,1.38091322,1.356107418,1.377126621,1.392999517,1.392999517
AUT,Austria,1.322183101,1.322183101,1.370495127,1.418807153,1.398090708,1.377374263,1.339422688,1.301471114,1.319143116,1.494213949,1.390140893,1.389487508,1.352771337,1.372279473,1.374230639,1.374230639
AZE,Azerbaijan,-1.134822342,-1.134822342,-1.041045437,-0.947268532,-0.964126382,-0.980984232,-0.938015367,-0.895046501,-0.921070482,-0.947768288,-1.033187855,-1.166973516,-1.167092721,-1.245976535,-1.201582566,-1.201582566
BHS,Bahamas,1.181548478,1.181548478,1.155135136,1.128721793,1.145765228,1.162808663,1.167890488,1.172972313,1.069279521,1.024248059,0.977529633,1.053742207,1.129950481,1.103982572,0.992172481,0.992172481
BHR,Bahrain,-1.193354572,-1.193354572,-1.114928533,-1.036502494,-0.978291936,-0.920081377,-0.802849091,-0.685616805,-0.685214946,-0.581387503,-0.733769798,-0.83312422,-0.840682034,-0.85348395,-0.825553035,-0.825553035
BGD,Bangladesh,-0.228747393,-0.228747393,-0.238009735,-0.247272078,-0.341713132,-0.436154185,-0.443303114,-0.450452042,-0.603208827,-0.656643195,-0.523432178,-0.446396694,-0.590994434,-0.551097134,-0.37113224,-0.37113224
BRB,Barbados,1.209734157,1.209734157,1.333006355,1.456278552,1.436338437,1.416398322,1.394037178,1.371676034,1.219111449,1.152835108,1.044245657,1.143146055,1.137249621,1.067718912,1.134874409,1.134874409
BLR,Belarus,-1.544316073,-1.544316073,-1.202916056,-0.861516039,-1.10493313,-1.348350221,-1.373553257,-1.398756292,-1.363263685,-1.371074122,-1.709891063,-1.761545187,-1.697784256,-1.606836241,-1.543938415,-1.543938415
BEL,Belgium,1.243129414,1.243129414,1.302535185,1.361940956,1.374660864,1.387380771,1.385754744,1.384128716,1.47564942,1.46734438,1.418220143,1.371386289,1.390417012,1.358823481,1.393624584,1.393624584
BLZ,Belize,0.989460439,0.989460439,0.89748196,0.805503482,0.853940481,0.902377481,0.864434665,0.826491849,0.883164756,0.759987464,0.731508887,0.541689761,0.589055829,0.671745724,0.744378582,0.744378582
BEN,Benin,0.676156542,0.676156542,0.520243879,0.364331217,0.379961829,0.395592441,0.227199008,0.058805576,0.08148979,0.032255436,0.064271797,0.30068551,0.391985361,0.310545004,0.307931285,0.307931285
BTN,Bhutan,-1.389223511,-1.389223511,-1.178481194,-0.967738876,-0.973509637,-0.979280397,-1.100313034,-1.221345671,-1.217941712,-0.948591718,-1.010507683,-0.846432498,-0.99152622,-0.765129377,-0.634402355,-0.634402355
BOL,"Bolivia, Plurinational State of",0.334533375,0.334533375,0.302592502,0.270651629,0.177661226,0.084670824,0.076824718,0.068978612,-0.026310801,-0.168706341,-0.218336593,0.090492589,0.018230548,-0.038967161,-0.083406104,-0.083406104
BIH,Bosnia and Herzegovina,-0.497857918,-0.497857918,-0.310823248,-0.123788578,-0.100337609,-0.07688664,-0.153424999,-0.229963359,-0.1141307,0.07682427,0.083459869,0.169549994,0.101602133,0.002919327,-0.048148404,-0.048148404
BWA,Botswana,0.809484293,0.809484293,0.769963356,0.730442419,0.693466972,0.656491524,0.644942745,0.633393965,0.787367207,0.742890056,0.608444683,0.489777717,0.479632549,0.4592771,0.409378166,0.409378166
BRA,Brazil,0.182769803,0.182769803,0.187849701,0.192929599,0.180622851,0.168316102,0.247972561,0.32762902,0.481165431,0.353846153,0.43470713,0.468820303,0.48026486,0.48013712,0.508365274,0.508365274
BRN,Brunei Darussalam,-1.144660023,-1.144660023,-0.947925136,-0.751190249,-0.748332273,-0.745474296,-0.828329226,-0.911184156,-1.01094745,-0.820083672,-0.986798736,-1.086507967,-1.040109535,-1.00087503,-0.790651787,-0.790651787
BGR,Bulgaria,0.11105093,0.11105093,0.244828993,0.378607056,0.428668522,0.478729988,0.528962815,0.579195643,0.491794545,0.557297677,0.500273915,0.595872955,0.648824538,0.567957978,0.537399135,0.537399135
BFA,Burkina Faso,-0.288822092,-0.288822092,-0.422701643,-0.556581195,-0.440703108,-0.324825021,-0.388850234,-0.452875447,-0.438168174,-0.418733557,-0.44175754,-0.333334966,-0.337483199,-0.294146713,-0.250344062,-0.250344062
BDI,Burundi,-1.536723604,-1.536723604,-1.524567584,-1.512411563,-1.593110611,-1.673809658,-1.478970964,-1.28413227,-1.184771635,-1.32933291,-0.931920515,-0.97491577,-0.729660317,-0.760076992,-0.72614166,-0.72614166
KHM,Cambodia,-0.957526876,-0.957526876,-0.918373935,-0.879220994,-0.833302511,-0.787384028,-0.760384273,-0.733384518,-0.826588478,-0.872085846,-0.996953364,-0.852005521,-0.866978086,-0.941452375,-0.881495746,-0.881495746
CMR,Cameroon,-1.208630215,-1.208630215,-1.176187468,-1.143744722,-1.142207541,-1.140670361,-1.14841848,-1.1561666,-1.153873099,-0.971727572,-1.038444619,-0.99043754,-0.975838109,-1.046101147,-1.027548958,-1.027548958
CAN,Canada,1.480543665,1.480543665,1.539482488,1.598421311,1.586363493,1.574305675,1.529762973,1.48522027,1.520674745,1.673954641,1.500640002,1.406501907,1.370295878,1.410953326,1.440081325,1.440081325
CPV,Cape Verde,0.787150779,0.787150779,0.759637532,0.732124284,0.649864304,0.567604324,0.564618156,0.561631988,0.622254998,0.659034065,0.4361655,0.73280636,0.841477765,0.892280363,0.847329907,0.847329907
CAF,Central African Republic,-0.453659258,-0.453659258,-0.560936627,-0.668213995,-0.65242539,-0.636636784,-0.831289826,-1.025942868,-1.428209669,-1.244819765,-0.994921051,-1.095463914,-1.008647765,-0.957237782,-0.982713735,-0.982713735
TCD,Chad,-0.916385015,-0.916385015,-0.953507917,-0.990630819,-0.960899272,-0.931167724,-0.926401956,-0.921636188,-1.056324345,-1.223048787,-1.338255937,-1.455808745,-1.417400283,-1.454535999,-1.402587726,-1.402587726
CHL,Chile,0.774071758,0.774071758,0.609543976,0.445016194,0.629000344,0.812984495,0.92533727,1.037690046,1.03556697,1.171427988,1.210229521,0.962264317,1.030982523,0.965143971,0.962722233,0.962722233
CHN,China,-1.660035952,-1.660035952,-1.518556063,-1.377076174,-1.331417559,-1.285758943,-1.431804506,-1.577850068,-1.533245245,-1.461228223,-1.517158449,-1.678972875,-1.718741864,-1.681206427,-1.653224318,-1.653224318
COL,Colombia,-0.434545306,-0.434545306,-0.489988069,-0.545430832,-0.570045595,-0.594660358,-0.545520404,-0.49638045,-0.520149329,-0.299370953,-0.243227318,-0.173468089,-0.249355351,-0.235722865,-0.212288063,-0.212288063
COM,Comoros,-0.040649535,-0.040649535,-0.341454879,-0.642260223,-0.829060955,-1.015861686,-0.795516417,-0.575171148,-0.424845687,-0.518478601,-0.579499222,-0.244163433,-0.415250676,-0.266817199,-0.293879865,-0.293879865
COG,Congo,-0.46958699,-0.46958699,-1.071378843,-1.673170696,-1.663585508,-1.65400032,-1.262320614,-0.870640908,-0.800455933,-0.956121895,-1.033291309,-1.130143127,-1.145923921,-1.100245463,-1.036696234,-1.036696234
COD,"Congo, the Democratic Republic of the",-1.627324712,-1.627324712,-1.765513454,-1.903702195,-1.871321106,-1.838940018,-1.766506995,-1.694073973,-1.581128318,-1.705780393,-1.650227739,-1.43113361,-1.369312888,-1.443479175,-1.445075273,-1.445075273
CRI,Costa Rica,1.12916248,1.12916248,1.148652102,1.168141724,1.118225499,1.068309274,1.084613414,1.100917555,1.029839995,0.996383852,0.811303362,0.890226505,0.919148281,0.962258877,0.969862813,0.969862813
CIV,C™te d'Ivoire,-0.80226026,-0.80226026,-0.758828435,-0.715396611,-0.995717607,-1.276038603,-1.275207748,-1.274376892,-1.255467262,-1.377649663,-1.487308061,-1.368479963,-1.270793885,-1.258012133,-1.160976807,-1.160976807
HRV,Croatia,-0.337778608,-0.337778608,-0.321709803,-0.305640998,0.05418143,0.414003858,0.472835155,0.531666453,0.609538199,0.713260629,0.488083211,0.488301577,0.496609148,0.530066134,0.55881969,0.55881969
CUB,Cuba,-1.776707422,-1.776707422,-1.694833834,-1.612960246,-1.628066608,-1.64317297,-1.650949954,-1.658726938,-1.676296842,-1.799204725,-1.8299045,-1.906441737,-1.897290246,-1.78572956,-1.713948614,-1.713948614
CYP,Cyprus,1.107723725,1.107723725,1.05678486,1.005845995,1.07614798,1.146449965,1.165487185,1.184524405,1.045838914,0.990558827,0.971365611,1.078481902,1.026873242,1.025088995,1.062028589,1.062028589
CZE,Czech Republic,0.972664584,0.972664584,0.959770289,0.946875993,0.833145667,0.719415341,0.861988303,1.004561264,1.042284379,0.968002539,0.921499324,0.999719919,0.998944025,1.041915963,1.058321734,1.058321734
DNK,Denmark,1.455169411,1.455169411,1.474686053,1.494202696,1.533136577,1.572070458,1.553738443,1.535406428,1.598854521,1.82668622,1.781801027,1.622275051,1.488759837,1.592426093,1.560152508,1.560152508
DJI,Djibouti,-0.717940702,-0.717940702,-0.887858694,-1.057776686,-0.837796902,-0.617817118,-0.608508893,-0.599200668,-0.622264773,-0.680222675,-1.048101269,-1.086066816,-1.19231252,-1.128899603,-1.105462916,-1.105462916
DMA,Dominica,1.209734157,1.209734157,1.120052444,1.03037073,1.030397034,1.030423338,1.066268565,1.102113793,1.088452372,0.991478271,0.956779363,1.031209369,1.043105593,1.007835067,0.985644752,0.985644752
