ISO3,name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AFG,Afghanistan,0.135104389,0.135104389,0.113121437,0.091138486,0.095091117,0.099043749,0.156461963,0.213880177,0.210321066,0.255311645,0.259123415,0.251259615,0.274056438,0.252220627,0.222813581,0.222813581
ALB,Albania,0.38501362,0.38501362,0.398845765,0.41267791,0.424274668,0.435871425,0.458739893,0.481608362,0.503177686,0.505332173,0.493939719,0.506505677,0.505759129,0.52679216,0.531516371,0.531516371
DZA,Algeria,0.233625907,0.233625907,0.229408934,0.225191961,0.236980158,0.248768355,0.268722,0.288675644,0.286063938,0.346053527,0.352351171,0.308081691,0.301318151,0.300575308,0.291216763,0.291216763
AND,Andorra,0.79751944,0.79751944,0.810735764,0.823952088,0.821037379,0.81812267,0.804217365,0.790312061,0.763567997,0.796023067,0.790709018,0.768630436,0.766491884,0.773780063,0.774373252,0.774373252
AGO,Angola,0.195833337,0.195833337,0.206975899,0.218118462,0.204871949,0.191625435,0.217966937,0.244308438,0.274836684,0.247613417,0.244033407,0.242668716,0.263263083,0.272261448,0.271640697,0.271640697
ATG,Antigua and Barbuda,0.493027856,0.493027856,0.505029348,0.51703084,0.52329889,0.52956694,0.525863046,0.522159152,0.537428785,0.606310912,0.602445126,0.618857294,0.60677102,0.6144993,0.601545277,0.601545277
ARG,Argentina,0.577038698,0.577038698,0.55491136,0.532784022,0.543298039,0.553812056,0.543320359,0.532828663,0.560325412,0.567777354,0.544895224,0.568638108,0.571479678,0.55000831,0.549998256,0.549998256
ARM,Armenia,0.358402326,0.358402326,0.375609591,0.392816855,0.403160194,0.413503532,0.400864134,0.388224735,0.369827495,0.394257166,0.383707801,0.365060666,0.373065147,0.356632881,0.335143403,0.335143403
AUS,Australia,0.767602864,0.767602864,0.776705784,0.785808704,0.793858378,0.801908052,0.790528014,0.779147976,0.781604869,0.800503656,0.804321828,0.776182644,0.771221484,0.775425324,0.778599903,0.778599903
AUT,Austria,0.76443662,0.76443662,0.774099025,0.783761431,0.779618142,0.775474853,0.767884538,0.760294223,0.763828623,0.79884279,0.778028179,0.777897502,0.770554267,0.774455895,0.774846128,0.774846128
AZE,Azerbaijan,0.273035532,0.273035532,0.291790913,0.310546294,0.307174724,0.303803154,0.312396927,0.3209907,0.315785904,0.310446342,0.293362429,0.266605297,0.266581456,0.250804693,0.259683487,0.259683487
BHS,Bahamas,0.736309696,0.736309696,0.731027027,0.725744359,0.729153046,0.732561733,0.733578098,0.734594463,0.713855904,0.704849612,0.695505927,0.710748441,0.725990096,0.720796514,0.698434496,0.698434496
BHR,Bahrain,0.261329086,0.261329086,0.277014293,0.292699501,0.304341613,0.315983725,0.339430182,0.362876639,0.362957011,0.383722499,0.35324604,0.333375156,0.331863593,0.32930321,0.334889393,0.334889393
BGD,Bangladesh,0.454250521,0.454250521,0.452398053,0.450545584,0.431657374,0.412769163,0.411339377,0.409909592,0.379358235,0.368671361,0.395313564,0.410720661,0.381801113,0.389780573,0.425773552,0.425773552
BRB,Barbados,0.741946831,0.741946831,0.766601271,0.79125571,0.787267687,0.783279664,0.778807436,0.774335207,0.74382229,0.730567022,0.708849131,0.728629211,0.727449924,0.713543782,0.726974882,0.726974882
BLR,Belarus,0.191136785,0.191136785,0.259416789,0.327696792,0.279013374,0.230329956,0.225289349,0.220248742,0.227347263,0.225785176,0.158021787,0.147690963,0.160443149,0.178632752,0.191212317,0.191212317
BEL,Belgium,0.748625883,0.748625883,0.760507037,0.772388191,0.774932173,0.777476154,0.777150949,0.776825743,0.795129884,0.793468876,0.783644029,0.774277258,0.778083402,0.771764696,0.778724917,0.778724917
BLZ,Belize,0.697892088,0.697892088,0.679496392,0.661100696,0.670788096,0.680475496,0.672886933,0.66529837,0.676632951,0.651997493,0.646301777,0.608337952,0.617811166,0.634349145,0.648875716,0.648875716
BEN,Benin,0.635231308,0.635231308,0.604048776,0.572866243,0.575992366,0.579118488,0.545439802,0.511761115,0.516297958,0.506451087,0.512854359,0.560137102,0.578397072,0.562109001,0.561586257,0.561586257
BTN,Bhutan,0.222155298,0.222155298,0.264303761,0.306452225,0.305298073,0.304143921,0.279937393,0.255730866,0.256411658,0.310281656,0.297898463,0.3307135,0.301694756,0.346974125,0.373119529,0.373119529
BOL,"Bolivia, Plurinational State of",0.566906675,0.566906675,0.5605185,0.554130326,0.535532245,0.516934165,0.515364944,0.513795722,0.49473784,0.466258732,0.456332681,0.518098518,0.50364611,0.492206568,0.483318779,0.483318779
BIH,Bosnia and Herzegovina,0.400428416,0.400428416,0.43783535,0.475242284,0.479932478,0.484622672,0.469315,0.454007328,0.47717386,0.515364854,0.516691974,0.533909999,0.520320427,0.500583865,0.490370319,0.490370319
BWA,Botswana,0.661896859,0.661896859,0.653992671,0.646088484,0.638693394,0.631298305,0.628988549,0.626678793,0.657473441,0.648578011,0.621688937,0.597955543,0.59592651,0.59185542,0.581875633,0.581875633
BRA,Brazil,0.536553961,0.536553961,0.53756994,0.53858592,0.53612457,0.53366322,0.549594512,0.565525804,0.596233086,0.570769231,0.586941426,0.593764061,0.596052972,0.596027424,0.601673055,0.601673055
BRN,Brunei Darussalam,0.271067995,0.271067995,0.310414973,0.34976195,0.350333545,0.350905141,0.334334155,0.317763169,0.29781051,0.335983266,0.302640253,0.282698407,0.291978093,0.299824994,0.341869643,0.341869643
BGR,Bulgaria,0.522210186,0.522210186,0.548965799,0.575721411,0.585733704,0.595745998,0.605792563,0.615839129,0.598358909,0.611459535,0.600054783,0.619174591,0.629764908,0.613591596,0.607479827,0.607479827
BFA,Burkina Faso,0.442235582,0.442235582,0.415459671,0.388683761,0.411859378,0.435034996,0.422229953,0.409424911,0.412366365,0.416253289,0.411648492,0.433333007,0.43250336,0.441170657,0.449931188,0.449931188
BDI,Burundi,0.192655279,0.192655279,0.195086483,0.197517687,0.181377878,0.165238068,0.204205807,0.243173546,0.263045673,0.234133418,0.313615897,0.305016846,0.354067937,0.347984602,0.354771668,0.354771668
KHM,Cambodia,0.308494625,0.308494625,0.316325213,0.324155801,0.333339498,0.342523194,0.347923145,0.353323096,0.334682304,0.325582831,0.300609327,0.329598896,0.326604383,0.311709525,0.323700851,0.323700851
CMR,Cameroon,0.258273957,0.258273957,0.264762506,0.271251056,0.271558492,0.271865928,0.270316304,0.26876668,0.26922538,0.305654486,0.292311076,0.301912492,0.304832378,0.290779771,0.294490208,0.294490208
CAN,Canada,0.796108733,0.796108733,0.807896498,0.819684262,0.817272699,0.814861135,0.805952595,0.797044054,0.804134949,0.834790928,0.800128,0.781300381,0.774059176,0.782190665,0.788016265,0.788016265
