ISO3,name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AFG,Afghanistan,35.57,35.57,35.57,35.57,35.57,35.57,35.57,35.57,35.57,35.57,35.57,35.57,35.57,35.57,35.57,35.57
ALB,Albania,4.408,4.408,4.408,4.408,4.408,4.408,4.408,4.408,4.408,4.408,4.408,4.408,4.408,4.408,4.408,4.408
DZA,Algeria,52.65,52.65,52.65,52.65,52.65,52.65,52.65,52.65,52.65,52.65,52.65,52.65,52.65,52.65,52.65,52.65
AND,Andorra,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
AGO,Angola,0.4327,0.4327,0.4327,0.4327,0.4327,0.4327,0.4327,0.4327,0.4327,0.4327,0.4327,0.4327,0.4327,0.4327,0.4327,0.4327
ATG,Antigua and Barbuda,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
ARG,Argentina,3.511,3.609,3.707,3.805,3.903,4.001,4.001,4.001,4.001,4.001,4.001,4.001,4.001,4.001,4.001,4.001
ARM,Armenia,37.65,34.582,31.514,28.446,25.378,22.31,25.126,27.942,30.758,33.574,36.39,36.39,36.39,36.39,36.39,36.39
AUS,Australia,4.504,4.5198,4.5356,4.5514,4.5672,4.583,4.583,4.583,4.583,4.583,4.583,4.583,4.583,4.583,4.583,4.583
AUT,Austria,4.687,4.6904,4.6938,4.6972,4.7006,4.704,4.704,4.704,4.704,4.704,4.704,4.704,4.704,4.704,4.704,4.704
AZE,Azerbaijan,36.07,34.664,33.258,31.852,30.446,29.04,30.274,31.508,32.742,33.976,35.21,35.21,35.21,35.21,35.21,35.21
BHS,Bahamas,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
BHR,Bahrain,219.8,219.8,219.8,219.8,219.8,219.8,219.8,219.8,219.8,219.8,219.8,219.8,219.8,219.8,219.8,219.8
BGD,Bangladesh ,2.923,2.923,2.923,2.923,2.923,2.923,2.923,2.923,2.923,2.923,2.923,2.923,2.923,2.923,2.923,2.923
BRB,Barbados,76.12,76.12,76.12,76.12,76.12,76.12,76.12,76.12,76.12,76.12,76.12,76.12,76.12,76.12,76.12,76.12
BLR,Belarus,7.479,7.479,7.479,7.479,7.479,7.479,7.479,7.479,7.479,7.479,7.479,7.479,7.479,7.479,7.479,7.479
BEL,Belgium,41.62,41.534,41.448,41.362,41.276,41.19,39.746,38.302,36.858,35.414,33.97,33.97,33.97,33.97,33.97,33.97
BLZ,Belize,0.6199,0.65764,0.69538,0.73312,0.77086,0.8086,0.8086,0.8086,0.8086,0.8086,0.8086,0.8086,0.8086,0.8086,0.8086,0.8086
BEN,Benin,0.4926,0.4926,0.4926,0.4926,0.4926,0.4926,0.4926,0.4926,0.4926,0.4926,0.4926,0.4926,0.4926,0.4926,0.4926,0.4926
BTN,Bhutan,0.4333,0.4333,0.4333,0.4333,0.4333,0.4333,0.4333,0.4333,0.4333,0.4333,0.4333,0.4333,0.4333,0.4333,0.4333,0.4333
BOL,"Bolivia, Plurinational State of",0.3256,0.3256,0.3256,0.3256,0.3256,0.3256,0.3256,0.3256,0.3256,0.3256,0.3256,0.3256,0.3256,0.3256,0.3256,0.3256
BIH,Bosnia and Herzegovina,0.8907,0.8907,0.8907,0.8907,0.8907,0.8907,0.8907,0.8907,0.8907,0.8907,0.8907,0.71256,0.53442,0.35628,0.17814,
BWA,Botswana,1.172,1.2546,1.3372,1.4198,1.5024,1.585,1.585,1.585,1.585,1.585,1.585,1.585,1.585,1.585,1.585,1.585
BRA,Brazil,0.6665,0.67726,0.68802,0.69878,0.70954,0.7203,0.7173,0.7143,0.7113,0.7083,0.7053,0.7053,0.7053,0.7053,0.7053,0.7053
BRN,Brunei Darussalam,1.082,1.082,1.082,1.082,1.082,1.082,1.082,1.082,1.082,1.082,1.082,1.082,1.082,1.082,1.082,1.082
BGR,Bulgaria,28.79,28.79,28.79,28.79,28.79,28.79,28.94,29.09,29.24,29.39,29.54,23.632,17.724,11.816,5.908,
BFA,Burkina Faso,7.88,7.88,7.88,7.88,7.88,7.88,7.88,7.88,7.88,7.88,7.88,7.88,7.88,7.88,7.88,7.88
BDI,Burundi,2.297,2.297,2.297,2.297,2.297,2.297,2.297,2.297,2.297,2.297,2.297,2.297,2.297,2.297,2.297,2.297
KHM,Cambodia,0.4587,0.4587,0.4587,0.4587,0.4587,0.4587,0.4587,0.4587,0.4587,0.4587,0.4587,0.4587,0.4587,0.4587,0.4587,0.4587
CMR,Cameroon,0.336,0.336,0.336,0.336,0.336,0.336,0.336,0.336,0.336,0.336,0.336,0.336,0.336,0.336,0.336,0.336
CAN,Canada,1.584,1.584,1.584,1.584,1.584,1.584,1.584,1.584,1.584,1.584,1.584,1.584,1.584,1.584,1.584,1.584
CPV,Cape Verde,6.767,6.767,6.767,6.767,6.767,6.767,6.767,6.767,6.767,6.767,6.767,6.767,6.767,6.767,6.767,6.767
CAF,Central African Republic,0.0463,0.0463,0.0463,0.0463,0.0463,0.0463,0.0463,0.0463,0.0463,0.0463,0.0463,0.0463,0.0463,0.0463,0.0463,0.0463
