ISO3,name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AFG,Afghanistan,0.3557,0.3557,0.3557,0.3557,0.3557,0.3557,0.3557,0.3557,0.3557,0.3557,0.3557,0.3557,0.3557,0.3557,0.3557,0.3557
ALB,Albania,0.04408,0.04408,0.04408,0.04408,0.04408,0.04408,0.04408,0.04408,0.04408,0.04408,0.04408,0.04408,0.04408,0.04408,0.04408,0.04408
DZA,Algeria,0.5265,0.5265,0.5265,0.5265,0.5265,0.5265,0.5265,0.5265,0.5265,0.5265,0.5265,0.5265,0.5265,0.5265,0.5265,0.5265
AND,Andorra,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
AGO,Angola,0.004327,0.004327,0.004327,0.004327,0.004327,0.004327,0.004327,0.004327,0.004327,0.004327,0.004327,0.004327,0.004327,0.004327,0.004327,0.004327
ATG,Antigua and Barbuda,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
ARG,Argentina,0.03511,0.03609,0.03707,0.03805,0.03903,0.04001,0.04001,0.04001,0.04001,0.04001,0.04001,0.04001,0.04001,0.04001,0.04001,0.04001
ARM,Armenia,0.3765,0.34582,0.31514,0.28446,0.25378,0.2231,0.25126,0.27942,0.30758,0.33574,0.3639,0.3639,0.3639,0.3639,0.3639,0.3639
AUS,Australia,0.04504,0.045198,0.045356,0.045514,0.045672,0.04583,0.04583,0.04583,0.04583,0.04583,0.04583,0.04583,0.04583,0.04583,0.04583,0.04583
AUT,Austria,0.04687,0.046904,0.046938,0.046972,0.047006,0.04704,0.04704,0.04704,0.04704,0.04704,0.04704,0.04704,0.04704,0.04704,0.04704,0.04704
AZE,Azerbaijan,0.3607,0.34664,0.33258,0.31852,0.30446,0.2904,0.30274,0.31508,0.32742,0.33976,0.3521,0.3521,0.3521,0.3521,0.3521,0.3521
BHS,Bahamas,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
BHR,Bahrain,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BGD,Bangladesh,0.02923,0.02923,0.02923,0.02923,0.02923,0.02923,0.02923,0.02923,0.02923,0.02923,0.02923,0.02923,0.02923,0.02923,0.02923,0.02923
BRB,Barbados,0.7612,0.7612,0.7612,0.7612,0.7612,0.7612,0.7612,0.7612,0.7612,0.7612,0.7612,0.7612,0.7612,0.7612,0.7612,0.7612
BLR,Belarus,0.07479,0.07479,0.07479,0.07479,0.07479,0.07479,0.07479,0.07479,0.07479,0.07479,0.07479,0.07479,0.07479,0.07479,0.07479,0.07479
BEL,Belgium,0.4162,0.41534,0.41448,0.41362,0.41276,0.4119,0.39746,0.38302,0.36858,0.35414,0.3397,0.3397,0.3397,0.3397,0.3397,0.3397
BLZ,Belize,0.006199,0.0065764,0.0069538,0.0073312,0.0077086,0.008086,0.008086,0.008086,0.008086,0.008086,0.008086,0.008086,0.008086,0.008086,0.008086,0.008086
BEN,Benin,0.004926,0.004926,0.004926,0.004926,0.004926,0.004926,0.004926,0.004926,0.004926,0.004926,0.004926,0.004926,0.004926,0.004926,0.004926,0.004926
BTN,Bhutan,0.004333,0.004333,0.004333,0.004333,0.004333,0.004333,0.004333,0.004333,0.004333,0.004333,0.004333,0.004333,0.004333,0.004333,0.004333,0.004333
BOL,"Bolivia, Plurinational State of",0.003256,0.003256,0.003256,0.003256,0.003256,0.003256,0.003256,0.003256,0.003256,0.003256,0.003256,0.003256,0.003256,0.003256,0.003256,0.003256
BIH,Bosnia and Herzegovina,0.008907,0.008907,0.008907,0.008907,0.008907,0.008907,0.008907,0.008907,0.008907,0.008907,0.008907,0.0071256,0.0053442,0.0035628,0.0017814,0
BWA,Botswana,0.01172,0.012546,0.013372,0.014198,0.015024,0.01585,0.01585,0.01585,0.01585,0.01585,0.01585,0.01585,0.01585,0.01585,0.01585,0.01585
BRA,Brazil,0.006665,0.0067726,0.0068802,0.0069878,0.0070954,0.007203,0.007173,0.007143,0.007113,0.007083,0.007053,0.007053,0.007053,0.007053,0.007053,0.007053
BRN,Brunei Darussalam,0.01082,0.01082,0.01082,0.01082,0.01082,0.01082,0.01082,0.01082,0.01082,0.01082,0.01082,0.01082,0.01082,0.01082,0.01082,0.01082
BGR,Bulgaria,0.2879,0.2879,0.2879,0.2879,0.2879,0.2879,0.2894,0.2909,0.2924,0.2939,0.2954,0.23632,0.17724,0.11816,0.05908,0
BFA,Burkina Faso,0.0788,0.0788,0.0788,0.0788,0.0788,0.0788,0.0788,0.0788,0.0788,0.0788,0.0788,0.0788,0.0788,0.0788,0.0788,0.0788
