ISO3,name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AFG,Afghanistan,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1
ALB,Albania,14.31,14.31,14.31,14.31,14.31,14.31,14.31,14.31,14.31,14.31,14.31,14.31,14.31,14.31,14.31,14.31
DZA,Algeria,59.9,59.9,59.9,59.9,59.9,59.9,59.9,59.9,59.9,59.9,59.9,59.9,59.9,59.9,59.9,59.9
AND,Andorra,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
AGO,Angola,42.93,42.93,42.93,42.93,42.93,42.93,42.93,42.93,42.93,42.93,42.93,42.93,42.93,42.93,42.93,42.93
ATG,Antigua and Barbuda,65.39,65.39,65.39,65.39,65.39,65.39,65.39,65.39,65.39,65.39,65.39,65.39,65.39,65.39,65.39,65.39
ARG,Argentina,18.47,18.47,18.47,18.47,18.47,18.47,18.47,18.47,18.47,18.47,18.47,18.47,18.47,18.47,18.47,18.47
ARM,Armenia,13.56,13.56,13.56,13.56,13.56,13.56,13.56,13.56,13.56,13.56,13.56,13.56,13.56,13.56,13.56,13.56
AUS,Australia,38.94,38.94,38.94,38.94,38.94,38.94,38.94,38.94,38.94,38.94,38.94,38.94,38.94,38.94,38.94,38.94
AUT,Austria,8.32,8.32,8.32,8.32,8.32,8.32,8.32,8.32,8.32,8.32,8.32,8.32,8.32,8.32,8.32,8.32
AZE,Azerbaijan,14.98,14.98,14.98,14.98,14.98,14.98,14.98,14.98,14.98,14.98,14.98,14.98,14.98,14.98,14.98,14.98
BHS,Bahamas,65.39,65.39,65.39,65.39,65.39,65.39,65.39,65.39,65.39,65.39,65.39,65.39,65.39,65.39,65.39,65.39
BHR,Bahrain,44.93,44.93,44.93,44.93,44.93,44.93,44.93,44.93,44.93,44.93,44.93,44.93,44.93,44.93,44.93,44.93
BGD,Bangladesh,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11
BRB,Barbados,65.39,65.39,65.39,65.39,65.39,65.39,65.39,65.39,65.39,65.39,65.39,65.39,65.39,65.39,65.39,65.39
BLR,Belarus,13.56,13.56,13.56,13.56,13.56,13.56,13.56,13.56,13.56,13.56,13.56,13.56,13.56,13.56,13.56,13.56
BEL,Belgium,11.15,11.15,11.15,11.15,11.15,11.15,11.15,11.15,11.15,11.15,11.15,11.15,11.15,11.15,11.15,11.15
BLZ,Belize,39.43,39.43,39.43,39.43,39.43,39.43,39.43,39.43,39.43,39.43,39.43,39.43,39.43,39.43,39.43,39.43
BEN,Benin,54.41,54.41,54.41,54.41,54.41,54.41,54.41,54.41,54.41,54.41,54.41,54.41,54.41,54.41,54.41,54.41
BTN,Bhutan,34.78,34.78,34.78,34.78,34.78,34.78,34.78,34.78,34.78,34.78,34.78,34.78,34.78,34.78,34.78,34.78
BOL,"Bolivia, Plurinational State of",71.55,71.55,71.55,71.55,71.55,71.55,71.55,71.55,71.55,71.55,71.55,71.55,71.55,71.55,71.55,71.55
BIH,Bosnia and Herzegovina,14.31,14.31,14.31,14.31,14.31,14.31,14.31,14.31,14.31,14.31,14.31,14.31,14.31,14.31,14.31,14.31
BWA,Botswana,78.04,78.04,78.04,78.04,78.04,78.04,78.04,78.04,78.04,78.04,78.04,78.04,78.04,78.04,78.04,78.04
BRA,Brazil,32.28,32.28,32.28,32.28,32.28,32.28,32.28,32.28,32.28,32.28,32.28,32.28,32.28,32.28,32.28,32.28
BRN,Brunei Darussalam,38.94,38.94,38.94,38.94,38.94,38.94,38.94,38.94,38.94,38.94,38.94,38.94,38.94,38.94,38.94,38.94
BGR,Bulgaria,14.31,14.31,14.31,14.31,14.31,14.31,14.31,14.31,14.31,14.31,14.31,14.31,14.31,14.31,14.31,14.31
