ISO3,name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AFG,Afghanistan,0.509166667,0.509166667,0.509166667,0.509166667,0.509166667,0.509166667,0.509166667,0.509166667,0.509166667,0.509166667,0.509166667,0.509166667,0.509166667,0.509166667,0.509166667,0.509166667
ALB,Albania,0.285916667,0.285916667,0.285916667,0.285916667,0.285916667,0.285916667,0.285916667,0.285916667,0.285916667,0.285916667,0.285916667,0.285916667,0.285916667,0.285916667,0.285916667,0.285916667
DZA,Algeria,0.665833333,0.665833333,0.665833333,0.665833333,0.665833333,0.665833333,0.665833333,0.665833333,0.665833333,0.665833333,0.665833333,0.665833333,0.665833333,0.665833333,0.665833333,0.665833333
AND,Andorra,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
AGO,Angola,0.524416667,0.524416667,0.524416667,0.524416667,0.524416667,0.524416667,0.524416667,0.524416667,0.524416667,0.524416667,0.524416667,0.524416667,0.524416667,0.524416667,0.524416667,0.524416667
ATG,Antigua and Barbuda,0.711583333,0.711583333,0.711583333,0.711583333,0.711583333,0.711583333,0.711583333,0.711583333,0.711583333,0.711583333,0.711583333,0.711583333,0.711583333,0.711583333,0.711583333,0.711583333
ARG,Argentina,0.320583333,0.320583333,0.320583333,0.320583333,0.320583333,0.320583333,0.320583333,0.320583333,0.320583333,0.320583333,0.320583333,0.320583333,0.320583333,0.320583333,0.320583333,0.320583333
ARM,Armenia,0.279666667,0.279666667,0.279666667,0.279666667,0.279666667,0.279666667,0.279666667,0.279666667,0.279666667,0.279666667,0.279666667,0.279666667,0.279666667,0.279666667,0.279666667,0.279666667
AUS,Australia,0.491166667,0.491166667,0.491166667,0.491166667,0.491166667,0.491166667,0.491166667,0.491166667,0.491166667,0.491166667,0.491166667,0.491166667,0.491166667,0.491166667,0.491166667,0.491166667
AUT,Austria,0.236,0.236,0.236,0.236,0.236,0.236,0.236,0.236,0.236,0.236,0.236,0.236,0.236,0.236,0.236,0.236
