ISO3,name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AFG,Afghanistan,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ALB,Albania,0.606,0.620,0.635,0.629,0.636,0.653,0.673,0.667,0.674,0.678,0.714,0.720,0.736,0.755,0.771,0.747
DZA,Algeria,0.558,0.564,0.575,0.592,0.565,0.623,0.669,0.627,0.620,0.601,0.633,0.626,0.630,0.644,0.635,0.591
AND,Andorra,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
AGO,Angola,0.381,0.371,0.369,0.378,0.362,0.382,0.401,0.420,0.440,0.459,0.478,0.518,0.550,0.550,0.571,0.545
ATG,Antigua and Barbuda,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ARG,Argentina,0.761,0.767,0.766,0.768,0.763,0.770,0.723,0.631,0.609,0.597,0.623,0.628,0.628,0.613,0.591,0.602
ARM,Armenia,0.539,0.559,0.602,0.612,0.697,0.735,0.758,0.758,0.796,0.794,0.799,0.796,0.810,0.809,0.804,0.806
AUS,Australia,0.724,0.720,0.721,0.728,0.739,0.743,0.746,0.742,0.749,0.752,0.764,0.770,0.786,0.791,0.792,0.794
AUT,Austria,0.632,0.608,0.603,0.586,0.646,0.638,0.627,0.628,0.631,0.633,0.655,0.670,0.663,0.662,0.663,0.675
AZE,Azerbaijan,0.383,0.422,0.500,0.522,0.555,0.579,0.611,0.624,0.615,0.614,0.603,0.618,0.630,0.639,0.667,0.669
BHS,Bahamas,0.723,0.730,0.730,0.732,0.721,0.733,0.728,0.716,0.698,0.695,0.690,0.701,0.688,0.710,0.669,0.667
BHR,Bahrain,0.797,0.793,0.787,0.782,0.787,0.790,0.786,0.781,0.779,0.773,0.784,0.792,0.807,0.790,0.800,0.813
BGD,Bangladesh,0.550,0.596,0.590,0.561,0.554,0.583,0.591,0.586,0.583,0.516,0.600,0.573,0.551,0.555,0.594,0.594
BRB,Barbados,0.686,0.686,0.702,0.685,0.697,0.690,0.717,0.687,0.665,0.658,0.670,0.658,0.675,0.681,0.649,0.644
