ISO3,name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AFG,Afghanistan,0.115,0.115,0.091,0.071,0.071,0.071,0.116,0.175,0.161,0.176,0.184,0.167,0.162,0.142,0.136,0.136
ALB,Albania,0.457,0.457,0.399,0.341,0.350,0.359,0.378,0.396,0.418,0.396,0.410,0.427,0.447,0.474,0.479,0.479
DZA,Algeria,0.226,0.226,0.204,0.194,0.216,0.238,0.246,0.254,0.273,0.316,0.355,0.337,0.335,0.337,0.318,0.318
AND,Andorra,0.768,0.768,0.772,0.776,0.775,0.773,0.769,0.764,0.772,0.767,0.775,0.768,0.768,0.772,0.770,0.770
AGO,Angola,0.178,0.178,0.170,0.163,0.146,0.130,0.185,0.241,0.268,0.263,0.269,0.297,0.296,0.324,0.319,0.319
ATG,Antigua and Barbuda,0.604,0.604,0.608,0.612,0.613,0.615,0.613,0.612,0.624,0.674,0.641,0.681,0.678,0.684,0.674,0.674
ARG,Argentina,0.522,0.522,0.519,0.516,0.511,0.506,0.446,0.386,0.478,0.479,0.490,0.505,0.510,0.488,0.483,0.483
ARM,Armenia,0.431,0.431,0.393,0.355,0.346,0.337,0.349,0.361,0.402,0.385,0.410,0.401,0.416,0.411,0.412,0.412
AUS,Australia,0.758,0.758,0.779,0.800,0.805,0.811,0.801,0.791,0.783,0.802,0.789,0.782,0.787,0.796,0.784,0.784
AUT,Austria,0.805,0.805,0.804,0.803,0.797,0.791,0.797,0.803,0.795,0.808,0.792,0.793,0.807,0.803,0.784,0.784
AZE,Azerbaijan,0.311,0.311,0.313,0.315,0.307,0.299,0.295,0.292,0.277,0.262,0.277,0.287,0.309,0.322,0.321,0.321
BHS,Bahamas,0.671,0.671,0.698,0.725,0.734,0.743,0.738,0.733,0.717,0.722,0.716,0.720,0.714,0.720,0.717,0.717
BHR,Bahrain,0.349,0.349,0.393,0.437,0.455,0.473,0.495,0.516,0.512,0.498,0.466,0.441,0.451,0.451,0.459,0.459
BGD,Bangladesh,0.406,0.406,0.407,0.408,0.388,0.369,0.355,0.341,0.296,0.272,0.261,0.280,0.289,0.290,0.308,0.308
BRB,Barbados,0.745,0.745,0.751,0.758,0.755,0.752,0.750,0.748,0.734,0.739,0.733,0.724,0.737,0.732,0.738,0.738
BLR,Belarus,0.325,0.325,0.356,0.386,0.375,0.364,0.353,0.343,0.365,0.331,0.335,0.341,0.354,0.366,0.369,0.369
BEL,Belgium,0.745,0.745,0.750,0.755,0.759,0.763,0.766,0.770,0.758,0.744,0.738,0.731,0.731,0.724,0.741,0.741
BLZ,Belize,0.610,0.610,0.597,0.585,0.577,0.570,0.565,0.561,0.582,0.562,0.536,0.513,0.519,0.534,0.550,0.550
BEN,Benin,0.569,0.569,0.544,0.519,0.526,0.532,0.514,0.497,0.494,0.475,0.462,0.513,0.525,0.510,0.507,0.507
BTN,Bhutan,0.510,0.510,0.511,0.513,0.510,0.506,0.504,0.502,0.539,0.551,0.570,0.581,0.525,0.546,0.559,0.559
BOL,Bolivia,0.441,0.441,0.460,0.480,0.466,0.452,0.438,0.423,0.385,0.387,0.352,0.408,0.404,0.398,0.392,0.392
BIH,Bosnia and Herzegovina,0.416,0.416,0.423,0.430,0.423,0.417,0.415,0.414,0.425,0.453,0.452,0.462,0.445,0.445,0.438,0.438
BWA,Botswana,0.638,0.638,0.644,0.649,0.652,0.655,0.647,0.640,0.690,0.667,0.674,0.650,0.657,0.657,0.645,0.645
BRA,Brazil,0.464,0.464,0.477,0.491,0.512,0.533,0.518,0.503,0.551,0.523,0.511,0.514,0.509,0.521,0.549,0.549
BRN,Brunei Darussalam,0.522,0.522,0.539,0.557,0.555,0.553,0.540,0.528,0.525,0.565,0.537,0.526,0.528,0.546,0.601,0.601
BGR,Bulgaria,0.425,0.425,0.487,0.550,0.553,0.557,0.562,0.567,0.554,0.565,0.557,0.569,0.564,0.553,0.560,0.560
BFA,Burkina Faso,0.443,0.443,0.446,0.448,0.464,0.480,0.465,0.449,0.490,0.459,0.463,0.452,0.460,0.456,0.446,0.446
BDI,Burundi,0.182,0.182,0.169,0.156,0.161,0.166,0.177,0.189,0.202,0.175,0.267,0.260,0.284,0.274,0.282,0.282
KHM,Cambodia,0.271,0.271,0.282,0.292,0.317,0.342,0.338,0.334,0.336,0.340,0.325,0.334,0.336,0.343,0.321,0.321
CMR,Cameroon,0.262,0.262,0.277,0.293,0.304,0.316,0.309,0.302,0.320,0.313,0.324,0.341,0.348,0.333,0.343,0.343
CAN,Canada,0.811,0.811,0.816,0.821,0.817,0.813,0.813,0.813,0.811,0.795,0.782,0.791,0.789,0.795,0.799,0.799
CPV,Cape Verde,0.601,0.601,0.599,0.597,0.611,0.624,0.616,0.607,0.624,0.631,0.595,0.657,0.667,0.664,0.658,0.658
CAF,Central African Republic,0.383,0.383,0.345,0.306,0.295,0.283,0.262,0.240,0.214,0.235,0.259,0.233,0.248,0.255,0.244,0.244
TCD,Chad,0.314,0.314,0.296,0.277,0.286,0.295,0.281,0.267,0.255,0.240,0.233,0.196,0.190,0.169,0.197,0.197
CHL,Chile,0.681,0.681,0.655,0.628,0.664,0.699,0.719,0.739,0.712,0.731,0.736,0.701,0.691,0.688,0.697,0.697
CHN,China,0.352,0.352,0.366,0.380,0.382,0.384,0.368,0.351,0.348,0.347,0.326,0.323,0.319,0.331,0.325,0.325
COL,Colombia,0.362,0.362,0.339,0.316,0.308,0.300,0.306,0.313,0.297,0.343,0.357,0.372,0.362,0.358,0.355,0.355
COM,Comoros,0.481,0.481,0.442,0.403,0.374,0.345,0.387,0.429,0.379,0.419,0.397,0.431,0.362,0.364,0.363,0.363
COG,Congo,0.393,0.393,0.277,0.161,0.202,0.243,0.258,0.273,0.302,0.308,0.273,0.286,0.298,0.303,0.322,0.322
COD,"Congo, DRC",0.101,0.101,0.072,0.080,0.089,0.098,0.112,0.136,0.141,0.134,0.131,0.137,0.157,0.167,0.167,0.167
CRI,Costa Rica,0.670,0.670,0.682,0.695,0.694,0.694,0.694,0.694,0.671,0.641,0.636,0.640,0.639,0.628,0.654,0.654
CIV,C»te d'Ivoire,0.481,0.481,0.448,0.415,0.371,0.327,0.283,0.240,0.224,0.175,0.147,0.181,0.195,0.201,0.243,0.243
HRV,Croatia,0.403,0.403,0.432,0.462,0.507,0.553,0.570,0.586,0.578,0.598,0.576,0.576,0.583,0.579,0.580,0.580
CUB,Cuba,0.391,0.391,0.394,0.398,0.383,0.367,0.378,0.390,0.384,0.377,0.373,0.385,0.382,0.397,0.407,0.407
CYP,Cyprus,0.752,0.752,0.706,0.661,0.669,0.677,0.675,0.673,0.675,0.651,0.646,0.673,0.672,0.691,0.662,0.662
CZE,Czech Republic,0.676,0.676,0.666,0.656,0.634,0.613,0.637,0.661,0.668,0.648,0.659,0.660,0.652,0.662,0.663,0.663
DNK,Denmark,0.825,0.825,0.831,0.837,0.839,0.841,0.845,0.849,0.840,0.849,0.835,0.840,0.831,0.837,0.834,0.834
