ISO3,name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AFG,Afghanistan,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ALB,Albania,0.47,0.48,0.46,0.42,0.43,0.45,0.47,0.48,0.49,0.50,0.52,0.54,0.56,0.58,0.60,0.59
DZA,Algeria,0.36,0.36,0.36,0.37,0.36,0.40,0.42,0.42,0.42,0.44,0.48,0.48,0.50,0.51,0.51,0.49
AND,Andorra,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
AGO,Angola,0.25,0.24,0.24,0.24,0.23,0.23,0.26,0.29,0.31,0.31,0.33,0.36,0.37,0.39,0.40,0.39
ATG,Antigua and Barbuda,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ARG,Argentina,0.60,0.61,0.61,0.61,0.61,0.62,0.58,0.52,0.55,0.55,0.58,0.60,0.61,0.60,0.59,0.59
ARM,Armenia,0.45,0.45,0.46,0.45,0.49,0.50,0.52,0.52,0.55,0.55,0.56,0.58,0.61,0.63,0.64,0.64
AUS,Australia,0.75,0.76,0.76,0.77,0.78,0.79,0.79,0.80,0.80,0.82,0.82,0.82,0.83,0.84,0.83,0.83
AUT,Austria,0.69,0.68,0.68,0.69,0.73,0.74,0.74,0.73,0.73,0.74,0.74,0.75,0.75,0.76,0.75,0.76
AZE,Azerbaijan,0.34,0.35,0.38,0.39,0.40,0.41,0.42,0.43,0.42,0.42,0.43,0.44,0.46,0.49,0.51,0.51
BHS,Bahamas,0.62,0.62,0.63,0.65,0.65,0.66,0.66,0.67,0.65,0.66,0.67,0.67,0.68,0.69,0.66,0.66
BHR,Bahrain,0.52,0.52,0.54,0.56,0.57,0.59,0.60,0.61,0.61,0.63,0.62,0.61,0.62,0.64,0.64,0.65
BGD,Bangladesh,0.41,0.43,0.43,0.42,0.41,0.42,0.42,0.41,0.39,0.36,0.39,0.39,0.39,0.40,0.42,0.42
BRB,Barbados,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
BLR,Belarus,0.42,0.41,0.42,0.41,0.42,0.42,0.42,0.41,0.43,0.45,0.47,0.49,0.50,0.52,0.54,0.54
BEL,Belgium,0.65,0.66,0.66,0.67,0.68,0.70,0.73,0.73,0.73,0.73,0.75,0.75,0.75,0.76,0.75,0.75
BLZ,Belize,0.54,0.56,0.53,0.52,0.54,0.53,0.55,0.54,0.55,0.54,0.54,0.54,0.54,0.56,0.56,0.56
BEN,Benin,0.50,0.50,0.50,0.50,0.51,0.51,0.49,0.49,0.47,0.45,0.45,0.49,0.50,0.50,0.50,0.51
BTN,Bhutan,0.44,0.44,0.46,0.47,0.47,0.47,0.47,0.47,0.49,0.49,0.50,0.51,0.49,0.51,0.51,0.52
BOL,Bolivia,0.53,0.53,0.54,0.55,0.55,0.56,0.56,0.56,0.55,0.52,0.51,0.50,0.50,0.51,0.49,0.50
BIH,Bosnia and Herzegovina,0.44,0.44,0.43,0.43,0.46,0.45,0.44,0.44,0.47,0.49,0.53,0.54,0.54,0.55,0.56,0.57
BWA,Botswana,0.53,0.52,0.56,0.56,0.57,0.57,0.58,0.59,0.61,0.61,0.61,0.60,0.62,0.63,0.64,0.63
BRA,Brazil,0.48,0.49,0.50,0.51,0.52,0.53,0.53,0.54,0.55,0.55,0.55,0.54,0.54,0.56,0.58,0.58
BRN,Brunei Darussalam,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
BGR,Bulgaria,0.47,0.48,0.48,0.51,0.53,0.55,0.57,0.58,0.60,0.62,0.64,0.65,0.66,0.66,0.65,0.67
BFA,Burkina Faso,0.43,0.44,0.44,0.44,0.45,0.47,0.47,0.46,0.48,0.47,0.47,0.46,0.47,0.49,0.49,0.50
BDI,Burundi,0.33,0.33,0.31,0.28,0.29,0.30,0.30,0.31,0.32,0.31,0.35,0.35,0.35,0.36,0.36,0.38
KHM,Cambodia,0.37,0.37,0.41,0.42,0.42,0.43,0.44,0.45,0.44,0.44,0.43,0.43,0.43,0.45,0.45,0.46
CMR,Cameroon,0.34,0.34,0.35,0.37,0.38,0.40,0.40,0.39,0.40,0.39,0.42,0.43,0.43,0.43,0.43,0.43
CAN,Canada,0.73,0.74,0.73,0.72,0.73,0.73,0.74,0.76,0.76,0.76,0.77,0.78,0.80,0.80,0.80,0.81
CPV,Cape Verde,0.47,0.46,0.46,0.48,0.49,0.52,0.53,0.52,0.54,0.54,0.53,0.55,0.56,0.59,0.60,0.61
CAF,Central African Republic,0.45,0.45,0.43,0.40,0.40,0.40,0.39,0.39,0.37,0.37,0.38,0.35,0.35,0.35,0.35,0.36
TCD,Chad,0.36,0.36,0.36,0.36,0.36,0.36,0.37,0.38,0.38,0.37,0.35,0.35,0.33,0.33,0.34,0.33
CHL,Chile,0.65,0.67,0.65,0.65,0.67,0.68,0.71,0.71,0.71,0.73,0.75,0.74,0.75,0.76,0.76,0.76
CHN,China,0.42,0.43,0.44,0.45,0.45,0.44,0.44,0.44,0.44,0.45,0.45,0.45,0.46,0.47,0.46,0.47
COL,Colombia,0.49,0.50,0.49,0.49,0.48,0.48,0.49,0.49,0.48,0.49,0.52,0.53,0.54,0.56,0.57,0.58
COM,Comoros,0.38,0.38,0.37,0.36,0.35,0.34,0.36,0.37,0.36,0.37,0.37,0.38,0.36,0.37,0.38,0.37
COG,Congo,0.35,0.35,0.31,0.25,0.27,0.29,0.30,0.31,0.33,0.34,0.33,0.35,0.36,0.38,0.38,0.38
COD,"Congo, DRC",0.24,0.25,0.21,0.24,0.24,0.27,0.28,0.30,0.29,0.29,0.30,0.29,0.31,0.32,0.31,0.29
CRI,Costa Rica,0.61,0.60,0.61,0.61,0.62,0.62,0.62,0.63,0.62,0.62,0.62,0.61,0.61,0.62,0.63,0.63
CIV,C»te d'Ivoire,0.43,0.44,0.44,0.43,0.40,0.42,0.42,0.40,0.40,0.38,0.37,0.38,0.38,0.40,0.41,0.43
HRV,Croatia,0.46,0.45,0.46,0.48,0.50,0.53,0.54,0.56,0.58,0.59,0.59,0.60,0.61,0.62,0.64,0.65
CUB,Cuba,0.32,0.32,0.32,0.33,0.34,0.34,0.35,0.36,0.37,0.39,0.37,0.38,0.39,0.40,0.39,0.40
CYP,Cyprus,0.65,0.65,0.64,0.62,0.62,0.64,0.64,0.66,0.67,0.68,0.68,0.69,0.69,0.71,0.70,0.71
CZE,Czech Republic,0.61,0.61,0.61,0.62,0.62,0.63,0.65,0.68,0.68,0.67,0.69,0.70,0.71,0.72,0.73,0.73
DNK,Denmark,0.70,0.71,0.72,0.73,0.74,0.75,0.77,0.80,0.80,0.81,0.81,0.82,0.83,0.83,0.82,0.82
DJI,Djibouti,0.44,0.44,0.42,0.41,0.40,0.43,0.43,0.43,0.42,0.44,0.41,0.41,0.42,0.44,0.44,0.46
DMA,Dominica,0.55,0.55,0.55,0.55,0.54,0.54,0.55,0.56,0.57,0.59,0.60,0.61,0.61,0.61,0.60,0.60
DOM,Dominican Republic,0.50,0.48,0.50,0.50,0.52,0.53,0.54,0.54,0.51,0.51,0.52,0.54,0.55,0.56,0.58,0.58
ECU,Ecuador,0.47,0.47,0.48,0.49,0.47,0.45,0.45,0.46,0.47,0.48,0.49,0.50,0.51,0.52,0.51,0.49
EGY,Egypt,0.44,0.46,0.48,0.49,0.47,0.46,0.47,0.47,0.46,0.46,0.46,0.45,0.50,0.51,0.53,0.53
SLV,El Salvador,0.52,0.52,0.53,0.55,0.58,0.58,0.58,0.58,0.57,0.59,0.58,0.59,0.60,0.61,0.61,0.61
GNQ,Equatorial Guinea,0.35,0.35,0.36,0.36,0.36,0.37,0.36,0.38,0.39,0.38,0.38,0.39,0.39,0.40,0.40,0.39
ERI,Eritrea,0.39,0.39,0.37,0.35,0.35,0.35,0.35,0.35,0.34,0.33,0.32,0.31,0.30,0.31,0.30,0.30
EST,Estonia,0.58,0.61,0.63,0.66,0.66,0.70,0.73,0.75,0.76,0.77,0.77,0.77,0.77,0.76,0.76,0.76
ETH,Ethiopia,0.35,0.37,0.38,0.38,0.38,0.38,0.38,0.37,0.40,0.38,0.38,0.39,0.39,0.39,0.37,0.37
FJI,Fiji,0.53,0.53,0.54,0.54,0.52,0.49,0.50,0.52,0.54,0.53,0.53,0.53,0.54,0.53,0.51,0.51
FIN,Finland,0.71,0.73,0.73,0.73,0.75,0.75,0.79,0.79,0.79,0.79,0.80,0.81,0.81,0.81,0.81,0.81
FRA,France,0.63,0.64,0.62,0.63,0.64,0.65,0.65,0.66,0.67,0.68,0.68,0.69,0.70,0.70,0.70,0.70
GAB,Gabon,0.42,0.43,0.45,0.46,0.46,0.46,0.47,0.47,0.47,0.45,0.47,0.47,0.48,0.48,0.49,0.49
GMB,Gambia,0.46,0.46,0.46,0.45,0.46,0.47,0.49,0.49,0.49,0.47,0.47,0.47,0.48,0.49,0.50,0.50
GEO,Georgia,0.47,0.48,0.48,0.46,0.47,0.47,0.47,0.48,0.49,0.52,0.58,0.61,0.61,0.61,0.59,0.59
DEU,Germany,0.66,0.67,0.65,0.66,0.67,0.70,0.71,0.72,0.71,0.72,0.74,0.74,0.74,0.74,0.74,0.74
GHA,Ghana,0.44,0.45,0.45,0.45,0.47,0.48,0.47,0.48,0.48,0.47,0.48,0.50,0.52,0.53,0.55,0.54
GRC,Greece,0.58,0.59,0.60,0.61,0.62,0.66,0.67,0.68,0.69,0.69,0.69,0.68,0.69,0.68,0.68,0.67
GRD,Grenada,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
GTM,Guatemala,0.44,0.45,0.46,0.47,0.48,0.48,0.49,0.48,0.46,0.48,0.48,0.51,0.52,0.52,0.53,0.53
GIN,Guinea,0.43,0.42,0.44,0.43,0.41,0.40,0.38,0.40,0.42,0.41,0.38,0.37,0.36,0.37,0.39,0.39
GNB,Guinea-Bissau,0.32,0.32,0.29,0.27,0.30,0.36,0.36,0.36,0.36,0.39,0.39,0.39,0.38,0.38,0.37,0.39
GUY,Guyana,0.47,0.48,0.48,0.47,0.46,0.46,0.47,0.45,0.46,0.47,0.47,0.46,0.44,0.44,0.45,0.45
HTI,Haiti,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
HND,Honduras,0.43,0.43,0.44,0.45,0.45,0.47,0.46,0.47,0.45,0.47,0.48,0.50,0.51,0.52,0.53,0.53
HUN,Hungary,0.56,0.56,0.57,0.59,0.63,0.64,0.66,0.67,0.69,0.70,0.71,0.71,0.72,0.71,0.71,0.71
ISL,Iceland,0.66,0.66,0.68,0.70,0.73,0.76,0.76,0.77,0.79,0.81,0.82,0.81,0.81,0.81,0.79,0.79
IND,India,0.42,0.43,0.44,0.44,0.43,0.44,0.45,0.45,0.45,0.47,0.46,0.47,0.47,0.48,0.48,0.48
IDN,Indonesia,0.46,0.47,0.45,0.43,0.41,0.41,0.42,0.43,0.41,0.43,0.44,0.46,0.47,0.49,0.51,0.52
IRN,"Iran, Islamic Republic of",0.35,0.34,0.37,0.39,0.39,0.39,0.39,0.41,0.42,0.42,0.40,0.40,0.42,0.43,0.43,0.42
IRQ,Iraq,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
IRL,Ireland,0.67,0.68,0.70,0.71,0.73,0.78,0.79,0.79,0.80,0.80,0.82,0.83,0.83,0.83,0.81,0.80
ISR,Israel,0.61,0.63,0.63,0.62,0.63,0.64,0.65,0.63,0.62,0.63,0.65,0.65,0.67,0.67,0.66,0.66
