ISO3,name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AFG,Afghanistan,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ALB,Albania,-0.007853825,-0.010184878,-0.028467429,-0.069510029,-0.072539243,-0.071248895,-0.059222076,-0.05171076,-0.045260789,-0.045205602,-0.028095264,-0.020061083,-0.007759393,0.006584442,0.015605534,0.002355842
DZA,Algeria,-0.154129491,-0.153594986,-0.156728185,-0.156072462,-0.164125552,-0.137919087,-0.11644674,-0.128917787,-0.128278075,-0.119165019,-0.085410002,-0.083043256,-0.07471445,-0.072108311,-0.072604224,-0.092684448
AND,Andorra,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
AGO,Angola,-0.199155464,-0.209025835,-0.216751201,-0.219125078,-0.23387171,-0.235196978,-0.211219886,-0.195421084,-0.177119875,-0.174540684,-0.179232284,-0.163628555,-0.164801281,-0.164349184,-0.149400546,-0.16552825
ATG,Antigua and Barbuda,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ARG,Argentina,0.059482197,0.056928457,0.046869916,0.040617243,0.035585071,0.040412102,-0.001194113,-0.054759833,-0.031343093,-0.035726484,-0.018108058,-0.003373999,-0.007229536,-0.028986816,-0.038636756,-0.035200189
ARM,Armenia,0.013935082,0.016786683,0.017003909,0.010254928,0.041918587,0.04462315,0.049736856,0.04389219,0.058002735,0.044854412,0.048502768,0.052599102,0.063392372,0.08068099,0.099138267,0.096351933
AUS,Australia,0.142107158,0.139839848,0.137431008,0.132405865,0.12676698,0.124372465,0.122535217,0.119905861,0.121459441,0.128879046,0.124814997,0.126945474,0.130771444,0.129006759,0.12402746,0.123971148
AUT,Austria,0.070948844,0.060620961,0.054024256,0.048528533,0.072935921,0.071153757,0.063393808,0.047637363,0.047593183,0.049131132,0.045191437,0.048747066,0.047961991,0.049094721,0.042253163,0.047499914
AZE,Azerbaijan,-0.099649314,-0.084910624,-0.057757461,-0.058511256,-0.051386247,-0.056019939,-0.049343472,-0.053381797,-0.068981148,-0.078960186,-0.098428422,-0.112458124,-0.114170799,-0.090978972,-0.079393947,-0.087618042
BHS,Bahamas,0.0342332,0.031282111,0.035390851,0.041207452,0.029863357,0.029462377,0.021876414,0.020166946,0.003211487,0.00951678,0.003669054,0.004017254,0.001527066,0.00403526,-0.025516121,-0.026571175
BHR,Bahrain,-0.077094648,-0.082239678,-0.070873305,-0.057601437,-0.056881936,-0.056038241,-0.051735266,-0.045304049,-0.050585535,-0.044490908,-0.063416188,-0.075937811,-0.07284582,-0.065332304,-0.064581942,-0.055830677
BGD,Bangladesh,0.035073495,0.05304282,0.05170759,0.040369929,0.031887741,0.034404952,0.031912392,0.021716364,7.76967E-05,-0.036222499,-0.006816427,-0.015124275,-0.027651493,-0.029223776,-0.00888506,-0.011855637
