ISO3,name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AFG,Afghanistan,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ALB,Albania,0.312,0.312,0.271,0.235,0.245,0.254,0.281,0.314,0.323,0.356,0.380,0.407,0.433,0.463,0.478,0.475
DZA,Algeria,0.216,0.223,0.229,0.236,0.246,0.256,0.276,0.302,0.317,0.341,0.396,0.443,0.483,0.489,0.524,0.519
AND,Andorra,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
AGO,Angola,0.140,0.140,0.137,0.135,0.134,0.133,0.141,0.149,0.163,0.169,0.179,0.204,0.213,0.231,0.257,0.252
ATG,Antigua and Barbuda,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ARG,Argentina,0.480,0.481,0.485,0.486,0.495,0.525,0.513,0.495,0.538,0.564,0.616,0.674,0.687,0.688,0.695,0.691
ARM,Armenia,0.337,0.337,0.326,0.345,0.361,0.356,0.365,0.377,0.375,0.376,0.405,0.480,0.529,0.626,0.654,0.663
AUS,Australia,0.782,0.799,0.805,0.790,0.797,0.818,0.847,0.877,0.893,0.911,0.922,0.938,0.940,0.940,0.940,0.935
AUT,Austria,0.637,0.654,0.674,0.711,0.764,0.817,0.829,0.788,0.800,0.803,0.805,0.810,0.823,0.851,0.843,0.841
AZE,Azerbaijan,0.304,0.302,0.296,0.281,0.291,0.290,0.304,0.311,0.320,0.325,0.338,0.354,0.381,0.474,0.504,0.502
BHS,Bahamas,0.420,0.420,0.438,0.456,0.462,0.473,0.493,0.531,0.530,0.566,0.588,0.587,0.621,0.618,0.593,0.593
BHR,Bahrain,0.322,0.327,0.358,0.392,0.408,0.426,0.458,0.487,0.496,0.555,0.546,0.538,0.545,0.619,0.620,0.632
BGD,Bangladesh,0.241,0.241,0.239,0.238,0.241,0.244,0.248,0.247,0.238,0.235,0.252,0.271,0.276,0.293,0.303,0.303
BRB,Barbados,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
BLR,Belarus,0.422,0.434,0.445,0.467,0.471,0.473,0.479,0.488,0.511,0.542,0.593,0.626,0.668,0.709,0.746,0.741
BEL,Belgium,0.635,0.647,0.652,0.662,0.693,0.744,0.786,0.800,0.813,0.827,0.825,0.830,0.835,0.838,0.836,0.843
BLZ,Belize,0.369,0.370,0.341,0.312,0.319,0.331,0.340,0.340,0.360,0.360,0.370,0.388,0.402,0.423,0.421,0.429
BEN,Benin,0.244,0.244,0.252,0.260,0.258,0.257,0.260,0.263,0.252,0.253,0.262,0.269,0.290,0.318,0.333,0.337
BTN,Bhutan,0.234,0.234,0.288,0.341,0.340,0.340,0.338,0.338,0.353,0.358,0.371,0.382,0.398,0.431,0.438,0.437
BOL,Bolivia,0.354,0.355,0.366,0.379,0.392,0.406,0.420,0.427,0.440,0.442,0.427,0.396,0.396,0.438,0.468,0.471
BIH,Bosnia and Herzegovina,0.416,0.416,0.397,0.378,0.379,0.382,0.394,0.404,0.413,0.446,0.457,0.476,0.505,0.551,0.579,0.577
BWA,Botswana,0.344,0.346,0.344,0.342,0.350,0.367,0.379,0.380,0.403,0.410,0.416,0.441,0.477,0.505,0.530,0.529
BRA,Brazil,0.320,0.321,0.323,0.325,0.340,0.358,0.369,0.384,0.406,0.432,0.454,0.476,0.506,0.558,0.596,0.596
BRN,Brunei Darussalam,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
BGR,Bulgaria,0.472,0.494,0.501,0.497,0.516,0.524,0.540,0.557,0.575,0.611,0.651,0.676,0.697,0.697,0.703,0.710
BFA,Burkina Faso,0.223,0.223,0.211,0.198,0.204,0.209,0.209,0.209,0.215,0.217,0.227,0.235,0.248,0.302,0.310,0.292
BDI,Burundi,0.202,0.202,0.184,0.166,0.165,0.165,0.167,0.173,0.172,0.167,0.192,0.207,0.202,0.225,0.230,0.230
KHM,Cambodia,0.177,0.178,0.178,0.180,0.186,0.192,0.187,0.185,0.183,0.185,0.195,0.207,0.232,0.258,0.287,0.292
CMR,Cameroon,0.174,0.174,0.186,0.197,0.197,0.197,0.200,0.204,0.216,0.210,0.230,0.247,0.264,0.279,0.296,0.287
CAN,Canada,0.762,0.768,0.775,0.733,0.745,0.750,0.762,0.771,0.785,0.800,0.810,0.824,0.833,0.841,0.844,0.845
CPV,Cape Verde,0.303,0.303,0.315,0.328,0.328,0.332,0.316,0.312,0.319,0.346,0.354,0.384,0.407,0.438,0.493,0.496
CAF,Central African Republic,0.240,0.240,0.200,0.161,0.161,0.161,0.171,0.181,0.144,0.145,0.161,0.156,0.161,0.169,0.182,0.178
TCD,Chad,0.184,0.184,0.180,0.177,0.180,0.182,0.183,0.184,0.166,0.163,0.155,0.160,0.166,0.172,0.197,0.193
CHL,Chile,0.521,0.533,0.535,0.548,0.584,0.599,0.628,0.650,0.667,0.689,0.727,0.740,0.781,0.801,0.803,0.802
CHN,China,0.284,0.287,0.284,0.282,0.286,0.295,0.318,0.343,0.358,0.383,0.395,0.404,0.427,0.446,0.453,0.456
COL,Colombia,0.300,0.308,0.324,0.336,0.330,0.332,0.342,0.349,0.353,0.391,0.461,0.514,0.538,0.580,0.601,0.612
COM,Comoros,0.138,0.138,0.139,0.139,0.140,0.140,0.150,0.160,0.175,0.170,0.175,0.188,0.193,0.198,0.199,0.198
COG,Congo,0.148,0.148,0.143,0.139,0.143,0.159,0.163,0.167,0.179,0.180,0.176,0.214,0.237,0.265,0.283,0.283
COD,"Congo, DRC",0.097,0.096,0.096,0.097,0.101,0.108,0.117,0.127,0.129,0.141,0.151,0.156,0.166,0.183,0.191,0.173
CRI,Costa Rica,0.400,0.401,0.407,0.414,0.412,0.412,0.417,0.425,0.436,0.468,0.471,0.477,0.476,0.496,0.502,0.502
CIV,C»te d'Ivoire,0.241,0.244,0.239,0.235,0.236,0.235,0.228,0.221,0.211,0.217,0.218,0.239,0.269,0.295,0.328,0.328
HRV,Croatia,0.331,0.338,0.352,0.375,0.399,0.442,0.480,0.514,0.541,0.572,0.612,0.622,0.639,0.648,0.657,0.662
CUB,Cuba,0.208,0.202,0.208,0.215,0.246,0.249,0.261,0.266,0.282,0.389,0.425,0.488,0.490,0.489,0.497,0.497
CYP,Cyprus,0.432,0.448,0.464,0.472,0.481,0.490,0.521,0.560,0.622,0.662,0.668,0.678,0.693,0.730,0.716,0.733
CZE,Czech Republic,0.425,0.433,0.446,0.456,0.478,0.529,0.587,0.641,0.668,0.690,0.721,0.727,0.760,0.783,0.802,0.803
DNK,Denmark,0.701,0.729,0.745,0.773,0.812,0.842,0.877,0.911,0.940,0.958,0.959,0.957,0.964,0.960,0.948,0.945
DJI,Djibouti,0.251,0.251,0.236,0.220,0.218,0.215,0.218,0.223,0.222,0.231,0.226,0.244,0.252,0.263,0.260,0.280
DMA,Dominica,0.335,0.335,0.335,0.335,0.335,0.335,0.357,0.373,0.408,0.450,0.475,0.513,0.511,0.509,0.504,0.500
DOM,Dominican Republic,0.333,0.334,0.336,0.347,0.361,0.376,0.396,0.413,0.428,0.429,0.439,0.469,0.484,0.512,0.535,0.531
ECU,Ecuador,0.291,0.292,0.286,0.287,0.297,0.306,0.320,0.339,0.360,0.377,0.413,0.439,0.465,0.509,0.520,0.517
EGY,Egypt,0.438,0.438,0.433,0.428,0.430,0.424,0.418,0.412,0.405,0.416,0.440,0.435,0.465,0.495,0.517,0.513
SLV,El Salvador,0.320,0.317,0.331,0.348,0.357,0.357,0.363,0.373,0.386,0.416,0.433,0.469,0.520,0.514,0.506,0.506
GNQ,Equatorial Guinea,0.179,0.179,0.174,0.170,0.175,0.181,0.182,0.185,0.188,0.189,0.195,0.212,0.238,0.271,0.294,0.291
